
[00:00:00.000 --> 00:00:02.720]  各位電視節目的早晨 各位來賓早晨
[00:00:02.720 --> 00:00:05.340]  很高興再一次能夠在當中跟大家分享
[00:00:05.340 --> 00:00:07.640]  上帝寶貴的華語
[00:00:07.640 --> 00:00:12.940]  一段不簡單的經文 一段不簡單的訊息
[00:00:12.940 --> 00:00:16.060]  在整個的《宇航福音》裏面
[00:00:16.060 --> 00:00:20.880]  由十三章至十七章都是講耶穌臨離別的時候
[00:00:20.880 --> 00:00:22.860]  對門徒的一番說話
[00:00:22.860 --> 00:00:25.760]  特別是在第十三章至十六章裏面
[00:00:25.760 --> 00:00:30.240]  可以稱之為一個流放裏面 從裏面來一些說話
[00:00:30.240 --> 00:00:34.480]  在這段聖經裏面的內容當中的時候
[00:00:34.480 --> 00:00:39.480]  看的時候其實有很多的思緒浮現在我腦海裏面
[00:00:39.480 --> 00:00:42.380]  特別是我知道大家的心情
[00:00:42.380 --> 00:00:45.440]  在這一輪的日子裏面一點都不好過
[00:00:45.440 --> 00:00:49.380]  在過去的一個星期 過去整整的幾個月
[00:00:49.380 --> 00:00:51.700]  我們面對著社會很多的紛亂
[00:00:51.700 --> 00:00:56.840]  看到很多人性裏面很多的惡行在當中出現的時候
[00:00:56.840 --> 00:01:00.960]  我們都很難過 很沮喪
[00:01:00.960 --> 00:01:06.520]  當我來到去預備這段聖經要分享的時候
[00:01:06.520 --> 00:01:10.940]  在我腦海裏面浮現了幾個很有意思的問題
[00:01:10.940 --> 00:01:15.000]  我想到耶穌既然來了這個世界 為甚麼要走呢?
[00:01:15.000 --> 00:01:21.140]  如果耶穌一直坐到現在 會不會這個世界不同了呢?
[00:01:21.140 --> 00:01:24.720]  這樣我們就輕鬆很多了
[00:01:24.720 --> 00:01:31.600]  如果祂不走 我們就少做很多事情
[00:01:31.600 --> 00:01:34.860]  又不用煩惱很多 這個世界會不會變得這麼美好呢?
[00:01:34.860 --> 00:01:36.700]  這是我思考的問題
[00:01:36.700 --> 00:01:39.900]  另一個問題就是 耶穌要走了
[00:01:39.900 --> 00:01:43.240]  祂走了 這個世界又會怎樣呢?
[00:01:43.240 --> 00:01:45.760]  只剩下我們了
[00:01:45.760 --> 00:01:49.140]  祂是不是去享受世界 我們又要捱世界呢?
[00:01:49.140 --> 00:01:54.400]  這些都是一些我去思考的時候去想到的事情
[00:01:54.400 --> 00:01:57.900]  而在這些上述問題去想的時候
[00:01:57.900 --> 00:02:03.680]  我想到一位神學家 他的心路歷程
[00:02:03.680 --> 00:02:10.440]  他寫了一本書 叫做《上帝為何化身為人》
[00:02:10.440 --> 00:02:16.440]  神學家安瑟倫 這位中世紀的經院哲學家 神學家
[00:02:16.440 --> 00:02:20.780]  在當代的論證 上帝的存在這個問題上面
[00:02:20.780 --> 00:02:28.080]  他的思想對整個基督教的發展 帶來了很深遠的影響
[00:02:28.080 --> 00:02:37.200]  我在預備去講道的時候 在這段臨別的說話裡面
[00:02:37.200 --> 00:02:43.960]  我想到這位神學家的信心和理性的互動
[00:02:43.960 --> 00:02:48.720]  而更加去看到原來這位神學家
[00:02:48.720 --> 00:02:53.100]  他背後那份對上帝的渴慕
[00:02:53.100 --> 00:02:57.960]  對耶穌的一份愛慕的感情
[00:02:57.960 --> 00:03:03.480]  安瑟倫在他的著作裡面有些反省
[00:03:03.480 --> 00:03:09.560]  在一段的祈禱文裡面 他記下了這樣的說話
[00:03:09.560 --> 00:03:18.700]  在罪惡中 我被造和出生 但你 上帝 潔淨我
[00:03:18.700 --> 00:03:26.820]  可是 我卻濃污自己 甚至比以前更深
[00:03:26.820 --> 00:03:30.900]  我在必然的罪惡中被造
[00:03:30.900 --> 00:03:38.960]  可是 我卻自願地 有準備地 公然地去犯罪
[00:03:38.960 --> 00:03:43.920]  憐憫的主 你卻除去這些原罪
[00:03:43.920 --> 00:03:47.460]  替我蓋上清白的衣裳
[00:03:47.460 --> 00:03:52.220]  應許我將來永不再敗壞
[00:03:52.220 --> 00:03:57.840]  可是 我卻將自己埋葬在卑劣的罪惡下
[00:03:57.840 --> 00:04:01.200]  漠視你一切的應許
[00:04:01.200 --> 00:04:07.680]  我寧可選擇永遠沉淪的憂傷
[00:04:07.680 --> 00:04:11.240]  安瑟倫在他的反省當中
[00:04:11.240 --> 00:04:16.820]  在他的罪疚感裡面 他看到自己的限制
[00:04:16.820 --> 00:04:22.400]  他看到自己的無能和無力 無奈
[00:04:22.400 --> 00:04:25.960]  然而 他在祈禱當中
[00:04:25.960 --> 00:04:29.720]  他經驗到在祈禱裡面
[00:04:29.720 --> 00:04:32.620]  在祈求上帝的恩典裡面
[00:04:32.620 --> 00:04:34.880]  他感受到耶穌基督的愛
[00:04:34.880 --> 00:04:39.900]  那份無比的大愛
[00:04:39.900 --> 00:04:42.480]  在這個經驗當中
[00:04:42.480 --> 00:04:46.080]  他的反省 因著耶穌的愛
[00:04:46.080 --> 00:04:51.160]  他願意因為耶穌的愛 來願意跟隨主的吩咐
