
[00:00:00.000 --> 00:00:02.360]  很感謝神給我有機會來到大家當中
[00:00:02.360 --> 00:00:03.680]  一年一度已經歸來
[00:00:03.680 --> 00:00:04.920]  去年是7月
[00:00:04.920 --> 00:00:06.200]  來到大家當中
[00:00:06.200 --> 00:00:08.760]  來到港島一年之後再見到大家
[00:00:08.760 --> 00:00:10.120]  今天是很特別的日子
[00:00:10.120 --> 00:00:11.760]  因為是聖靈降臨節
[00:00:11.760 --> 00:00:16.360]  所以教會請我講關於聖靈的事
[00:00:16.360 --> 00:00:18.120]  我覺得這是非常好
[00:00:18.120 --> 00:00:19.440]  是可以配合的
[00:00:19.440 --> 00:00:21.160]  但是講到聖靈的時候
[00:00:21.160 --> 00:00:22.480]  我會想到些什麼呢?
[00:00:22.480 --> 00:00:24.920]  我好像都會講一句話
[00:00:24.920 --> 00:00:25.840]  就是
[00:00:25.840 --> 00:00:29.960]  我們很多時候家裡有很多熟悉的陌生人
[00:00:29.960 --> 00:00:33.240]  特別下個禮拜就是父親節
[00:00:33.240 --> 00:00:36.000]  這裡又想插開一樣東西來講
[00:00:36.000 --> 00:00:39.520]  你看到男性和女性的地位是很不同的
[00:00:39.520 --> 00:00:41.680]  女性的地位是高很多的
[00:00:41.680 --> 00:00:43.520]  我們是男性比較卑微
[00:00:43.520 --> 00:00:46.520]  因為我們在香港來的女士們
[00:00:46.520 --> 00:00:48.840]  你可以過兩個的母親節,是不是?
[00:00:48.840 --> 00:00:51.640]  我們3月最後就是英國的母親節
[00:00:51.640 --> 00:00:53.960]  那一定要慶祝
[00:00:53.960 --> 00:00:55.920]  但是慶祝了
[00:00:55.920 --> 00:00:57.640]  但是不知道第二個禮拜是什麼?
[00:00:57.640 --> 00:00:59.880]  是香港的母親節
[00:00:59.880 --> 00:01:02.120]  那慶祝了還要不要慶祝?
[00:01:02.120 --> 00:01:03.520]  當然要
[00:01:03.520 --> 00:01:04.840]  這麼快就忘本?
[00:01:04.840 --> 00:01:05.920]  當然要
[00:01:05.920 --> 00:01:09.680]  但是父親節永遠都是只有一個
[00:01:09.680 --> 00:01:12.320]  所以可憐一下我們做父親的
[00:01:12.320 --> 00:01:14.840]  下個禮拜跟我們慶祝一下好不好?
[00:01:14.840 --> 00:01:16.840]  你的丈夫其實很辛苦的
[00:01:16.840 --> 00:01:19.080]  那麼我想講的是什麼呢?
[00:01:19.080 --> 00:01:20.360]  但是在家庭裡面
[00:01:20.360 --> 00:01:25.240]  我發現了有很多熟悉的陌生人
[00:01:25.240 --> 00:01:30.480]  好像很熟悉,但是又好像很陌生
[00:01:30.480 --> 00:01:32.200]  我見過有些家庭
[00:01:32.200 --> 00:01:36.000]  很可能太太就煮東西吃
[00:01:36.000 --> 00:01:39.360]  孩子就自己玩手機
[00:01:39.360 --> 00:01:42.320]  爸爸就在那裡看,說很忙
[00:01:42.320 --> 00:01:44.480]  在看電視、網球賽
[00:01:44.480 --> 00:01:46.200]  但是電話就開著
[00:01:46.200 --> 00:01:48.080]  昨晚就有英國直播
[00:01:48.080 --> 00:01:49.960]  就是足球,是不是?
[00:01:49.960 --> 00:01:52.760]  原來各有各的精彩
[00:01:52.760 --> 00:01:54.400]  各有各的喜好
[00:01:54.400 --> 00:01:56.920]  好像住在一起好像很熟悉
[00:01:56.920 --> 00:01:59.400]  但是有沒有深入了解呢?
[00:01:59.400 --> 00:02:01.080]  又或者做兒女的
[00:02:01.080 --> 00:02:04.120]  有沒有了解到父母的壓力
