
[00:00:00.000 --> 00:00:03.200]  在開始的時間,我們同心來祈禱
[00:00:30.000 --> 00:00:33.300]  開啟茅室,讓我們進入真理
[00:00:33.300 --> 00:00:38.000]  讓我們傳出一個聆聽仇教的心
[00:00:38.000 --> 00:00:41.000]  來一同供聽主的恩義
[00:00:41.000 --> 00:00:46.000]  我們祈禱,賴奉耶穌基督聖名祈求
[00:00:46.000 --> 00:00:50.000]  今年是教會八十週年
[00:00:50.000 --> 00:00:55.000]  我們來尋索,來思想
[00:00:55.000 --> 00:01:00.000]  我們教會繼續前面的路向
[00:01:00.000 --> 00:01:04.000]  我們可能有很多不同的方法
[00:01:04.000 --> 00:01:06.000]  有很多不同的想法
[00:01:06.000 --> 00:01:09.000]  坊間都有不同的模範
[00:01:09.000 --> 00:01:11.000]  但容若我們都回到
[00:01:11.000 --> 00:01:16.000]  來看看耶穌自己怎樣去行事
[00:01:16.000 --> 00:01:18.000]  怎樣去宣教
[00:01:18.000 --> 00:01:22.000]  容若我們從耶穌的身上學習
[00:01:22.000 --> 00:01:29.000]  我們有則改之,無則加冕
[00:01:29.000 --> 00:01:32.000]  我們盼望來傳出一個這樣的心
[00:01:32.000 --> 00:01:38.000]  來學校主,來跟從主的腳步
[00:01:38.000 --> 00:01:42.000]  跟從耶穌的人被稱呼的基督徒
[00:01:42.000 --> 00:01:45.000]  是源自於安提柯的教會
[00:01:45.000 --> 00:01:52.000]  因為當地人棄稱這班信耶穌人這份傻勁
[00:01:52.000 --> 00:01:55.000]  他們此時來進行主的教訓
[00:01:55.000 --> 00:01:57.000]  關懷有需要的人
[00:01:57.000 --> 00:02:02.000]  無論在教內、教外,不遺餘力
[00:02:02.000 --> 00:02:04.000]  道德標準之高
[00:02:04.000 --> 00:02:07.000]  在當時蜜肉橫流的社會
[00:02:07.000 --> 00:02:09.000]  好像一股清涼
[00:02:09.000 --> 00:02:11.000]  從文獻可以看到
[00:02:11.000 --> 00:02:17.000]  當時羅馬的政府有一些文書的公告
[00:02:17.000 --> 00:02:22.000]  地方的政府來詢問長官
[00:02:22.000 --> 00:02:26.000]  到底我們怎樣來看待這班人
[00:02:26.000 --> 00:02:31.000]  這班我們視之為社會的渣滓
[00:02:31.000 --> 00:02:33.000]  用粗俗的字眼
[00:02:33.000 --> 00:02:37.000]  這班垃圾
[00:02:37.000 --> 00:02:43.000]  但是他竟然照顧我們當中的貧窮人
[00:02:43.000 --> 00:02:50.000]  他不單是照顧教內自己會內的孤兒寡婦
[00:02:50.000 --> 00:02:54.000]  更加是那些不信
[00:02:54.000 --> 00:03:00.000]  我們社會都覺得不會理會的低下階層
[00:03:00.000 --> 00:03:02.000]  我們已經捨棄了他們
[00:03:02.000 --> 00:03:10.000]  但這班信耶穌的人竟然不遺餘力地照顧這班孤寡
[00:03:10.000 --> 00:03:13.000]  在社會裏面的低下階層人
[00:03:13.000 --> 00:03:17.000]  我們政府都不照顧
[00:03:17.000 --> 00:03:24.000]  我們覺得這班流氓的基督徒
[00:03:24.000 --> 00:03:29.000]  竟然用心照顧我們覺得不值得照顧的人
[00:03:29.000 --> 00:03:34.000]  我們作為政府怎樣看待他們呢?
[00:03:34.000 --> 00:03:37.000]  是否繼續迫害他們呢?
[00:03:37.000 --> 00:03:47.000]  地方官員都向上頭有這樣的查詢
[00:03:47.000 --> 00:03:51.000]  我們深信我們教會在尖沙咀這個地方
[00:03:51.000 --> 00:03:55.000]  給我們一個獨特的照明
[00:03:55.000 --> 00:03:58.000]  我們在這裏來舉辦教會
[00:03:58.000 --> 00:04:01.000]  我們在油尖旺這個地區
[00:04:01.000 --> 00:04:04.000]  這個社區有什麼獨特的地方
[00:04:04.000 --> 00:04:13.000]  這個社區怎樣有機會讓社區人士進入我們教會當中
[00:04:13.000 --> 00:04:18.000]  不是因為我們有這個教會打開了門
[00:04:18.000 --> 00:04:20.000]  那些人自己會走過來
[00:04:20.000 --> 00:04:22.000]  不會的
[00:04:22.000 --> 00:04:25.000]  我們怎樣可以容納這個方眾
[00:04:25.000 --> 00:04:29.000]  能夠有機會接觸到我們認識到我們呢?
[00:04:29.000 --> 00:04:35.000]  我們就願意一同來跟隨耶穌基督的腳踪
[00:04:35.000 --> 00:04:38.000]  當人類來到叛逆離開神的時間
[00:04:38.000 --> 00:04:42.000]  耶穌就成為了第一位的宣教士
[00:04:42.000 --> 00:04:46.000]  希伯來書一章一到二節
[00:04:46.000 --> 00:04:47.000]  他是這樣說
[00:04:47.000 --> 00:04:53.000]  神既然在古時夕處先至多次多方的曉喻列祖
[00:04:53.000 --> 00:04:58.000]  就在這末世借著他兒子曉喻我們
[00:04:58.000 --> 00:05:01.000]  神的兒子耶穌甘願降卑
[00:05:01.000 --> 00:05:04.000]  道成肉身來到世界
[00:05:04.000 --> 00:05:07.000]  宣講天國的福音
[00:05:07.000 --> 00:05:09.000]  想看這個投影片
[00:05:09.000 --> 00:05:11.000]  去第二章的時間
[00:05:11.000 --> 00:05:16.000]  就是我們今天講到的標題
[00:05:16.000 --> 00:05:18.000]  今天講到的內容分開三點
[00:05:18.000 --> 00:05:20.000]  是耶穌的宣教模式
[00:05:20.000 --> 00:05:22.000]  是全人的關懷
[00:05:22.000 --> 00:05:25.000]  而一顆憐憫的心
[00:05:25.000 --> 00:05:27.000]  是耶穌宣教的動力
[00:05:27.000 --> 00:05:30.000]  一顆願意避差的心
[00:05:30.000 --> 00:05:32.000]  是我們的回應
[00:05:32.000 --> 00:05:33.000]  作為第一點
[00:05:33.000 --> 00:05:36.000]  耶穌宣教的模式是全人的關懷
[00:05:36.000 --> 00:05:38.000]  是講什麼呢?
[00:05:38.000 --> 00:05:40.000]  我們回到經文的時間
[00:05:40.000 --> 00:05:41.000]  你會看到
[00:05:41.000 --> 00:05:43.000]  投影片暫時不用了
[00:05:43.000 --> 00:05:46.000]  我們回到經文的時間
[00:05:46.000 --> 00:05:48.000]  在三十八節
[00:05:48.000 --> 00:05:50.000]  剛才主席也跟我們讀出
[00:05:50.000 --> 00:05:56.000]  這個是耶穌工作的總結
[00:05:56.000 --> 00:05:58.000]  就說完了
[00:05:58.000 --> 00:06:01.000]  要打發工人收他的莊家
[00:06:01.000 --> 00:06:03.000]  而三十五到三十八節
[00:06:03.000 --> 00:06:06.000]  我們去講這段經文
[00:06:06.000 --> 00:06:09.000]  耶穌走遍各城各鄉在會堂裡面
[00:06:09.000 --> 00:06:11.000]  教訓人宣講天國的道理
[00:06:11.000 --> 00:06:12.000]  宣講天國福音
[00:06:12.000 --> 00:06:14.000]  又醫治各人的疾病
[00:06:14.000 --> 00:06:19.000]  我們回到教前的經文四章
[00:06:19.000 --> 00:06:22.000]  二十三節馬太福音
[00:06:22.000 --> 00:06:26.000]  你會發覺很相似
[00:06:26.000 --> 00:06:30.000]  在馬太福音第四章二十三節這樣說
[00:06:30.000 --> 00:06:33.000]  耶穌走遍加利利
[00:06:33.000 --> 00:06:36.000]  在各會堂裡教訓人
[00:06:36.000 --> 00:06:38.000]  傳天國的福音
[00:06:38.000 --> 00:06:41.000]  醫治百姓各樣的病症
[00:06:41.000 --> 00:06:44.000]  他的名聲就傳遍了敘利亞
[00:06:44.000 --> 00:06:47.000]  那裡的人把一切害病的
[00:06:47.000 --> 00:06:49.000]  就洩害各樣疾病
[00:06:49.000 --> 00:06:52.000]  各樣痛痛和被鬼附的
[00:06:52.000 --> 00:06:54.000]  癲癇的癱瘓的都帶了來
[00:06:54.000 --> 00:06:57.000]  耶穌就治好了他們
[00:06:57.000 --> 00:07:01.000]  當下有許多人從加利利底哥科里
[00:07:01.000 --> 00:07:03.000]  而到撒冷猶太
[00:07:03.000 --> 00:07:06.000]  約旦河外來跟從他
[00:07:06.000 --> 00:07:09.000]  就好像一個漢堡包一樣
[00:07:09.000 --> 00:07:12.000]  包著一頭一尾
[00:07:12.000 --> 00:07:16.000]  都是說耶穌走遍這個地方
[00:07:16.000 --> 00:07:18.000]  耶穌走遍加利利
[00:07:18.000 --> 00:07:23.000]  耶穌走遍各城各鄉
[00:07:23.000 --> 00:07:26.000]  我們今天說到的經文八章
[00:07:26.000 --> 00:07:29.000]  九章三十五到三十八節
[00:07:29.000 --> 00:07:32.000]  在較前的經文就說到
[00:07:32.000 --> 00:07:34.000]  我們很熟悉的
[00:07:34.000 --> 00:07:37.000]  這段經文裡面包著什麼呢?
[00:07:37.000 --> 00:07:40.000]  五到七章是山上部分
[00:07:40.000 --> 00:07:41.000]  我們很熟悉的
[00:07:41.000 --> 00:07:46.000]  哀悼的人有福利
[00:07:46.000 --> 00:07:49.000]  可以說是耶穌的山上部分
[00:07:49.000 --> 00:07:50.000]  五到七章
[00:07:50.000 --> 00:07:52.000]  八到九章
[00:07:52.000 --> 00:07:57.000]  耶穌行了很多神蹟
[00:07:57.000 --> 00:08:00.000]  講完這些技術之後
[00:08:00.000 --> 00:08:02.000]  耶穌講完這些話
[00:08:02.000 --> 00:08:04.000]  眾人都稀奇他的教訓
[00:08:04.000 --> 00:08:06.000]  因為他教訓他們
[00:08:06.000 --> 00:08:10.000]  好像是有權柄的人
[00:08:10.000 --> 00:08:12.000]  不僅是那些民事
[00:08:12.000 --> 00:08:14.000]  因為耶穌的權柄
[00:08:14.000 --> 00:08:17.000]  不單止是他的教訓
[00:08:17.000 --> 00:08:21.000]  更加在於他所行出來的事蹟
[00:08:21.000 --> 00:08:24.000]  更加不在於他宣講
[00:08:24.000 --> 00:08:28.000]  更加他能夠實踐他自己的教訓
[00:08:28.000 --> 00:08:31.000]  耶穌走遍各城各鄉
[00:08:31.000 --> 00:08:34.000]  翻查聖經地圖的時候
[00:08:34.000 --> 00:08:36.000]  我們看到耶路撒冷
[00:08:36.000 --> 00:08:43.000]  距離加帕隆超過一百公里
[00:08:43.000 --> 00:08:45.000]  形象化的表達是什麼呢?
[00:08:45.000 --> 00:08:47.000]  我們看到行山的書籍
[00:08:47.000 --> 00:08:50.000]  有講一個叫彌史密夫定律
[00:08:50.000 --> 00:08:54.000]  就是說一個西方的成年人
[00:08:54.000 --> 00:09:01.000]  平均一個小時大概走四公里
[00:09:01.000 --> 00:09:03.000]  一個小時走四公里
[00:09:03.000 --> 00:09:04.000]  距離是怎樣呢?
[00:09:04.000 --> 00:09:06.000]  我們這裡尖沙咀浸信會
[00:09:06.000 --> 00:09:08.000]  我們金馬倫道
[00:09:08.000 --> 00:09:12.000]  走到油麻地的文明里
[00:09:12.000 --> 00:09:15.000]  大概是四公里
[00:09:15.000 --> 00:09:17.000]  或者我們說多一點點
[00:09:17.000 --> 00:09:18.000]  形象化
[00:09:18.000 --> 00:09:24.000]  如果你這個時間十一點半
[00:09:24.000 --> 00:09:25.000]  你走出去
[00:09:25.000 --> 00:09:27.000]  叫你走去那裡
[00:09:27.000 --> 00:09:29.000]  可能要你買些東西
[00:09:29.000 --> 00:09:30.000]  做些什麼
[00:09:30.000 --> 00:09:33.000]  你說那裡有一間餐廳很好吃的
[00:09:33.000 --> 00:09:34.000]  我約你去那裡吃
[00:09:34.000 --> 00:09:35.000]  走過去一起走
[00:09:35.000 --> 00:09:37.000]  你都跟我說
[00:09:37.000 --> 00:09:41.000]  黃泉道不要玩了
[00:09:41.000 --> 00:09:44.000]  我走到身水身汗
[00:09:44.000 --> 00:09:47.000]  我們都有我們的外展活動
[00:09:47.000 --> 00:09:49.000]  行山
[00:09:49.000 --> 00:09:51.000]  經常都有人被人問
[00:09:51.000 --> 00:09:55.000]  到底辛苦嗎?
[00:09:55.000 --> 00:09:57.000]  我對胡瑩都說
[00:09:57.000 --> 00:09:58.000]  辛不辛苦又怎樣?
[00:09:58.000 --> 00:10:01.000]  我怎樣知道你辛苦嗎?
[00:10:01.000 --> 00:10:03.000]  每個人都不同
[00:10:03.000 --> 00:10:06.000]  但核心的問題是
[00:10:06.000 --> 00:10:12.000]  不會無端端都這樣去做
[00:10:12.000 --> 00:10:16.000]  而耶穌是怎樣呢?
[00:10:16.000 --> 00:10:19.000]  祂走遍各城各鄉
