
[00:00:00.000 --> 00:00:05.240]  弟兄姊妹早 平安 平安 線上的弟兄姊妹平安
[00:00:05.240 --> 00:00:14.260]  最近我們西雅圖這邊疫情還沒有結束 才剛剛稍微穩了一點
[00:00:14.260 --> 00:00:19.920]  又發生了很多這種暴動遊行的事情
[00:00:19.920 --> 00:00:26.220]  整個六月份 西雅圖整個美國都是處在一種混亂裡面
[00:00:26.220 --> 00:00:31.320]  然後上個禮拜是國慶日 國慶日那兩天裡面
[00:00:31.320 --> 00:00:36.280]  你知道紐約芝加哥那邊很多的槍擊
[00:00:36.280 --> 00:00:41.320]  很多人都無緣無故的中彈死掉 被打死了
[00:00:41.320 --> 00:00:49.320]  我們看到這些到處都是叫人很沮喪而且很灰心的消息的時候
[00:00:49.320 --> 00:00:58.000]  真的是我這個禮拜一早上起來的時候 其實心裡面非常沉重
[00:00:58.000 --> 00:01:02.520]  而且所面對這些難處都叫人家喘不過氣來
[00:01:02.520 --> 00:01:06.200]  你也不知道怎麼辦 就覺得很鬱悶
[00:01:06.200 --> 00:01:14.500]  那我跟喬伊講 我說你覺不覺得美國像一個鐵達尼號一直在往下沉
[00:01:14.500 --> 00:01:21.120]  那喬伊說我們都在船上 往下沉我們都在船上怎麼辦
[00:01:21.120 --> 00:01:27.060]  所以說喬伊就說我們都在船上 所以我們要怎麼樣 我們禱告
[00:01:27.060 --> 00:01:34.480]  我們去禱告 求神釘著我們的手 從這個船底幫我們把這個船再把它撐上來
[00:01:34.480 --> 00:01:40.280]  所以你知道我們都是有一個 我們都是嚮往自由的
[00:01:40.280 --> 00:01:46.000]  我們大家都是因為很嚮往自由 而且希望有更好的生活環境
[00:01:46.000 --> 00:01:49.520]  所以我們移民到這裡來 我們其實都是移民過來的
[00:01:49.520 --> 00:01:55.040]  那在這裡我們建立我們的家庭 我們養育我們的兒女在這裡
[00:01:55.040 --> 00:02:02.240]  而且還有很寶貴的 我們在這裡我們認識了我們的神 我們得到永生
[00:02:02.240 --> 00:02:09.000]  但是在這個船一直要往下沉的時候 怎麼辦呢 我們可以做什麼呢
[00:02:09.000 --> 00:02:17.560]  我就想起來 我在我受洗的時候 我在神的面前 我自己的誓言
[00:02:17.560 --> 00:02:22.960]  還有當我成為美國公民的時候 我在宣誓那個承諾的事情
[00:02:22.960 --> 00:02:29.620]  那我就想 如果你們大家都跟我一樣 我們受洗的時候 我們宣誓的時候
[00:02:29.620 --> 00:02:34.040]  我們為這個國家曾經做過什麼樣的諾言
[00:02:34.040 --> 00:02:37.320]  那我們現在就一起來為這個國家禱告
[00:02:37.320 --> 00:02:43.440]  來 天父主耶穌賜祢保佑我們來到祢面前 主我們感謝讚美祢
[00:02:43.440 --> 00:02:48.880]  祢將我們從一個不同的國度帶到美國來
[00:02:48.880 --> 00:02:52.240]  主我們在這裡 我們真是為這個國家來感恩
[00:02:52.240 --> 00:02:56.520]  因為我們在這個國家裡頭 我們享受到這個國家的自由
[00:02:56.520 --> 00:03:01.880]  我們享受到這個國家的建設 我們享受到這個國家裡頭許許多多的好處
[00:03:01.880 --> 00:03:06.360]  但是當我們看到這個國家有難處的時候 主我們求祢幫助我們
[00:03:06.360 --> 00:03:13.800]  有一個願意回饋的心 願意用我們的禱告來拖住我們的國家 拖住我們的政府
[00:03:13.800 --> 00:03:18.160]  主我們就求主祢真是來保守我們 帶領我們
[00:03:18.160 --> 00:03:23.040]  好讓我們能夠真的是看到 藉著我們的禱告感謝
[00:03:23.040 --> 00:03:27.000]  主祢能夠讓這個國家重新的再恢復過來
[00:03:27.000 --> 00:03:29.600]  主我們謝謝祢 我們感謝讚美祢
[00:03:29.600 --> 00:03:36.960]  我們知道 主耶穌我們實在是知道 主那在風雨中 風暴中 祢是那在船上的主
[00:03:36.960 --> 00:03:40.320]  在洪水泛濫的日子裡頭 祢坐著為王
[00:03:40.320 --> 00:03:44.880]  主我們就再一次把我們的國家美國交托仰望在主的手中
[00:03:44.880 --> 00:03:49.000]  謝謝你主耶穌 感謝禱告 奉耶穌的名 阿們
[00:03:49.000 --> 00:03:55.720]  今天我想跟大家一起來討論的第一個題目呢 就是患難中的平安跟喜樂
[00:03:55.720 --> 00:04:00.960]  你知道我們最近大家其實都在各樣的挑戰跟難處當中
[00:04:00.960 --> 00:04:06.360]  但是如果你有常常跟著教會 在清恩典365啊
[00:04:06.360 --> 00:04:11.840]  每天為兒女禱告啊 心靈蜜豆奶啊 還有牧師製作的每日一語啊
[00:04:11.840 --> 00:04:16.600]  那這樣一點點的靈修 一點點的靈修雖然不是很夠
[00:04:16.600 --> 00:04:21.480]  但有澆灌你心靈的話 那就能夠堅定你的心思意念
[00:04:21.480 --> 00:04:24.080]  你多多少少都會有一點作用
[00:04:24.080 --> 00:04:30.520]  而且以目前的狀況的話 那你就有一點靠主喜樂的一點資源
[00:04:30.520 --> 00:04:34.720]  那我們其實我們大家都有什麼 我們有工作的壓力
[00:04:34.720 --> 00:04:38.720]  我們有什麼情緒的壓力 我們有金錢的壓力
[00:04:38.720 --> 00:04:43.040]  我們有兒女的壓力 甚至有些人我們有健康的壓力
[00:04:43.040 --> 00:04:47.280]  那常常在這些壓力之下
[00:04:47.280 --> 00:04:53.560]  那我們都知道這些壓力會怎麼樣 會導致我們生病哦
