
[00:00:00.000 --> 00:00:09.000]  親愛的同工,各位在網絡上的弟兄姊妹,平安
[00:00:09.000 --> 00:00:16.000]  生活裏面其實有各式各樣預備的功夫要做
[00:00:16.000 --> 00:00:20.000]  煮菜你需要花些時間預備
[00:00:20.000 --> 00:00:21.000]  有時我們看這個節目
[00:00:21.000 --> 00:00:24.000]  由於時間關係已經準備好另一盤了
[00:00:24.000 --> 00:00:26.000]  通常會這樣
[00:00:26.000 --> 00:00:28.000]  我記得從前在我母校
[00:00:28.000 --> 00:00:31.000]  在小島上的神學院
[00:00:31.000 --> 00:00:34.000]  我們的課業其實已經不少了
[00:00:34.000 --> 00:00:36.000]  一般大家做神學生都知道
[00:00:36.000 --> 00:00:38.000]  我們加上我們星期五
[00:00:38.000 --> 00:00:40.000]  還有一個報道團的實習
[00:00:40.000 --> 00:00:42.000]  每一年都要去不同的地方
[00:00:42.000 --> 00:00:47.000]  有時去監獄,有時去醫院,有時去男童院
[00:00:47.000 --> 00:00:52.000]  再加上主日教會週末的實習
[00:00:52.000 --> 00:00:55.000]  已經是足襟見肘
[00:00:55.000 --> 00:00:58.000]  但是還有一樣令我們很痛苦的
[00:00:58.000 --> 00:01:01.000]  就是我們每年有一個一年一度的開放日
[00:01:01.000 --> 00:01:04.000]  這個真的貫徹了我們學校的精神
[00:01:04.000 --> 00:01:09.000]  就叫做開放吃苦火熱
[00:01:09.000 --> 00:01:12.000]  開放日顧名思義就是開放
[00:01:12.000 --> 00:01:16.000]  所有的地方都要打掃得乾乾淨淨
[00:01:16.000 --> 00:01:18.000]  我們要打掃公家的地方
[00:01:18.000 --> 00:01:19.000]  再加上自己的宿舍
[00:01:19.000 --> 00:01:24.000]  你知道平時我們男生的宿舍都是相當整齊
[00:01:24.000 --> 00:01:27.000]  有時我們去童工二樓
[00:01:27.000 --> 00:01:29.000]  看看各位童工
[00:01:29.000 --> 00:01:31.000]  我們的男童工都不是的
[00:01:31.000 --> 00:01:34.000]  永遠都是相當整齊的
[00:01:34.000 --> 00:01:38.000]  特別是女童工的房間都很整齊
[00:01:38.000 --> 00:01:40.000]  你還要打掃自己的宿舍
[00:01:40.000 --> 00:01:45.000]  我好記得每一次做完這個預備的工作
[00:01:45.000 --> 00:01:49.000]  那個運動量是等於一天的野外鍛鍊
[00:01:49.000 --> 00:01:51.000]  真的相當相當的辛苦
[00:01:51.000 --> 00:01:55.000]  但是為了什麼呢?為了一個開放日
[00:01:55.000 --> 00:01:58.000]  你要做一些預備的工作
[00:01:58.000 --> 00:02:01.000]  值得注意的是轉眼
[00:02:01.000 --> 00:02:05.000]  我們又來到今年最後一個主日
[00:02:05.000 --> 00:02:08.000]  即是第幾個主日?柳傳道
[00:02:08.000 --> 00:02:10.000]  柳傳道已經回答了
[00:02:10.000 --> 00:02:12.000]  他用手勢已經回答了
[00:02:12.000 --> 00:02:14.000]  其實是後面那個提醒他的
[00:02:14.000 --> 00:02:15.000]  不是,他回答了
[00:02:15.000 --> 00:02:17.000]  是52個主日
[00:02:17.000 --> 00:02:21.000]  如果你留意一下我們的程序表
[00:02:21.000 --> 00:02:29.000]  後面有一個週期
[00:02:29.000 --> 00:02:33.000]  已經是2020年52日
[00:02:33.000 --> 00:02:37.000]  來到我們今年最後一個主日
[00:02:37.000 --> 00:02:41.000]  亦都是一年將盡的時候
[00:02:41.000 --> 00:02:45.000]  為了即將來臨的2021
[00:02:45.000 --> 00:02:49.000]  但不過大前提我們要問一個問題
[00:02:49.000 --> 00:02:53.000]  主若願意我們才可以進入到2021
[00:02:53.000 --> 00:02:56.000]  不是你說就可以進入
[00:02:56.000 --> 00:02:59.000]  所以為我們來說
[00:02:59.000 --> 00:03:02.000]  我們要回顧這個2020
[00:03:02.000 --> 00:03:05.000]  所走過的旅程
[00:03:05.000 --> 00:03:08.000]  有什麼值得我們反省
[00:03:08.000 --> 00:03:13.000]  還有什麼值得我們需要改過千線的地方
[00:03:13.000 --> 00:03:19.000]  所以今天透過阿摩斯書四章十二到十三節
[00:03:19.000 --> 00:03:22.000]  你們和弟兄姊妹一起來思想
[00:03:22.000 --> 00:03:27.000]  如何預備迎見你的上帝
[00:03:27.000 --> 00:03:31.000]  如果今天講不完就不用等很久
[00:03:31.000 --> 00:03:37.000]  我每次預備都有九章
[00:03:37.000 --> 00:03:40.000]  今天如果講不完不要緊
[00:03:40.000 --> 00:03:44.000]  因為很快31號年終崇拜
[00:03:44.000 --> 00:03:46.000]  又可以在那裡講下集
[00:03:46.000 --> 00:03:48.000]  希望講得完
[00:03:48.000 --> 00:03:54.000]  我們同心祈禱
[00:03:54.000 --> 00:03:59.000]  賜給人愛的天父我們感謝你
[00:03:59.000 --> 00:04:03.000]  在這個疫情之中
[00:04:03.000 --> 00:04:06.000]  還是有很多的反覆
[00:04:06.000 --> 00:04:11.000]  在英國的地方又爆發得更加嚴重
[00:04:11.000 --> 00:04:17.000]  又是疑似有些變種的病毒
[00:04:17.000 --> 00:04:22.000]  讓我們每一日都有時心情都會忐忑
[00:04:22.000 --> 00:04:28.000]  但你仍然給我們有恩典寬容我們
[00:04:28.000 --> 00:04:33.000]  讓我們能夠在今年最後一個主日
[00:04:33.000 --> 00:04:36.000]  仍然能夠有生命起色
[00:04:36.000 --> 00:04:40.000]  來朝見你敬拜你
[00:04:40.000 --> 00:04:43.000]  天父求你讓我們珍惜
[00:04:43.000 --> 00:04:46.000]  每一次能夠敬拜你
[00:04:46.000 --> 00:04:48.000]  侍奉你的機會
[00:04:48.000 --> 00:04:52.000]  因為這個都不是必然的
[00:04:52.000 --> 00:04:55.000]  當我們打開你的聖言的時候
[00:04:55.000 --> 00:04:58.000]  求你向我們每一個人來說話
[00:04:58.000 --> 00:05:00.000]  讓我們將你的話語
[00:05:00.000 --> 00:05:04.000]  放在我們的內心又能夠實行出來
[00:05:04.000 --> 00:05:06.000]  求你撫聽我們的祈禱
[00:05:06.000 --> 00:05:10.000]  靠賴耶穌基督的聖名求
[00:05:10.000 --> 00:05:11.000]  阿們
[00:05:30.000 --> 00:05:33.000]  主要是先知阿摩斯在主前八世紀
[00:05:33.000 --> 00:05:38.000]  在北國聖城伯特利所宣講的寓言
[00:05:38.000 --> 00:05:42.000]  阿摩斯最基本的訓誨之一是什麼呢?
[00:05:42.000 --> 00:05:44.000]  就是責備那些以色列人
[00:05:44.000 --> 00:05:48.000]  只是表面遵循教法教規
[00:05:48.000 --> 00:05:52.000]  但內心卻是活躍上帝的心意
[00:05:52.000 --> 00:05:54.000]  而且相當偽善
[00:05:54.000 --> 00:05:57.000]  這是人類的大惡
[00:05:57.000 --> 00:06:01.000]  去到新約又有一批人也是這樣
[00:06:01.000 --> 00:06:03.000]  這次我不問劉傳道了
[00:06:03.000 --> 00:06:04.000]  我問遠一點
[00:06:04.000 --> 00:06:06.000]  問江海明傳道
[00:06:06.000 --> 00:06:08.000]  去到新約
[00:06:08.000 --> 00:06:11.000]  哪些人耶穌是最不喜悅的?
[00:06:11.000 --> 00:06:13.000]  我已經聽到了
[00:06:13.000 --> 00:06:14.000]  雖然他戴著口罩
[00:06:14.000 --> 00:06:16.000]  就是那些什麼
[00:06:16.000 --> 00:06:19.000]  不過他們不是所有都是這樣
[00:06:19.000 --> 00:06:20.000]  有些都是好的
[00:06:20.000 --> 00:06:23.000]  我們不要一竹篙打一船人
[00:06:23.000 --> 00:06:26.000]  就是有一部分偽善的文士
[00:06:26.000 --> 00:06:28.000]  和法理賽人
[00:06:28.000 --> 00:06:30.000]  這也是主耶穌
[00:06:30.000 --> 00:06:35.000]  他很深深恨惡痛絕
[00:06:35.000 --> 00:06:38.000]  阿摩斯我們今天看第四章的內容
[00:06:38.000 --> 00:06:41.000]  當然我只讀兩節
[00:06:41.000 --> 00:06:45.000]  但我們會看完整章
[00:06:45.000 --> 00:06:47.000]  阿摩斯書其實第四章的內容
[00:06:47.000 --> 00:06:49.000]  是延續第二章的審判
[00:06:49.000 --> 00:06:51.000]  那裡說的是什麼呢?
