
[00:00:00.000 --> 00:00:03.320]  神的獨生子耶穌基督求祢私恩可憐這個罪孽
[00:00:03.320 --> 00:00:06.320]  願意在主祢面前試納宣廣主的恩言
[00:00:06.320 --> 00:00:10.880]  願意主耶穌基督的保血再一次洗淨這個不配人的罪
[00:00:10.880 --> 00:00:13.920]  願意孩子能夠成為神話語的出口
[00:00:13.920 --> 00:00:16.200]  能夠將主的恩言解明
[00:00:16.200 --> 00:00:20.000]  為將願意真理聖靈開啟我們的心竅
[00:00:20.000 --> 00:00:21.920]  帶領我們進入真理
[00:00:21.920 --> 00:00:24.720]  恭祈將以下環節交託仰望
[00:00:24.720 --> 00:00:26.720]  求主保守恩靈
[00:00:26.720 --> 00:00:29.640]  祈禱,乃奉耶穌基督聖名祈求
[00:00:29.640 --> 00:00:36.400]  剛才多謝衛生執事來中讀這段經文
[00:00:36.400 --> 00:00:37.840]  都用了很多時間
[00:00:37.840 --> 00:00:40.120]  因為節奏很長
[00:00:40.120 --> 00:00:42.480]  但我都想了很久
[00:00:42.480 --> 00:00:45.240]  他們會不會選讀呢?
[00:00:45.240 --> 00:00:47.720]  但我其中一個原因就是我發覺
[00:00:47.720 --> 00:00:53.800]  就說這班門徒如果用技術來說這麼長
[00:00:53.800 --> 00:01:01.040]  他要到最後才好像明白耶穌說什麼
[00:01:01.040 --> 00:01:06.080]  相遇在往爾瑪五師的路上不明白
[00:01:06.080 --> 00:01:11.640]  去到爾瑪五師的村子坐下用餐的時候
[00:01:11.640 --> 00:01:14.680]  就好像恍然大悟
[00:01:14.680 --> 00:01:16.880]  耶穌就不見了
[00:01:16.880 --> 00:01:20.160]  我們就回到耶路撒冷
[00:01:20.160 --> 00:01:25.480]  這是經文的敘述
[00:01:25.480 --> 00:01:27.440]  今天講到三個重點
[00:01:27.440 --> 00:01:30.840]  就是從迷糊到漢建
[00:01:30.840 --> 00:01:33.440]  從失望到火熱
[00:01:33.440 --> 00:01:37.360]  從逃避到宣告
[00:01:37.360 --> 00:01:39.600]  我們講敘事的開始
[00:01:39.600 --> 00:01:43.120]  經文十三節正當那日
[00:01:43.120 --> 00:01:45.480]  那日是哪一天呢?
[00:01:45.480 --> 00:01:48.280]  我們看回二十四章
[00:01:48.280 --> 00:01:51.960]  講述七天的頭一天
[00:01:51.960 --> 00:01:55.400]  是耶穌復活的那一天
[00:01:55.400 --> 00:01:59.280]  七天的第一天是回響創世紀
[00:01:59.280 --> 00:02:04.320]  和啟示錄創造的秩序
[00:02:04.320 --> 00:02:07.600]  是一個耶穌來宣告
[00:02:07.600 --> 00:02:15.440]  或是耶穌作為新創造的開始
[00:02:15.440 --> 00:02:18.920]  神在第一天來創造
[00:02:18.920 --> 00:02:21.160]  用祂的言說來宣告
[00:02:21.160 --> 00:02:23.440]  有光就有光
[00:02:23.440 --> 00:02:26.440]  是回響整個耶穌基督
[00:02:26.440 --> 00:02:28.360]  帶來一個新的開始
[00:02:28.360 --> 00:02:31.080]  從死裡復活
[00:02:31.080 --> 00:02:35.760]  去創造一個新的秩序
[00:02:35.760 --> 00:02:37.720]  在一到十二節二十四章
