
[00:00:00.000 --> 00:00:07.800]  過去這兩個星期和大家分享了一個港獨的系列 神的總管
[00:00:07.800 --> 00:00:09.420]  今天是第三講
[00:00:09.420 --> 00:00:12.980]  不知道經過兩個星期之後
[00:00:12.980 --> 00:00:16.700]  大家聽完兩堂的訊息
[00:00:16.700 --> 00:00:19.140]  大家可能有一點點的看法
[00:00:19.140 --> 00:00:20.540]  有一點點不同的感動
[00:00:20.540 --> 00:00:24.840]  過去兩個星期我們學做神的總管
[00:00:24.840 --> 00:00:27.800]  這個其實我們也不是沒有聽過的
[00:00:27.800 --> 00:00:29.380]  不過也聽過的人聽過
[00:00:29.380 --> 00:00:31.240]  聽完之後
[00:00:31.240 --> 00:00:34.500]  你覺得最難做的是什麼呢
[00:00:34.500 --> 00:00:36.840]  如果做一個成功的總管
[00:00:36.840 --> 00:00:42.440]  先不說成功 先說做神的總管 做一個神的管家
[00:00:42.440 --> 00:00:48.900]  你發覺你最難克服的問題是什麼呢
[00:00:48.900 --> 00:00:50.340]  有沒有想過這個問題呢
[00:00:50.340 --> 00:00:52.660]  牧師教聖經是這樣講的
[00:00:52.660 --> 00:00:54.500]  我們是神的管家
[00:00:54.500 --> 00:00:58.100]  但是最難的 你認為是什麼呢
[00:00:58.100 --> 00:01:00.100]  有沒有人猜到
[00:01:00.100 --> 00:01:03.280]  我們的題目是什麼呢
[00:01:03.280 --> 00:01:05.360]  最難是信任
[00:01:05.360 --> 00:01:06.980]  不是信任自己
[00:01:06.980 --> 00:01:08.480]  最難的功課是什麼呢
[00:01:08.480 --> 00:01:10.960]  去信任神
[00:01:10.960 --> 00:01:14.180]  你不要說信任神 有時候信任人也很困難
[00:01:14.180 --> 00:01:15.920]  Isaac Watt 曾經這樣說
[00:01:15.920 --> 00:01:22.200]  Learning to trust is one of life's most difficult tasks
[00:01:22.200 --> 00:01:29.320]  原來學習信任是人生裡一個最艱難的任務
[00:01:29.320 --> 00:01:31.040]  人的任務很多 要做的也很多
[00:01:31.040 --> 00:01:33.040]  但是其中一個最艱難的任務
[00:01:33.040 --> 00:01:34.800]  不過我很喜歡用一個詞
[00:01:34.800 --> 00:01:35.880]  Task
[00:01:35.880 --> 00:01:40.360]  中文的翻譯 這是我翻譯的 任務
[00:01:40.360 --> 00:01:42.360]  如果是任務的時候
[00:01:42.360 --> 00:01:44.060]  就不是可以做可以不做
[00:01:44.060 --> 00:01:45.900]  就是給你工作去做
[00:01:45.900 --> 00:01:50.940]  你沒有選擇 你必須要學習去做這個信任的功課
[00:01:50.940 --> 00:01:54.300]  事實上 人與人之間相處 大家都應該很明白
[00:01:54.300 --> 00:01:55.800]  夫妻更加不用說
[00:01:55.800 --> 00:01:57.340]  如果沒有信任的話
[00:01:57.340 --> 00:02:01.020]  大家根本就不能夠合作
[00:02:01.020 --> 00:02:03.340]  一個團隊沒有信任的時候
[00:02:03.340 --> 00:02:06.220]  我們根本不可能做出什麼好的事情出來
[00:02:06.220 --> 00:02:08.620]  或者做出什麼大事出來
[00:02:08.620 --> 00:02:12.380]  所以Victor Dove 進一步這樣說
[00:02:12.380 --> 00:02:17.180]  If we really want to be full and generous in spirit
[00:02:17.180 --> 00:02:21.900]  we have no choice but to trust at some level
[00:02:21.900 --> 00:02:25.660]  他說 如果我們真的想生活很滿足
[00:02:25.660 --> 00:02:28.140]  精神很飽足 很豐富的話
[00:02:28.140 --> 00:02:30.780]  我們別無選擇
[00:02:30.780 --> 00:02:35.260]  必須要在某個程度上去信任
[00:02:35.260 --> 00:02:38.060]  這個就是我們要說的一個題目
[00:02:38.060 --> 00:02:41.740]  因為人與人相處都已經是這樣了
[00:02:41.740 --> 00:02:43.740]  我們說信仰 什麼叫信仰
[00:02:43.740 --> 00:02:45.980]  信仰是把信心放出去的
[00:02:45.980 --> 00:02:48.060]  在信仰上來說
[00:02:48.060 --> 00:02:51.580]  我們更加需要去說trust
[00:02:51.580 --> 00:02:54.060]  這個功課
[00:02:54.060 --> 00:02:55.580]  而在信仰上來說
[00:02:55.580 --> 00:02:57.260]  我們知道我們所信任的
[00:02:57.260 --> 00:03:00.780]  不是那些時時都會失信的人
[00:03:00.780 --> 00:03:03.500]  無論是有心失信 或者無意失信也好
[00:03:03.500 --> 00:03:05.740]  總之人是很糟糕的
[00:03:05.740 --> 00:03:09.660]  你多可能見到一個完全100% honest的人
[00:03:09.660 --> 00:03:11.260]  媽呀 牧師
[00:03:11.260 --> 00:03:13.740]  我都不敢說
[00:03:13.740 --> 00:03:15.100]  無論有意也好 無意也好
[00:03:15.100 --> 00:03:18.780]  很多時候會發現人很軟弱
[00:03:18.780 --> 00:03:21.980]  有意無意地會忘記一些事情
[00:03:21.980 --> 00:03:23.500]  會失信諸如此類
[00:03:23.500 --> 00:03:25.500]  但是在信仰上來說
[00:03:25.500 --> 00:03:28.620]  我們是要相信一個100%
[00:03:28.620 --> 00:03:32.380]  永遠不會失信的天父上帝
[00:03:32.380 --> 00:03:35.420]  永遠不會失信的神
[00:03:35.420 --> 00:03:37.180]  所以這個問題就是說
[00:03:37.180 --> 00:03:39.420]  如果我們要學習信任的話
[00:03:39.420 --> 00:03:42.620]  神希望我們不是信一點不信一點
[00:03:42.620 --> 00:03:46.380]  剛才我們quote那兩個人所說的 at some level
[00:03:46.380 --> 00:03:49.500]  沒有信 怎麼可以不生活呢
[00:03:49.500 --> 00:03:54.060]  你信不信同一個完全100% honest的人做生意呢
[00:03:54.060 --> 00:03:55.180]  如果你做生意的話
