
[00:00:00.000 --> 00:00:02.000]  丁小妹 早安
[00:00:02.000 --> 00:00:05.500]  今天是12月29日
[00:00:05.500 --> 00:00:07.500]  快要踏進新的一年
[00:00:07.500 --> 00:00:10.500]  在這裏也祝大家蒙福新年快樂
[00:00:10.500 --> 00:00:15.000]  今年大家預備了些甚麼迎接聖誕
[00:00:15.000 --> 00:00:23.000]  我家裏買了一個聖誕樹迎接聖誕
[00:00:23.000 --> 00:00:25.000]  因為我家裏兩個女兒
[00:00:25.000 --> 00:00:30.000]  見到聖誕樹就會尖叫 狂歡
[00:00:30.000 --> 00:00:34.000]  不停的叫囂 振奮
[00:00:34.000 --> 00:00:38.000]  乘車見到尖沙咀有聖誕樹
[00:00:38.000 --> 00:00:40.000]  「Daddy 聖誕樹呀」
[00:00:40.000 --> 00:00:42.000]  在屯門見到聖誕樹
[00:00:42.000 --> 00:00:44.000]  「Daddy 聖誕樹呀」
[00:00:44.000 --> 00:00:47.000]  好像他們見過我沒見過的樣子
[00:00:47.000 --> 00:00:48.000]  很開心
[00:00:48.000 --> 00:00:50.000]  所以買了棵聖誕樹回家
[00:00:50.000 --> 00:00:52.000]  不過買了又不叫 不知道為甚麼
[00:00:52.000 --> 00:00:55.000]  走到街上才開心
[00:00:55.000 --> 00:01:01.000]  不過這棵聖誕樹是為誰而買的
[00:01:01.000 --> 00:01:06.000]  為了兩個女兒而買
[00:01:06.000 --> 00:01:09.000]  我想我今個聖誕
[00:01:09.000 --> 00:01:13.000]  預備了些甚麼去迎接聖誕
[00:01:13.000 --> 00:01:15.000]  我發覺沒有甚麼
[00:01:15.000 --> 00:01:18.000]  所以靜下來
[00:01:18.000 --> 00:01:20.000]  看回神的說話
[00:01:20.000 --> 00:01:22.000]  上帝希望我們
[00:01:22.000 --> 00:01:25.000]  預備些甚麼
[00:01:25.000 --> 00:01:30.000]  預備主耶穌的降生
[00:01:30.000 --> 00:01:34.000]  我們一起祈禱
[00:01:34.000 --> 00:01:36.000]  天父祢每天看顧我們
[00:01:36.000 --> 00:01:42.000]  每天就保守麻雀一樣去保守我們
[00:01:42.000 --> 00:01:46.000]  大主 我們在祢的面前很有虧欠
[00:01:46.000 --> 00:01:49.000]  有時我們遠離祢的心意
[00:01:49.000 --> 00:01:51.000]  實在很遠
[00:01:51.000 --> 00:01:55.000]  有時我們未必懂得去為著主
[00:01:55.000 --> 00:01:59.000]  祢為我們的降生 受苦 受死
[00:01:59.000 --> 00:02:01.000]  去預備些甚麼
[00:02:01.000 --> 00:02:03.000]  主求祢幫助我們
[00:02:03.000 --> 00:02:05.000]  打開我們的眼睛
[00:02:05.000 --> 00:02:06.000]  看得明白
[00:02:06.000 --> 00:02:10.000]  上帝祢怎樣教導門徒
[00:02:10.000 --> 00:02:14.000]  誠誠跟從主祢的過程
[00:02:14.000 --> 00:02:16.000]  原主祢幫助我們
[00:02:16.000 --> 00:02:20.000]  使我們的歲月時間不自白白流逝
[00:02:20.000 --> 00:02:22.000]  不自白白浪費
[00:02:22.000 --> 00:02:24.000]  主 多謝祢
[00:02:24.000 --> 00:02:28.000]  求祢帶領我們一起去思想神的心意
[00:02:28.000 --> 00:02:31.000]  祈禱奉耶穌基督名求
[00:02:31.000 --> 00:02:32.000]  阿們
[00:02:32.000 --> 00:02:36.000]  《達文西文碼》這部電影
[00:02:36.000 --> 00:02:39.000]  有一幕有兩個人聊天
[00:02:39.000 --> 00:02:43.000]  其中一個是一個類似俄國的軍官
[00:02:43.000 --> 00:02:48.000]  他跟旁邊的學者說了以下這句說話
[00:02:48.000 --> 00:02:55.000]  未來統治世界的兩個人
[00:02:55.000 --> 00:03:00.000]  第一個是拿著氧氣的人
[00:03:00.000 --> 00:03:02.000]  因為沒有氧氣大家都會死
[00:03:02.000 --> 00:03:09.000]  第二個人是知道耶穌何時回來的人
[00:03:09.000 --> 00:03:16.000]  歷世歷代很多人都估計、推測、查考
[00:03:16.000 --> 00:03:20.000]  到底這個時間是何時
[00:03:20.000 --> 00:03:23.000]  有些遠古部落
[00:03:23.000 --> 00:03:26.000]  相信兩個時段是最有機會回來的
[00:03:26.000 --> 00:03:31.000]  第一個是每一年的12月31日
[00:03:31.000 --> 00:03:35.000]  跨越1月1日的中間
[00:03:35.000 --> 00:03:37.000]  這個時候很緊張
[00:03:37.000 --> 00:03:39.000]  不過沒有事情發生
[00:03:39.000 --> 00:03:45.000]  第二段開始有些聲音說是耶穌降生那天
[00:03:45.000 --> 00:03:47.000]  這個很清晰
[00:03:47.000 --> 00:03:49.000]  12月24日
[00:03:49.000 --> 00:03:51.000]  不過有班學者又研究了
[00:03:51.000 --> 00:03:56.000]  原來那天並非是耶穌真正降生的日子
[00:03:56.000 --> 00:03:59.000]  又成為了一個大謎團
[00:03:59.000 --> 00:04:01.000]  始終都是out
[00:04:01.000 --> 00:04:03.000]  沒有人知道
[00:04:03.000 --> 00:04:06.000]  不過很奇怪
[00:04:06.000 --> 00:04:10.000]  歷世歷代很多異端都提出
[00:04:10.000 --> 00:04:12.000]  那天就是耶穌回來了
[00:04:12.000 --> 00:04:14.000]  但那天又沒有事情發生
[00:04:14.000 --> 00:04:16.000]  但是信徒沒有離開
[00:04:16.000 --> 00:04:18.000]  繼續熱衷
[00:04:18.000 --> 00:04:22.000]  做過這個研究的一個美國人
[00:04:22.000 --> 00:04:24.000]  一個社會學者
[00:04:24.000 --> 00:04:26.000]  他叫卡羅·海斯
[00:04:26.000 --> 00:04:28.000]  他寫了一本書叫《錯不在我》
[00:04:28.000 --> 00:04:31.000]  其中第一個章節和第三個章節
[00:04:31.000 --> 00:04:35.000]  他說美國有兩個神秘教派都提出
[00:04:35.000 --> 00:04:40.000]  1994年9月4日和10月14日
[00:04:40.000 --> 00:04:42.000]  就是耶穌回來了
[00:04:42.000 --> 00:04:44.000]  不過時間過了沒有?
[00:04:44.000 --> 00:04:46.000]  已經過了
[00:04:46.000 --> 00:04:50.000]  另一個教派看完《以西傑書》
[00:04:50.000 --> 00:04:56.000]  看到耶路撒冷被圍430天推敲
[00:04:56.000 --> 00:05:00.000]  就是1994年的5月2日
[00:05:00.000 --> 00:05:02.000]  耶穌降臨
[00:05:02.000 --> 00:05:03.000]  有沒有發生這件事?
[00:05:03.000 --> 00:05:05.000]  都沒有
[00:05:05.000 --> 00:05:07.000]  奇怪,信徒不離開
[00:05:07.000 --> 00:05:09.000]  原因就是他指出
[00:05:09.000 --> 00:05:12.000]  人很怕認錯
[00:05:12.000 --> 00:05:14.000]  因為大家怕認錯
[00:05:14.000 --> 00:05:18.000]  教主就創造一些故事
[00:05:18.000 --> 00:05:20.000]  幫大家不用認錯
[00:05:20.000 --> 00:05:22.000]  其中一個說法就是
[00:05:22.000 --> 00:05:24.000]  因為我們勁勤
[00:05:24.000 --> 00:05:25.000]  原本耶穌真的回來了
[00:05:25.000 --> 00:05:27.000]  不過我們勁勤
[00:05:27.000 --> 00:05:29.000]  所以耶穌給我們多一點時間
[00:05:29.000 --> 00:05:30.000]  大家開心嗎?
[00:05:30.000 --> 00:05:32.000]  開心
[00:05:32.000 --> 00:05:36.000]  大家繼續在異端組織裏
[00:05:36.000 --> 00:05:41.000]  這兩個神秘教派都沒有來過香港
