
[00:00:00.000 --> 00:00:04.720]  我們怎麼樣去判斷一個嬰孩的成長是否正常呢
[00:00:04.720 --> 00:00:07.880]  過去的父母是靠着目測
[00:00:07.880 --> 00:00:10.560]  只要這個孩子長得夠肥
[00:00:10.560 --> 00:00:12.920]  那就覺得長得不錯
[00:00:12.920 --> 00:00:14.680]  現在比較科學
[00:00:14.680 --> 00:00:16.240]  當你抱着孩子去診所
[00:00:16.240 --> 00:00:20.560]  小兒科醫生會測量孩子的身高 體重 頭圍
[00:00:20.560 --> 00:00:22.480]  然後給父母一張圖表
[00:00:22.480 --> 00:00:29.320]  讓你知道說這個孩子在同齡的這個孩童當中是否正常
[00:00:30.480 --> 00:00:32.920]  如果這個孩子一直低於正常水平
[00:00:32.920 --> 00:00:34.360]  那我們就擔心了
[00:00:34.360 --> 00:00:37.680]  我們想說一定有一些的問題存在
[00:00:37.680 --> 00:00:42.480]  其實當剛剛重生得救的這些的基督徒
[00:00:42.480 --> 00:00:45.120]  也像是屬齡的嬰孩不是嗎
[00:00:45.120 --> 00:00:49.160]  在正常的情況下面他對於屬齡的事物
[00:00:49.160 --> 00:00:51.080]  他了解會增長
[00:00:51.080 --> 00:00:53.680]  與神的關係會增長
[00:00:53.680 --> 00:00:56.280]  透過讀經 禱告 聚會
[00:00:56.280 --> 00:00:58.480]  屬齡的肌肉會越來越強壯
[00:00:59.280 --> 00:01:01.200]  慢慢地他會站立起來
[00:01:01.200 --> 00:01:03.400]  會行走 會去侍奉神
[00:01:03.400 --> 00:01:05.760]  會帶着目標跟盼望前進
[00:01:05.760 --> 00:01:08.840]  我相信我們當中很多弟兄姊妹也是這樣
[00:01:08.840 --> 00:01:10.320]  對信仰充滿期待
[00:01:10.320 --> 00:01:15.320]  就好像這些孩子們對未來充滿期待一樣
[00:01:15.320 --> 00:01:20.720]  但我也相信有些基督徒雖然他們一開始也是這樣
[00:01:20.720 --> 00:01:22.800]  很有生命力
[00:01:22.800 --> 00:01:25.320]  成長的勢頭很好
[00:01:25.320 --> 00:01:27.360]  但是過一陣子
[00:01:28.000 --> 00:01:32.080]  他們卻進入了一個行禮如儀的習慣裏面
[00:01:32.080 --> 00:01:35.480]  參加禮拜 偶爾讀經
[00:01:35.480 --> 00:01:36.920]  奉獻一些金錢
[00:01:36.920 --> 00:01:40.640]  遇到難處的時候會向上帝禱告
[00:01:40.640 --> 00:01:44.920]  對很多宗教的術語很熟悉
