
[00:00:00.000 --> 00:00:02.840]  今天很感謝神 也感謝李牧師
[00:00:02.840 --> 00:00:07.900]  讓我在崇拜裡面分享
[00:00:07.900 --> 00:00:12.200]  我自己在想 與其一個人講完
[00:00:12.200 --> 00:00:14.640]  不如讓大家一起來講一下
[00:00:14.640 --> 00:00:17.760]  因為我代替不了他們的感恩
[00:00:17.760 --> 00:00:20.000]  他們看到的事情 他們經歷的事情
[00:00:20.000 --> 00:00:22.720]  是他們很個人的 是不是?
[00:00:22.720 --> 00:00:24.820]  在預備講道的時候
[00:00:24.820 --> 00:00:27.920]  我就不知道會有幸福小組
[00:00:27.920 --> 00:00:30.400]  所以今天我的題目不是幸福
[00:00:30.400 --> 00:00:34.080]  而是喚醒無知的人
[00:00:34.080 --> 00:00:37.120]  因為最近一直都覺得
[00:00:37.120 --> 00:00:40.040]  現在是知識爆炸的時代
[00:00:40.040 --> 00:00:43.320]  很多人是努力去學習的
[00:00:43.320 --> 00:00:47.680]  你就算90歲 90多歲 去到100歲
[00:00:47.680 --> 00:00:49.560]  只要你的手指還可以動 是不是?
[00:00:49.560 --> 00:00:52.360]  你可以按你的電腦 按你的電視
[00:00:52.360 --> 00:00:56.320]  按你的iPad 什麼都好 手機
[00:00:56.320 --> 00:01:00.200]  很多資訊你都不用去圖書館找到
[00:01:00.200 --> 00:01:03.800]  所以圖書館現在有時候是冷清清的
[00:01:03.800 --> 00:01:07.880]  我們求神幫我們 能夠繼續去追求
[00:01:07.880 --> 00:01:10.080]  但不只是世界的知識
[00:01:10.080 --> 00:01:13.000]  你知不知道世界的知識 你學不完的
[00:01:13.000 --> 00:01:16.840]  《聖經傳道書》講得很清楚的
[00:01:16.840 --> 00:01:19.480]  聽的東西 聽不完的
[00:01:19.480 --> 00:01:22.320]  讀的書 讀不飽的
[00:01:22.320 --> 00:01:24.640]  眼睛都累了 都看不完的
[00:01:24.640 --> 00:01:27.440]  現在連腦袋都記不了那麼多
[00:01:27.440 --> 00:01:29.360]  所以看一看
[00:01:29.360 --> 00:01:32.640]  就喚醒我們 不要做無知的人
[00:01:32.640 --> 00:01:36.960]  無知的定義 無知是ignorance
[00:01:36.960 --> 00:01:40.920]  是指缺乏了知識 資訊 經驗
[00:01:40.920 --> 00:01:44.800]  或者對事理的明辨能力
[00:01:44.800 --> 00:01:49.480]  它不僅僅是心理地圖上的空白
[00:01:49.480 --> 00:01:55.520]  還可以是認知狀態以下的三個層次
[00:01:55.520 --> 00:01:58.880]  可以表達出來有三個層次
[00:01:58.880 --> 00:02:03.840]  第一是自知仍無知 已知其無知
[00:02:03.840 --> 00:02:08.040]  清楚知道自己不了解某個領域
[00:02:08.040 --> 00:02:12.800]  這也是哲學家蘇格拉底所提倡的
[00:02:12.800 --> 00:02:15.040]  「無知之知」
[00:02:15.040 --> 00:02:19.080]  這種認知會轉化為好奇心
[00:02:19.080 --> 00:02:23.360]  促使人不斷學習和去探索
[00:02:23.360 --> 00:02:26.720]  為什麼我們要不斷上網看東西呢
[00:02:26.720 --> 00:02:29.040]  是因為我們內裡有好奇心
[00:02:29.040 --> 00:02:31.320]  這是一件好事
