
[00:00:00.000 --> 00:00:06.000]  傳道書中描寫人生很現實,今次很有感觸
[00:00:06.000 --> 00:00:13.000]  年紀越大就會更深的感受到傳道者對人生的描寫
[00:00:13.000 --> 00:00:20.000]  他說:「一代過去,一代猶來,地卻永遠長存」
[00:00:20.000 --> 00:00:27.000]  真的,這個地球和這個地球上的土地已經存在了很多年
[00:00:27.000 --> 00:00:35.000]  只不過這塊土地上的人是一代一代不斷更換
[00:00:35.000 --> 00:00:41.000]  聖經告訴我們,人是用泥土造出來的
[00:00:41.000 --> 00:00:45.000]  最後也要歸回塵土
[00:00:45.000 --> 00:00:50.000]  我們就要思想,究竟我們為什麼要活著呢?
[00:00:50.000 --> 00:00:53.000]  我們的人生有沒有方向呢?
[00:00:53.000 --> 00:00:58.000]  我們怎樣可以活出一個豐盛和有意義的人生呢?
[00:00:58.000 --> 00:01:04.000]  我們已經看了幾段出埃及記的經文
[00:01:04.000 --> 00:01:10.000]  從這些經文中,我們可以看到上帝拯救了他的子民
[00:01:10.000 --> 00:01:13.000]  離開了埃及
[00:01:13.000 --> 00:01:20.000]  以色列人從前在埃及本來是過著很舒服的生活
[00:01:20.000 --> 00:01:24.000]  不過後來有位新的埃及王做了皇帝之後
[00:01:24.000 --> 00:01:29.000]  他就看到以色列的人口增加得很快,不斷增加
[00:01:29.000 --> 00:01:32.000]  他就怕起來了
[00:01:32.000 --> 00:01:38.000]  由於懼怕,他就想盡方法去虐待以色列人
[00:01:38.000 --> 00:01:43.000]  甚至要將他們的男嬰全部殺了
[00:01:43.000 --> 00:01:47.000]  這一招是很陰毒的,很毒的
[00:01:47.000 --> 00:01:51.000]  如果成功的話,以色列人從此滅種
[00:01:51.000 --> 00:01:55.000]  以後再沒有以色列人了
[00:01:55.000 --> 00:01:57.000]  於是對以色列人來說
[00:01:57.000 --> 00:02:02.000]  這個本來很舒服的埃及變成了一個好像地獄的地方
[00:02:02.000 --> 00:02:05.000]  以色列人成為了奴隸階層
[00:02:05.000 --> 00:02:09.000]  最低階層沒有自由,沒有權利可言
[00:02:09.000 --> 00:02:18.000]  故此從天國的角度去看,埃及就象徵了人是生活在黑暗當中
[00:02:18.000 --> 00:02:25.000]  被罪惡捆綁,沒有自由去跟隨上主和做上主喜歡的事
[00:02:25.000 --> 00:02:29.000]  這是我們生活的世界
[00:02:29.000 --> 00:02:32.000]  很多人以為自己有自由
[00:02:32.000 --> 00:02:35.000]  可以為所欲為,我喜歡做什麼就做什麼
[00:02:35.000 --> 00:02:43.000]  但他們不知道的是,其實他們所有的人都是被魔鬼控制,不能自拔
