
[00:00:00.000 --> 00:00:04.500]  好了,很高興能夠和大家一同來分享上帝的話語。
[00:00:04.500 --> 00:00:10.500]  特別的話,我今天就引用了一處的經文,是大家非常熟悉的。
[00:00:10.500 --> 00:00:16.500]  因為每一次使用這段經文的時候,幾乎都是在婚禮上面的。
[00:00:16.500 --> 00:00:21.500]  在婚禮的上面,我們會經常講愛的詩篇,各個方面。
[00:00:21.500 --> 00:00:28.500]  我們今天一同來思想,其實當保羅要去解決教會問題的時候,
[00:00:28.500 --> 00:00:34.500]  他有很多屬靈的原則,其中最大的一個原則是什麼呢?
[00:00:34.500 --> 00:00:37.000]  其實就是愛。
[00:00:37.000 --> 00:00:43.500]  諾貝爾和平獎德雷薩修女,有一天在印度發生了這樣的一件事。
[00:00:43.500 --> 00:00:50.500]  有一天她看到好多的小孩子肚子非常的餓,她很想去幫助他們。
[00:00:50.500 --> 00:00:54.500]  於是她就跑到了一個麵包店裡面,
[00:00:54.500 --> 00:00:59.000]  苦苦哀求麵包店的老闆能不能幫助這幫孩子,
[00:00:59.000 --> 00:01:03.000]  讓他們有東西吃才能夠活下來。
[00:01:03.000 --> 00:01:09.500]  她不斷地懇求這個麵包店的老闆,這個麵包店的老闆不理她,
[00:01:09.500 --> 00:01:15.500]  最後她一直懇求他,最後麵包店的這個老闆他生氣了。
[00:01:15.500 --> 00:01:21.500]  生氣完了之後,就在德雷薩修女的臉上吐了一口痰。
[00:01:21.500 --> 00:01:25.500]  弟兄姐妹,如果是你,你什麼反應?
[00:01:25.500 --> 00:01:30.500]  給就給,不給就算,為什麼吐一口痰在我的臉上呢?
[00:01:30.500 --> 00:01:32.500]  那是一種侮辱。
[00:01:32.500 --> 00:01:40.500]  但是德雷薩修女講了一句話,她說:謝謝,這是你給我的,那幫孩子呢?
[00:01:40.500 --> 00:01:47.000]  就在這一剎那間,上帝的靈就感動了這個麵包店的老闆,
[00:01:47.000 --> 00:01:55.500]  接下來每一天的裡面,他都把麵包店裡面剩下的麵包送給這幫孩子。
[00:01:55.500 --> 00:02:02.500]  弟兄姐妹,如果我們的愛裡面不夠的話,我們會不會生氣?
[00:02:02.500 --> 00:02:08.500]  今天你作為基督徒,你必須把上帝的愛進入到你的家庭裡面,
[00:02:08.500 --> 00:02:12.500]  把上帝給你的愛進入到你的工作當中,
[00:02:12.500 --> 00:02:18.000]  如果你帶著愛進入到生活裡面,結果一樣嗎?
[00:02:18.000 --> 00:02:21.500]  因為愛不夠,所以你會生氣;
[00:02:21.500 --> 00:02:27.000]  因為愛不夠,所以你去付出的時候,你會覺得付出很多。
[00:02:27.000 --> 00:02:33.500]  我們來看看,其實保羅在解決教會問題的時候,用了很重要的一個原則,
[00:02:33.500 --> 00:02:35.500]  其實就是愛的原則。
[00:02:35.500 --> 00:02:40.000]  我們來看這幾節經文,很簡單。
[00:02:40.000 --> 00:02:46.500]  但是在這幾節經文裡面,它隱藏著豐富的意義在裡面。
[00:02:46.500 --> 00:02:55.000]  上帝有許多美好的旨意,神的永恆的定力,藉著它表明了出來。
[00:02:55.000 --> 00:03:02.000]  這個世界在上帝的手中,君王的心也在上帝的手中,
[00:03:02.000 --> 00:03:07.000]  我們基督徒的生命也是在上帝的手中。
[00:03:07.000 --> 00:03:12.000]  所以我們來看看,到底我們基督徒的生活應該是怎麼樣的。
[00:03:12.000 --> 00:03:17.000]  當保羅要解決格林多教會許多問題的時候,
[00:03:17.000 --> 00:03:22.000]  不單單是提醒以前的,也是提醒我們現在的。
[00:03:22.000 --> 00:03:26.000]  在十三章的裡面,在第七節,
[00:03:26.000 --> 00:03:35.000]  他講:愛是凡事包容,凡事相信,凡事盼望,凡事忍耐。
