
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的週六送拜
[00:00:03.000 --> 00:00:07.000]  今年年初我們開始了一個新的講道系列
[00:00:07.000 --> 00:00:09.000]  叫做「未來報告」
[00:00:09.000 --> 00:00:14.000]  系列的內容是舊日聖經裏面的十二小先知
[00:00:14.000 --> 00:00:20.000]  聖經學者相信十二小先知書不單止是十二本獨立的先知書
[00:00:20.000 --> 00:00:26.000]  它們亦都是一套經過後期編輯精心編排
[00:00:26.000 --> 00:00:29.000]  合十二唯一的先知冊
[00:00:29.000 --> 00:00:31.000]  經過了半年的努力
[00:00:31.000 --> 00:00:35.000]  我們終於來到先知冊的正中間
[00:00:35.000 --> 00:00:38.000]  就是彌加書
[00:00:38.000 --> 00:00:41.000]  和之前五個小先知一樣
[00:00:41.000 --> 00:00:44.000]  彌加帶著相同的主題
[00:00:44.000 --> 00:00:48.000]  主題就是上帝審判的宣告
[00:00:48.000 --> 00:00:52.000]  和天父迴轉的呼召
[00:00:52.000 --> 00:00:57.000]  而彌加先知它衷心勇敢地將上帝的話語
[00:00:57.000 --> 00:01:01.000]  宣告給北國的撒瑪利亞
[00:01:01.000 --> 00:01:03.000]  北國的首都
[00:01:03.000 --> 00:01:06.000]  和南國的耶路撒冷
[00:01:06.000 --> 00:01:08.000]  南國的首都
[00:01:08.000 --> 00:01:11.000]  在我們未再次進入彌加書之前
[00:01:11.000 --> 00:01:16.000]  我想和大家分享一些閱讀小先知書的貼士
[00:01:16.000 --> 00:01:22.000]  這些貼士亦都是可以應用在大先知書上面的
[00:01:22.000 --> 00:01:27.000]  首先上帝國度的彌臨
[00:01:27.000 --> 00:01:29.000]  是整本聖經的中心
[00:01:29.000 --> 00:01:32.000]  如果有人問你聖經是關於什麼
[00:01:32.000 --> 00:01:36.000]  你通常都會回答神愛世人
[00:01:36.000 --> 00:01:39.000]  但是一個更正確的方向
[00:01:39.000 --> 00:01:41.000]  一個更正確的答案
[00:01:41.000 --> 00:01:44.000]  上帝國度的彌臨
[00:01:44.000 --> 00:01:45.000]  聖經是關於什麼
[00:01:45.000 --> 00:01:48.000]  聖經是關於上帝國度的彌臨
[00:01:48.000 --> 00:01:52.000]  對於十二本小先知書來說
[00:01:52.000 --> 00:01:54.000]  這個主題就更加地埋身
[00:01:54.000 --> 00:01:57.000]  更加地迫切
[00:01:57.000 --> 00:01:59.000]  在這個大圖畫
[00:01:59.000 --> 00:02:00.000]  大主題之下
[00:02:00.000 --> 00:02:03.000]  我們做一個三二一的倒數
[00:02:03.000 --> 00:02:04.000]  三個貼士
[00:02:04.000 --> 00:02:05.000]  從三開始
[00:02:05.000 --> 00:02:07.000]  第一個貼士
