
[00:00:00.000 --> 00:00:02.560]  我們今次的系列講五個城市的故事
[00:00:02.560 --> 00:00:04.240]  今次我們會講哥林多的
[00:00:04.240 --> 00:00:08.360]  就是這個和修本的經文
[00:00:08.360 --> 00:00:11.560]  今天我們會看看宣教策略的轉化
[00:00:11.560 --> 00:00:14.920]  因為上個月我們在講宣教的信息
[00:00:14.920 --> 00:00:17.080]  聽到不同的人有不同的策略
[00:00:17.080 --> 00:00:19.440]  我們看看保羅的宣教策略
[00:00:19.440 --> 00:00:21.080]  如何會有轉變
[00:00:21.080 --> 00:00:23.720]  也幫到我們一班弟兄姊妹
[00:00:23.720 --> 00:00:25.840]  如何在我們全福音裡面
[00:00:25.840 --> 00:00:28.680]  要有一些學習的功課
[00:00:28.680 --> 00:00:31.160]  我們看看《小郎人傳》十八章一至九節
[00:00:31.160 --> 00:00:32.920]  聽我讀出當中的經文
[00:00:32.920 --> 00:00:35.800]  這時候保羅離開了雅典來到哥林多
[00:00:35.800 --> 00:00:38.680]  遇到一個猶太人名叫「雅居拉」
[00:00:38.680 --> 00:00:40.360]  他本身在本都
[00:00:40.360 --> 00:00:43.600]  因為赫羅帝命猶太人都離開羅馬
[00:00:43.600 --> 00:00:47.320]  帶著妻子「白姬拉」從意大利來
[00:00:47.320 --> 00:00:48.760]  保羅就投奔了他們
[00:00:48.760 --> 00:00:51.440]  他們本是同業製造帳棚的
[00:00:51.440 --> 00:00:53.080]  因為保羅和他們的同業
[00:00:53.080 --> 00:00:56.080]  就跟他們同住同工
[00:00:56.080 --> 00:00:57.240]  每逢安息日
[00:00:57.240 --> 00:00:59.880]  保羅就在會堂裡面辯論
[00:00:59.880 --> 00:01:05.800]  勸化猶太人、希臘人、西拉和提摩太從馬其頓來的時候
[00:01:05.800 --> 00:01:09.600]  保羅為道迫切向猶太人證明耶穌是基督
[00:01:09.600 --> 00:01:11.120]  他們既抗拒、毀謗
[00:01:11.120 --> 00:01:13.240]  保羅就抖著衣裳說
[00:01:13.240 --> 00:01:15.360]  你們的罪歸在你們自己頭上
[00:01:15.360 --> 00:01:16.080]  與我們無干
[00:01:16.080 --> 00:01:18.360]  從今以後我要往外幫人
[00:01:18.360 --> 00:01:19.960]  於是就離開那裡
[00:01:19.960 --> 00:01:21.120]  到了一個人的家裡面
[00:01:21.120 --> 00:01:22.960]  叫做「提多猶士都」
[00:01:22.960 --> 00:01:24.040]  是經拜神的
[00:01:24.040 --> 00:01:25.920]  他們的家靠近會堂
[00:01:25.920 --> 00:01:28.560]  管會堂的基利斯堡和全家都信了主
[00:01:28.560 --> 00:01:31.200]  還有很多哥倫多人聽了就信了
[00:01:31.200 --> 00:01:32.640]  並且受針
[00:01:32.640 --> 00:01:35.200]  夜間主在異象當中對保羅說
[00:01:35.200 --> 00:01:35.920]  不要怕
[00:01:35.920 --> 00:01:37.560]  只要講不要閉口
[00:01:37.560 --> 00:01:38.880]  有我與你同在
[00:01:38.880 --> 00:01:40.440]  必沒有人能下手害你
[00:01:40.440 --> 00:01:41.880]  因為在這城裡
[00:01:41.880 --> 00:01:43.640]  我們有許多的百姓
[00:01:43.640 --> 00:01:46.240]  保羅在那裡住了一年零六個月
[00:01:46.240 --> 00:01:48.960]  將神的道教訓他們
[00:01:48.960 --> 00:01:51.560]  究竟全呼音需不需要有策略呢?
[00:01:51.560 --> 00:01:53.840]  我們上個月聽過不同的宣教士
[00:01:53.840 --> 00:01:56.080]  分享到他們有不同的策略
[00:01:56.080 --> 00:01:57.400]  如何去接觸人
[00:01:57.400 --> 00:01:59.840]  有些策略就是針對當地的華人
[00:01:59.840 --> 00:02:02.640]  有些他們是針對當地人
[00:02:02.640 --> 00:02:04.080]  你聽過李嘉敏
[00:02:04.080 --> 00:02:06.960]  他在印度學了很多年泛民
[00:02:06.960 --> 00:02:08.720]  接著去接觸印度人
[00:02:08.720 --> 00:02:10.760]  向印度人傳福音
[00:02:10.760 --> 00:02:12.520]  甚至教給印度人
[00:02:12.520 --> 00:02:14.520]  在當中建立家庭
[00:02:14.520 --> 00:02:15.480]  去做這樣的工作
[00:02:15.480 --> 00:02:19.200]  但是有些就好像在歐洲
[00:02:19.200 --> 00:02:20.200]  蔡博士
[00:02:20.200 --> 00:02:23.440]  他就是針對去做當地的華人
[00:02:23.440 --> 00:02:25.440]  究竟是否需要有策略呢?
[00:02:25.440 --> 00:02:28.240]  我自己相信策略是重要的
[00:02:28.240 --> 00:02:29.960]  因為神有祂的心意
[00:02:29.960 --> 00:02:32.440]  但是人有不同的
[00:02:32.440 --> 00:02:34.520]  我們英文經常說shape
[00:02:34.520 --> 00:02:36.280]  我們有我們的恩賜
[00:02:36.280 --> 00:02:37.600]  我們有我們的經驗
[00:02:37.600 --> 00:02:38.640]  有我們的背景
[00:02:38.640 --> 00:02:39.880]  有我們的教育
[00:02:39.880 --> 00:02:41.320]  有我們的性格
[00:02:41.320 --> 00:02:43.240]  所以神就用不同的人
[00:02:43.240 --> 00:02:45.080]  在做不同的工作
[00:02:45.080 --> 00:02:45.920]  而我們不同的人
[00:02:45.920 --> 00:02:47.800]  都是在不同的處境裡面
[00:02:47.800 --> 00:02:49.760]  需要與神同工的
[00:02:49.760 --> 00:02:53.640]  這也是神給不同的人的領袖
[00:02:53.640 --> 00:02:56.200]  所以我更加相信不同的教會
[00:02:56.200 --> 00:02:57.560]  是適合不同的人
[00:02:57.560 --> 00:03:00.080]  是為了要接觸不同的人
[00:03:00.080 --> 00:03:03.440]  這也是上帝透過保羅告訴我們的
[00:03:03.440 --> 00:03:05.240]  那保羅是不是有宣教策略呢?
[00:03:05.240 --> 00:03:06.320]  當然有
[00:03:06.320 --> 00:03:07.600]  如果你看耶穌基督
[00:03:07.600 --> 00:03:08.800]  祂都有宣教策略的
[00:03:08.800 --> 00:03:10.920]  耶穌都是向著那幫
[00:03:10.920 --> 00:03:15.440]  加利利省裡面講亞蘭話的這幫人
[00:03:15.440 --> 00:03:16.560]  去傳福音
[00:03:16.560 --> 00:03:18.880]  因為耶穌本身就是講亞蘭語
[00:03:18.880 --> 00:03:22.680]  以及在加利利的地區去長大
[00:03:22.680 --> 00:03:25.160]  所以耶穌的宣教策略
[00:03:25.160 --> 00:03:26.640]  但是耶穌會告訴那些門徒
[00:03:26.640 --> 00:03:27.600]  我們不是
[00:03:27.600 --> 00:03:29.760]  我們要從猶太傳地
[00:03:29.760 --> 00:03:31.680]  撒瑪利亞直到地極
[00:03:31.680 --> 00:03:34.520]  都去將福音傳開去
[00:03:34.520 --> 00:03:36.480]  保羅的福音策略
[00:03:36.480 --> 00:03:38.200]  如果你有看《時代行傳》
[00:03:38.200 --> 00:03:39.320]  記載到
[00:03:39.320 --> 00:03:40.120]  起初的時候
[00:03:40.120 --> 00:03:43.480]  保羅很喜歡去一些大城市傳福音
[00:03:43.480 --> 00:03:44.120]  為什麼呢?
[00:03:44.120 --> 00:03:45.560]  不單止多人
[00:03:45.560 --> 00:03:47.800]  更加大城市裡面就有猶太人
[00:03:47.800 --> 00:03:49.400]  猶太人做生意
[00:03:49.400 --> 00:03:51.160]  在當中定居
[00:03:51.160 --> 00:03:53.360]  而且當中會有很多
[00:03:53.360 --> 00:03:55.160]  在當地出生的猶太人
[00:03:55.160 --> 00:03:56.480]  他們講希臘話
[00:03:56.480 --> 00:03:58.880]  就好像我們今天講的ABC
[00:03:58.880 --> 00:04:00.800]  他們在當中出生
[00:04:00.800 --> 00:04:01.760]  講英文
[00:04:01.760 --> 00:04:04.280]  但是他們的文化和他們的信仰
[00:04:04.280 --> 00:04:06.080]  都還是信耶和華的
[00:04:06.080 --> 00:04:08.360]  於是在這麼多的群體裡面
[00:04:08.360 --> 00:04:10.240]  他們就會建立這叫會堂
[00:04:10.240 --> 00:04:12.120]  就是聖殿的縮影
[00:04:12.120 --> 00:04:13.400]  因為去不了聖殿
[00:04:13.400 --> 00:04:14.840]  於是他們在會堂裡面
[00:04:14.840 --> 00:04:16.480]  安息日裡面敬拜
[00:04:16.480 --> 00:04:19.200]  保羅就故意去大城市裡面
[00:04:19.200 --> 00:04:21.680]  針對向猶太人傳福音
[00:04:21.680 --> 00:04:23.240]  因為他自己是PhD
[00:04:23.240 --> 00:04:26.040]  他是跟加瑪烈的弟子
[00:04:26.040 --> 00:04:26.800]  很出名的
[00:04:26.800 --> 00:04:28.560]  也能夠研讀聖經
[00:04:28.560 --> 00:04:29.440]  了解聖經
[00:04:29.440 --> 00:04:32.440]  當時沒那麼多人有這樣的教育水平
[00:04:32.440 --> 00:04:33.800]  於是保羅在會堂裡面
[00:04:33.800 --> 00:04:35.440]  就是一個拉比的角色
[00:04:35.440 --> 00:04:38.040]  可以走上台裡面去講道
[00:04:38.040 --> 00:04:41.640]  所以他很容易就可以去勸化猶太人
[00:04:41.640 --> 00:04:43.600]  就是要去信耶穌
[00:04:43.600 --> 00:04:44.840]  每逢去到大城市
[00:04:44.840 --> 00:04:46.200]  他就先去會堂
[00:04:46.200 --> 00:04:49.440]  向猶太人或者他們的後裔去傳福音
[00:04:49.440 --> 00:04:51.000]  這個就是他一直以來
[00:04:51.000 --> 00:04:54.120]  第一次和第二次福音旅程的策略
[00:04:54.120 --> 00:04:55.720]  講到這裡也講多一點
[00:04:55.720 --> 00:04:58.400]  其實我們宣教也有策略的
[00:04:58.400 --> 00:05:01.120]  就是這個Louis Bush在1990年的時候
[00:05:01.120 --> 00:05:03.520]  一個宣教學者他就講了
[00:05:03.520 --> 00:05:06.840]  九十年代我們傳福音傳了二千年
[00:05:06.840 --> 00:05:10.040]  都好像還有六千多個
[00:05:10.040 --> 00:05:13.320]  那些叫Unrich People Groups UPG
[00:05:13.320 --> 00:05:14.480]  是沒聽過福音
[00:05:14.480 --> 00:05:18.520]  這些民族很多都是有自己的語言
[00:05:18.520 --> 00:05:19.840]  但是沒有文字的
[00:05:19.840 --> 00:05:22.840]  所以你翻譯聖經給他也沒用
[00:05:22.840 --> 00:05:23.960]  因為他也不懂看
[00:05:23.960 --> 00:05:24.920]  他沒有自己的文字
[00:05:24.920 --> 00:05:26.080]  但是他懂得說
[00:05:26.080 --> 00:05:28.440]  但是那些語言是沒人懂的
[00:05:28.440 --> 00:05:30.520]  所以更加難去傳福音
[00:05:30.520 --> 00:05:32.840]  他也發覺就是四十四萬的宣教士
[00:05:32.840 --> 00:05:35.040]  在全球裡面
[00:05:35.040 --> 00:05:38.960]  超過九成都是在福音已臨到的地區
[00:05:38.960 --> 00:05:40.600]  去做福音工作
[00:05:40.600 --> 00:05:42.840]  所以他就說我們一定要集中資源
[00:05:42.840 --> 00:05:45.200]  在這個十四十
[00:05:45.200 --> 00:05:48.000]  就是地球的緯線
[00:05:48.000 --> 00:05:49.560]  打橫的緯線
[00:05:49.560 --> 00:05:51.920]  十度和四十度之間
[00:05:51.920 --> 00:05:53.800]  這些地方去傳福音
[00:05:53.800 --> 00:05:56.720]  因為當中是最多未信主的人
[00:05:56.720 --> 00:05:58.640]  以及最多人口
[00:05:58.640 --> 00:06:01.720]  全世界超過四分之三的人口
