
[00:00:00.000 --> 00:00:04.000]  有沒有試過拿著手機找手機
[00:00:04.000 --> 00:00:09.000]  有沒有帶著眼鏡找眼鏡
[00:00:09.000 --> 00:00:11.000]  常常都找的
[00:00:11.000 --> 00:00:14.000]  我試過一次眼鏡不見了
[00:00:14.000 --> 00:00:16.000]  找也找不到
[00:00:16.000 --> 00:00:19.000]  接著我就看著阿全
[00:00:19.000 --> 00:00:23.000]  就知道眼鏡去哪了
[00:00:23.000 --> 00:00:25.000]  就是他帶著
[00:00:25.000 --> 00:00:27.000]  他帶著我的眼鏡
[00:00:27.000 --> 00:00:31.000]  玩什麼都找不到我的眼鏡
[00:00:31.000 --> 00:00:35.000]  我們很多時候手上有很多東西
[00:00:35.000 --> 00:00:37.000]  但我們會遺忘
[00:00:37.000 --> 00:00:39.000]  就好像我們數點客
[00:00:39.000 --> 00:00:40.000]  換季了
[00:00:40.000 --> 00:00:42.000]  很多都換了冬天的衣服
[00:00:42.000 --> 00:00:44.000]  在我們的鞋櫃裡
[00:00:44.000 --> 00:00:49.000]  是不是有一雙鞋子一直都沒穿過呢
[00:00:49.000 --> 00:00:51.000]  發霉
[00:00:51.000 --> 00:00:53.000]  我當然不希望你發霉
[00:00:53.000 --> 00:00:55.000]  這個很重要
[00:00:55.000 --> 00:00:57.000]  我們今天來聽到之前
[00:00:57.000 --> 00:00:58.000]  先來一起安靜
[00:00:58.000 --> 00:01:00.000]  有個祈禱
[00:01:00.000 --> 00:01:02.000]  天王來到你的面前
[00:01:02.000 --> 00:01:05.000]  我們知道你今天有話跟我們說
[00:01:05.000 --> 00:01:09.000]  我知道你有訊息要跟我們宣講
[00:01:09.000 --> 00:01:13.000]  我求主讓我們先打開我們的心靈
[00:01:13.000 --> 00:01:15.000]  願意我們來到你的面前
[00:01:15.000 --> 00:01:17.000]  去領受你的提示
[00:01:17.000 --> 00:01:18.000]  你的教訓
[00:01:18.000 --> 00:01:20.000]  求主你幫助我們
[00:01:20.000 --> 00:01:22.000]  以致我們可以聽完之後
[00:01:22.000 --> 00:01:25.000]  我們真的用腳去實踐
[00:01:25.000 --> 00:01:27.000]  我們這樣的禱告
[00:01:27.000 --> 00:01:29.000]  我主耶穌基督的名頭
[00:01:29.000 --> 00:01:30.000]  阿門
[00:01:30.000 --> 00:01:35.000]  我知道今天非常緊湊
[00:01:35.000 --> 00:01:37.000]  崇拜的內容
[00:01:37.000 --> 00:01:39.000]  我先來看第一張的powerpoint
[00:01:39.000 --> 00:01:40.000]  麻煩喬威
[00:01:40.000 --> 00:01:43.000]  這張powerpoint跟今天的生命聖詩一樣
[00:01:43.000 --> 00:01:45.000]  是遠古流長的
[00:01:45.000 --> 00:01:49.000]  你看到年份是1891至1916
[00:01:49.000 --> 00:01:52.000]  這個叫西伯利亞鐵路
[00:01:52.000 --> 00:01:57.000]  在俄羅斯貫穿東西的一條
[00:01:57.000 --> 00:02:01.000]  很出名很長的鐵路
[00:02:01.000 --> 00:02:03.000]  你看不到裡面的東西
[00:02:03.000 --> 00:02:04.000]  不要緊
[00:02:04.000 --> 00:02:06.000]  因為我都不是預先給你看的
[00:02:06.000 --> 00:02:11.000]  你大概認到俄羅斯的地圖就可以了
[00:02:11.000 --> 00:02:13.000]  每一點其實就是說
[00:02:13.000 --> 00:02:18.000]  那個鐵路怎樣貫穿東西兩岸
[00:02:18.000 --> 00:02:20.000]  而整條鐵路就是這樣
[00:02:20.000 --> 00:02:23.000]  一路一路伸延
[00:02:23.000 --> 00:02:27.000]  這個正正跟我們說的仕途行傳
[00:02:27.000 --> 00:02:29.000]  仕途行傳一章八節
[00:02:29.000 --> 00:02:30.000]  每個禮拜聽
[00:02:30.000 --> 00:02:32.000]  每個禮拜每一個上台
[00:02:32.000 --> 00:02:33.000]  講完都跟你重複
[00:02:33.000 --> 00:02:34.000]  你不會背
[00:02:34.000 --> 00:02:36.000]  還有一半機會
[00:02:36.000 --> 00:02:38.000]  因為我們仕途行傳已經去到14章
[00:02:38.000 --> 00:02:40.000]  整個仕途行傳有28章
[00:02:40.000 --> 00:02:41.000]  我希望完了
[00:02:41.000 --> 00:02:46.000]  你怎樣都會背這句仕途行傳一章八節
[00:02:46.000 --> 00:02:48.000]  有多少人夠信心
[00:02:48.000 --> 00:02:50.000]  你現在已經記得懂得背了
[00:02:50.000 --> 00:02:51.000]  仕途行傳一章八節
[00:02:51.000 --> 00:02:54.000]  但聖靈降臨在你們身上
[00:02:54.000 --> 00:02:56.000]  你們就必得著能力
[00:02:56.000 --> 00:02:58.000]  並要在耶路撒冷
[00:02:58.000 --> 00:03:00.000]  猶太全地
[00:03:00.000 --> 00:03:01.000]  撒瑪利亞
[00:03:01.000 --> 00:03:03.000]  直到地極
[00:03:03.000 --> 00:03:05.000]  作我的見證
[00:03:05.000 --> 00:03:08.000]  我們今天已經來到
[00:03:08.000 --> 00:03:13.000]  保羅第一次宣教旅程的尾聲
[00:03:13.000 --> 00:03:16.000]  請下一張powerpoint
[00:03:16.000 --> 00:03:20.000]  這個好像鐵路一樣
[00:03:20.000 --> 00:03:23.000]  一個橫跨地界的
[00:03:23.000 --> 00:03:25.000]  來到這裡我們知道
[00:03:25.000 --> 00:03:27.000]  整個第一次宣教旅程
[00:03:27.000 --> 00:03:30.000]  是由仕途行傳的13章
[00:03:30.000 --> 00:03:33.000]  到14章這段時間
[00:03:33.000 --> 00:03:37.000]  這段時間裡所經歷過的
[00:03:37.000 --> 00:03:40.000]  很長的一段路程
[00:03:40.000 --> 00:03:45.000]  來到這裡已經是最後兩個站
[00:03:45.000 --> 00:03:49.000]  我們不如一起來宣讀這段經文
[00:03:49.000 --> 00:03:51.000]  由仕途行傳14章的八節
[00:03:51.000 --> 00:03:53.000]  讀到28節
[00:03:53.000 --> 00:03:58.000]  我們可以按著我給大家的分段來讀
[00:03:58.000 --> 00:04:02.000]  我們由14章的八到18節
[00:04:02.000 --> 00:04:05.000]  19節的第一個powerpoint
[00:04:05.000 --> 00:04:07.000]  我們一起來宣讀
[00:04:07.000 --> 00:04:08.000]  預備起
[00:04:08.000 --> 00:04:13.000]  他從無福裡就是瘸腿的老是坐著
[00:04:13.000 --> 00:04:15.000]  從來沒有走過
[00:04:15.000 --> 00:04:17.000]  他聽保羅講道
[00:04:17.000 --> 00:04:19.000]  保羅定睛看他
[00:04:19.000 --> 00:04:22.000]  見他有信心可得痊癒
[00:04:22.000 --> 00:04:23.000]  就大聲說
[00:04:23.000 --> 00:04:25.000]  起來兩腳站直
[00:04:25.000 --> 00:04:28.000]  那人就跳起來開始行走
[00:04:28.000 --> 00:04:31.000]  眾人看見保羅所做的事
[00:04:31.000 --> 00:04:34.000]  就用呂高尼話大聲說
[00:04:34.000 --> 00:04:39.000]  有神明藉著人形降臨在我們中間了
[00:04:39.000 --> 00:04:42.000]  於是他們稱巴拿巴為宙斯
[00:04:42.000 --> 00:04:44.000]  稱保羅為希爾米
[00:04:44.000 --> 00:04:47.000]  因為他總是帶頭說話
