
[00:00:00.000 --> 00:00:02.200]  被聖靈充滿這件事情
[00:00:02.200 --> 00:00:07.220]  其實只是一個基督徒經歷聖靈工作的開始而已
[00:00:07.220 --> 00:00:11.520]  我們必須要持續地來可悟聖靈
[00:00:11.520 --> 00:00:14.520]  而且看重聖靈的工作
[00:00:14.520 --> 00:00:17.160]  你知道在過去教會的傳統當中
[00:00:17.160 --> 00:00:20.040]  我們常常很輕忽聖靈的工作
[00:00:20.040 --> 00:00:24.520]  《使徒信經》是在教會裡面一直被認為是一個
[00:00:24.520 --> 00:00:26.880]  教義的最基本的版本
[00:00:27.720 --> 00:00:30.800]  《使徒信經》裡面講到聖父的時候用了三句話
[00:00:30.800 --> 00:00:34.440]  「我信上帝全能的父,創造天地的主」
[00:00:34.440 --> 00:00:37.800]  講到耶穌基督的時候用了十二句話
[00:00:37.800 --> 00:00:39.800]  講到祂的上帝的獨生子
[00:00:39.800 --> 00:00:44.280]  因聖靈感應由藤真女瑪麗亞所生等等十二句話
[00:00:44.280 --> 00:00:46.800]  可是講到聖靈只有一句話
[00:00:46.800 --> 00:00:47.720]  「我信聖靈」
[00:00:47.720 --> 00:00:48.280]  That's it
[00:00:48.280 --> 00:00:50.200]  什麼都沒有再講下去
[00:00:50.200 --> 00:00:55.440]  難怪教會對聖靈的工作是這樣的陌生
[00:00:56.160 --> 00:00:59.480]  連《使徒信經》、連聖靈做什麼都沒有講
[00:00:59.480 --> 00:01:02.600]  只有講說「我信聖靈」就此而已
[00:01:02.600 --> 00:01:07.520]  難怪我們看見在教會當中我們對聖靈的工作
[00:01:07.520 --> 00:01:11.200]  我們不但陌生,而且常常反感抵擋
[00:01:11.200 --> 00:01:15.320]  我們喜歡高舉理性,因為那是我們想得通的
[00:01:15.320 --> 00:01:19.280]  我們喜歡高舉才幹,因為那是我們做得到的
[00:01:19.280 --> 00:01:24.440]  但聖靈的工作卻常常讓我們難以掌握
[00:01:25.480 --> 00:01:29.640]  所以我們寧願就不去追求,寧願不去渴慕
[00:01:29.640 --> 00:01:31.360]  但事實上,弟兄姊妹
[00:01:31.360 --> 00:01:36.400]  聖靈是三位一體真神當中與我們關係最密切的那一位
[00:01:36.400 --> 00:01:37.120]  Amen
[00:01:37.120 --> 00:01:39.200]  請問你在三位一體真神當中
[00:01:39.200 --> 00:01:41.120]  真正住在我們裡面的是誰呀?
[00:01:41.120 --> 00:01:42.760]  聖靈
[00:01:42.760 --> 00:01:45.240]  聖父跟聖靈是藉著
[00:01:45.240 --> 00:01:48.320]  聖子是藉著聖靈住在我們裡面
[00:01:48.320 --> 00:01:50.880]  所以你千萬不要害怕聖靈
[00:01:50.880 --> 00:01:52.440]  我常說如果你害怕聖靈
[00:01:52.440 --> 00:01:54.600]  聖靈永遠與你同在,永遠不離開
[00:01:54.600 --> 00:01:55.360]  那你怎麼辦?
[00:01:56.480 --> 00:01:58.520]  那我不要害怕聖靈
[00:01:58.520 --> 00:02:01.840]  聖靈是與我們最親密的一位神
[00:02:01.840 --> 00:02:05.280]  祂永遠與我們同在,永遠不離開
[00:02:05.280 --> 00:02:09.600]  祂也是賜下我們生活跟侍奉能力的神
[00:02:09.600 --> 00:02:12.960]  所以我們一定要來看重聖靈的工作
[00:02:12.960 --> 00:02:14.960]  在舊約時代,你看以利沙
[00:02:14.960 --> 00:02:18.720]  他就是一位看重聖靈恩高的人
[00:02:18.720 --> 00:02:22.320]  當他的老師以利亞要被接升天的時候
[00:02:22.320 --> 00:02:25.080]  你看見其他的門徒都在幹什麼?
[00:02:25.720 --> 00:02:28.240]  其他門徒在旁邊觀看而已
[00:02:28.240 --> 00:02:30.320]  他們就做個旁觀者
[00:02:30.320 --> 00:02:32.600]  看看到底什麼事會發生
[00:02:32.600 --> 00:02:34.960]  今天很多基督徒也是這樣
[00:02:34.960 --> 00:02:36.960]  常常我們只是旁觀
[00:02:36.960 --> 00:02:39.440]  看看什麼事情會發生
[00:02:39.440 --> 00:02:42.240]  我們卻從來不願意渴慕
[00:02:42.240 --> 00:02:45.480]  從來不願意真的進入到神的恩典當中
[00:02:45.480 --> 00:02:47.720]  但以利沙卻不是這樣
[00:02:47.720 --> 00:02:49.640]  他們又只是旁觀
[00:02:49.640 --> 00:02:52.840]  他緊緊的跟隨以利亞
[00:02:53.880 --> 00:02:56.160]  我們看從吉甲跟到伯特利
[00:02:56.160 --> 00:02:58.400]  從伯特利跟到耶利哥
[00:02:58.400 --> 00:03:01.120]  從耶利哥跟到約旦河邊
[00:03:01.120 --> 00:03:02.720]  為什麼他這樣跟隨?
[00:03:02.720 --> 00:03:04.280]  因為他心中渴慕
[00:03:04.280 --> 00:03:08.240]  他渴慕要那聖靈加倍的恩高
[00:03:08.240 --> 00:03:10.360]  他看重聖靈的工作
[00:03:10.360 --> 00:03:13.080]  自終我們看見他就得到了
[00:03:13.080 --> 00:03:14.040]  double portion
[00:03:14.040 --> 00:03:15.640]  the spirit of double portion
[00:03:15.640 --> 00:03:18.520]  他得到聖靈雙倍的恩高
[00:03:18.520 --> 00:03:21.960]  所以從今天這段聖經當中我們也看見
