
[00:00:00.000 --> 00:00:05.600]  至高榮耀上帝教會的主給我們有足夠的恩典
[00:00:05.600 --> 00:00:09.600]  所以我們此刻用一個很特別的方式
[00:00:09.600 --> 00:00:12.600]  是沒有聚集的聚會
[00:00:12.600 --> 00:00:17.800]  但是我們能夠遇上聽到聖經的說話
[00:00:17.800 --> 00:00:21.800]  不過我相信我們很多人都有一個感覺
[00:00:21.800 --> 00:00:26.600]  在過去一年我們好像身處一個亂世一樣
[00:00:26.600 --> 00:00:30.200]  我們大多數人都是在戰後出生的
[00:00:30.200 --> 00:00:38.200]  沒有經歷過幾種動盪的情況
[00:00:38.200 --> 00:00:41.200]  我們作為信主的人
[00:00:41.200 --> 00:00:47.600]  我們經常講盼望、講將來、講永恆、講積極、正能量
[00:00:47.600 --> 00:00:50.600]  談何容易?
[00:00:50.600 --> 00:00:54.600]  所以我們今天在聖經中找一個先例
[00:00:54.600 --> 00:00:57.600]  去叮嚇我們
[00:00:57.600 --> 00:01:01.600]  讀聖經不是對號入座的
[00:01:01.600 --> 00:01:04.600]  世界也很複雜
[00:01:04.600 --> 00:01:09.600]  我們引用聖經要很周全地知道聖經的教導
[00:01:09.600 --> 00:01:13.600]  然後綜合聖經的原則
[00:01:13.600 --> 00:01:16.600]  但是我們看某一段聖經
[00:01:16.600 --> 00:01:21.600]  它總是有些先例、有些榜樣去提醒我們
[00:01:21.600 --> 00:01:26.600]  這是你一定要考慮的其中一個因素
[00:01:26.600 --> 00:01:29.600]  我們掃描一下經文
[00:01:29.600 --> 00:01:31.600]  剛才大家讀過一次
[00:01:31.600 --> 00:01:37.600]  接下來我和大家逐節去研讀
[00:01:37.600 --> 00:01:42.600]  但耶利書第一章第三和第四節的上面
[00:01:42.600 --> 00:01:44.600]  我們再看看
[00:01:44.600 --> 00:01:54.600]  「王吩咐太監長阿斯比那從以色列人的皇室後裔和貴族中帶進幾個人來」
[00:01:54.600 --> 00:01:59.600]  這句話本身已經很微妙、可圈可點
