
[00:00:00.000 --> 00:00:05.200]  我們多謝楊帥倫先生和我們很真誠的分享
[00:00:05.200 --> 00:00:09.200]  我們謝謝楊帥倫先生和我們很真誠的分享
[00:00:09.200 --> 00:00:11.200]  他講人生很多的選擇
[00:00:11.200 --> 00:00:12.700]  他講人生很多的選擇
[00:00:12.700 --> 00:00:17.500]  有個統計我們平均每個人一日大概做三百至五百次的選擇
[00:00:17.500 --> 00:00:21.700]  有人統計過一個人每天有三百到五百個選擇
[00:00:21.700 --> 00:00:24.200]  你今早可能被人拉來都是一種選擇
[00:00:24.200 --> 00:00:26.200]  今天可能你被拉拉也是一個選擇
[00:00:26.200 --> 00:00:27.500]  有些選擇是被動的
[00:00:27.500 --> 00:00:28.500]  有些選擇是逼動的
[00:00:28.500 --> 00:00:29.700]  有些選擇是激動的
[00:00:29.700 --> 00:00:31.800]  有些選擇是衝動的
[00:00:31.800 --> 00:00:34.800]  師母當年嫁給我當然是激動
[00:00:34.800 --> 00:00:36.800]  師母當然嫁給我當然是激動
[00:00:36.800 --> 00:00:37.800]  不是衝動的
[00:00:37.800 --> 00:00:38.800]  不是衝動
[00:00:38.800 --> 00:00:40.800]  但有些選擇是無傷大雅
[00:00:40.800 --> 00:00:42.800]  但有些選擇是無傷大雅的
[00:00:42.800 --> 00:00:44.800]  有些選擇可能浪費我們金錢時間
[00:00:44.800 --> 00:00:46.800]  有些選擇是浪費我們金錢時間
[00:00:46.800 --> 00:00:48.800]  但有些選擇可能令我們後悔終身
[00:00:48.800 --> 00:00:50.800]  有些選擇可能讓我們後悔終身
[00:00:50.800 --> 00:00:53.800]  有些選擇是令到我們沒辦法可以挽回
[00:00:53.800 --> 00:00:55.800]  有些選擇讓我們沒辦法挽回
[00:00:55.800 --> 00:00:57.800]  所以很多人喜歡逃避選擇
[00:00:57.800 --> 00:01:00.800]  所以很多人喜歡逃避選擇
[00:01:00.800 --> 00:01:02.800]  因為我不做選擇我就不需要面對
[00:01:02.800 --> 00:01:04.800]  因為我不做選擇我就不用面對
[00:01:04.800 --> 00:01:06.800]  抽象地說你不選擇其實也是一種選擇
[00:01:06.800 --> 00:01:09.800]  抽象地說你不選擇其實也是一種選擇
[00:01:09.800 --> 00:01:12.800]  有人就問其實選擇和選擇之間有沒有一個關聯
[00:01:12.800 --> 00:01:15.800]  有人就問選擇和選擇之間有沒有一些關聯
[00:01:15.800 --> 00:01:17.800]  大家都知道我讀心理學的
[00:01:17.800 --> 00:01:18.800]  大家都知道我讀心理學的
[00:01:18.800 --> 00:01:22.800]  心理學研究原來我們以前的選擇塑造今天的我
[00:01:22.800 --> 00:01:26.800]  原來我們講說是以前的選擇造今天的我
[00:01:26.800 --> 00:01:29.800]  今天的選擇又創造我未來的人生
