
[00:00:00.000 --> 00:00:03.440]  好兄姊妹,今天開始一個新的書卷
[00:00:03.440 --> 00:00:04.440]  我們一起去看
[00:00:04.440 --> 00:00:07.120]  我們會去看《哈巴谷書》
[00:00:07.120 --> 00:00:12.840]  《哈巴谷書》基本上是小先知當中的其中一卷
[00:00:12.840 --> 00:00:19.720]  《哈巴谷先知》的年代其實也不是很清楚
[00:00:19.720 --> 00:00:22.480]  但是從它的內容來說
[00:00:22.480 --> 00:00:26.080]  到興起迦勒底人,即是巴比倫人的時候
[00:00:26.080 --> 00:00:31.840]  相信是在亞述國開始衰落
[00:00:31.840 --> 00:00:36.120]  而巴比倫人開始興盛的時候
[00:00:36.120 --> 00:00:37.600]  事實上在歷史當中
[00:00:37.600 --> 00:00:44.720]  巴比倫人後來就把亞述帝國完全毀滅和吞併
[00:00:44.720 --> 00:00:48.840]  所以根據這樣的資料
[00:00:48.840 --> 00:00:53.400]  可能它是和耶利米先知同期的
[00:00:53.400 --> 00:00:59.040]  因為耶利米先知在以色列國最後一段時間做先知的時候
[00:00:59.040 --> 00:01:04.080]  他也親眼看著亞述國的興起
[00:01:04.080 --> 00:01:07.640]  然後被巴比倫人打敗
[00:01:07.640 --> 00:01:10.040]  以至巴比倫人後來也入侵以色列國
[00:01:10.040 --> 00:01:17.240]  也把整個南北的以色列國完全吞併在它的控制之下
[00:01:17.240 --> 00:01:20.960]  可能它是和耶利米先知同期也不奇怪
[00:01:20.960 --> 00:01:24.520]  當然也沒有耶利米先知做得這麼長
[00:01:24.520 --> 00:01:28.440]  也有可能,因為耶利米先知是做得很長的
[00:01:28.440 --> 00:01:33.320]  那個時代其實已經不重要
[00:01:33.320 --> 00:01:37.440]  甚至乎哈巴谷做先知本人
[00:01:37.440 --> 00:01:39.600]  他所做過的事情
[00:01:39.600 --> 00:01:43.840]  他有什麼宣講的內容
[00:01:43.840 --> 00:01:46.280]  其實我們也不知道
[00:01:46.280 --> 00:01:48.120]  但是有趣的是
[00:01:48.120 --> 00:01:52.560]  哈巴谷書,你會說他宣講的內容不知道
[00:01:52.560 --> 00:01:53.160]  為什麼?
[00:01:53.160 --> 00:01:55.200]  因為有哈巴谷書在裡面
[00:01:55.200 --> 00:01:58.560]  而其實哈巴谷書
[00:01:58.560 --> 00:02:02.880]  某些程度上其實它是像一本個人的
[00:02:02.880 --> 00:02:08.840]  屬靈日誌的書卷
[00:02:08.840 --> 00:02:12.000]  當中的內容其實不是講道的
[00:02:12.000 --> 00:02:16.520]  當中的內容也沒有一些公眾的信息
[00:02:16.520 --> 00:02:21.600]  好像要呼喚一些以色列人要悔改
[00:02:21.600 --> 00:02:23.600]  要聽神的話
[00:02:23.600 --> 00:02:25.600]  這些完全都沒有
[00:02:25.600 --> 00:02:27.840]  那哈巴谷書究竟是一本什麼書呢?
[00:02:27.840 --> 00:02:32.320]  其實它就像哈巴谷先知自己本人
[00:02:32.320 --> 00:02:36.680]  他心靈裡面有著很沉重的負擔
[00:02:36.680 --> 00:02:39.240]  也有著很
[00:02:39.240 --> 00:02:43.280]  覺得很難來到去
[00:02:43.280 --> 00:02:47.520]  那些衝突好像很難去解決、很難去調解的時候
[00:02:47.520 --> 00:02:53.480]  他藉著他的禱告去到神面前來去求問
[00:02:53.480 --> 00:02:55.480]  甚至乎是投訴
[00:02:55.480 --> 00:02:58.720]  而在那個對答的過程當中
[00:02:58.720 --> 00:03:04.160]  神怎樣將他的生命或者他的態度來去改變
[00:03:04.160 --> 00:03:06.640]  從一個非常不滿的狀況
[00:03:06.640 --> 00:03:10.960]  一個充滿著投訴不滿意的狀況
[00:03:10.960 --> 00:03:16.480]  去到願意服在神的旨意之下的狀況
[00:03:16.480 --> 00:03:22.000]  我相信這個功課其實都是我們每個人都需要去學習的
[00:03:22.000 --> 00:03:27.120]  當然我們所面對的處境和哈巴谷先知不盡相同
[00:03:27.120 --> 00:03:29.120]  但是也可能有一些類似
[00:03:29.120 --> 00:03:32.640]  所以希望藉著看哈巴谷先知的時候
[00:03:32.640 --> 00:03:33.760]  哈巴谷書的時候
[00:03:33.760 --> 00:03:37.280]  我們在當中可以有一些提醒
[00:03:37.280 --> 00:03:39.280]  整個哈巴谷書的結構
[00:03:39.280 --> 00:03:40.960]  或者說一點點
[00:03:40.960 --> 00:03:45.680]  就是基本上哈巴谷書有三章
[00:03:45.680 --> 00:03:50.720]  基本上頭兩章就是講了
[00:03:50.720 --> 00:03:57.360]  哈巴谷先知和耶和華神的對答做了兩個回合
[00:03:57.360 --> 00:04:00.640]  首先哈巴谷先知做了一個質詢
[00:04:00.640 --> 00:04:02.640]  他在禱告當中問神
[00:04:02.640 --> 00:04:04.480]  神就給了他一個答案
[00:04:04.480 --> 00:04:10.000]  接著他就不滿意,然後再去問神
[00:04:10.000 --> 00:04:13.120]  神就再給他另一個答案
[00:04:13.120 --> 00:04:16.080]  接著去到第三章
[00:04:16.080 --> 00:04:20.480]  他見到一個異象
[00:04:20.480 --> 00:04:24.320]  見到一個非常奇特的異象
[00:04:24.320 --> 00:04:26.560]  看完這個異象之後
[00:04:26.560 --> 00:04:30.880]  他的生命或者他的態度就開始改變了
[00:04:30.880 --> 00:04:35.200]  就寫了一篇很出名的
[00:04:35.200 --> 00:04:37.760]  很美麗的一個圖文
[00:04:37.760 --> 00:04:39.360]  或者是一個詩歌
[00:04:39.360 --> 00:04:41.360]  就結束了哈巴谷書
[00:04:41.360 --> 00:04:43.360]  我們就看一看
[00:04:43.360 --> 00:04:45.360]  在第一章的時候
[00:04:45.360 --> 00:04:47.040]  第一個回合
[00:04:47.040 --> 00:04:52.880]  哈巴谷先知和神的交流是怎樣呢?
[00:04:52.880 --> 00:04:54.320]  第一節開始
[00:04:54.320 --> 00:04:58.240]  哈巴谷先知所得的物是
[00:04:58.240 --> 00:05:02.960]  「耶和華,我呼求你,你不應允要到幾時呢?
[00:05:02.960 --> 00:05:06.080]  我因強暴哀求你,你還不拯救
[00:05:06.080 --> 00:05:08.320]  你為何使我看見罪孽
[00:05:08.320 --> 00:05:11.360]  你為何看著姦惡而不理呢?
[00:05:11.360 --> 00:05:13.680]  毀滅和強暴在我面前
[00:05:13.680 --> 00:05:16.160]  又起了爭端和相鬥的事
[00:05:16.160 --> 00:05:20.480]  因此律法放鬆,公理也不顯明
[00:05:20.480 --> 00:05:24.480]  惡人圍困二人,所以公理顯然顛倒。」
[00:05:24.480 --> 00:05:29.360]  這就是哈巴谷先知所處的困境
[00:05:29.360 --> 00:05:32.160]  以致他極度的不滿意
[00:05:32.160 --> 00:05:37.280]  甚至乎他要去到耶和華神的面前去投訴
[00:05:37.280 --> 00:05:38.640]  在他的禱告當中
[00:05:38.640 --> 00:05:41.280]  基督這裡其實充滿了質問的語氣
[00:05:41.280 --> 00:05:43.840]  基本上是一個投訴
[00:05:43.840 --> 00:05:46.800]  他投訴什麼呢?
[00:05:46.800 --> 00:05:49.440]  他投訴在當時來說
[00:05:49.440 --> 00:05:51.760]  好像罪惡橫行
[00:05:51.760 --> 00:05:54.960]  惡人當道
[00:05:54.960 --> 00:05:56.880]  這樣的情況
[00:05:56.880 --> 00:06:01.600]  為何好像神看見這些惡人
[00:06:01.600 --> 00:06:04.160]  他們所做這麼多邪惡的事
[00:06:04.160 --> 00:06:07.520]  甚至乎那些越惡人就越得勢
[00:06:07.520 --> 00:06:13.840]  越是善良的人就越是被人來迫害的時候
[00:06:13.840 --> 00:06:15.600]  為何會這樣發生呢?
[00:06:15.600 --> 00:06:17.040]  他投訴幾方面
[00:06:17.040 --> 00:06:21.840]  第一,為何神不應運他的禱告呢?
[00:06:21.840 --> 00:06:27.680]  可能他看見有很多人被人不公平的對待
[00:06:27.680 --> 00:06:30.320]  甚至乎被人欺凌
[00:06:30.320 --> 00:06:32.320]  他有禱告
[00:06:32.320 --> 00:06:35.760]  可能有些人被人無理的毒打一頓
[00:06:35.760 --> 00:06:40.160]  甚至乎去搶了他的財物也好
[00:06:40.160 --> 00:06:43.440]  或者去不公義的審判之下
[00:06:43.440 --> 00:06:45.840]  將他下到冤獄
[00:06:45.840 --> 00:06:48.080]  可能他有禱告
[00:06:48.080 --> 00:06:50.080]  不是可能的
[00:06:50.080 --> 00:06:53.760]  他極度相信神的時候
[00:06:53.760 --> 00:06:57.360]  他應該是很懇切的去禱告
