
[00:00:00.000 --> 00:00:06.440]  我們今天看一段聖經是大家應該半生熟的經文
[00:00:06.440 --> 00:00:09.080]  不是最新也不是最熟的經文
[00:00:09.080 --> 00:00:11.080]  耶利米茲第29章
[00:00:11.080 --> 00:00:13.840]  耶利米茲裏面有很多的寓言
[00:00:13.840 --> 00:00:19.720]  這章聖經裏面其中有少少不同的性質的一段經文
[00:00:19.720 --> 00:00:21.720]  我們有時會看到的
[00:00:21.720 --> 00:00:23.720]  耶利米茲第29章
[00:00:23.720 --> 00:00:30.720]  背景是猶太人被擄到巴比倫的時候
[00:00:30.720 --> 00:00:35.720]  是在說耶穌出世之前五百多年的時候
[00:00:35.720 --> 00:00:38.720]  以色列亡國
[00:00:38.720 --> 00:00:40.720]  猶太人亡國
[00:00:40.720 --> 00:00:43.720]  南國被滅之後
[00:00:43.720 --> 00:00:45.720]  聖殿被毀
[00:00:45.720 --> 00:00:49.720]  居民被迫去了不同的地方
[00:00:49.720 --> 00:00:51.720]  有一大部分去了巴比倫
[00:00:51.720 --> 00:00:53.720]  在那裏他們是難民
[00:00:53.720 --> 00:00:55.720]  是戰俘
[00:00:55.720 --> 00:00:58.720]  這封信是耶利米
[00:00:58.720 --> 00:01:02.720]  神叫他寫給當時這班難民去聽的
[00:01:02.720 --> 00:01:06.720]  我們看第29章耶利米書
[00:01:06.720 --> 00:01:11.720]  第29章第4節是這封信的內容
[00:01:11.720 --> 00:01:13.720]  信上說
[00:01:13.720 --> 00:01:16.720]  萬軍之耶和華以色列的神
[00:01:16.720 --> 00:01:18.720]  對一切被擄去的
[00:01:18.720 --> 00:01:22.720]  就是我是他們從耶路撒冷被擄到巴比倫的人
[00:01:22.720 --> 00:01:24.720]  如此說
[00:01:24.720 --> 00:01:27.720]  你們要蓋造房屋住在其中
[00:01:27.720 --> 00:01:30.720]  栽種田園是其中所產的
[00:01:30.720 --> 00:01:32.720]  娶妻生兒女
[00:01:32.720 --> 00:01:37.720]  首先我就問這幾句說話是什麼意思
