
[00:00:00.000 --> 00:00:01.480]  其實我不懂你的心
[00:00:01.480 --> 00:00:05.100]  今天用的經文是《撒姆爾記》上十六章一到十三節
[00:00:05.100 --> 00:00:06.100]  稍後讀的時候
[00:00:06.100 --> 00:00:09.980]  大家都可能對這段經文會有些印象和熟悉
[00:00:09.980 --> 00:00:14.320]  這段經文的上一章其實就是第十五章
[00:00:14.320 --> 00:00:15.320]  很多人說
[00:00:15.320 --> 00:00:17.800]  十五章裡面有兩節經文
[00:00:17.800 --> 00:00:20.280]  就是整個《撒姆爾記》最重要的經文
[00:00:20.280 --> 00:00:21.680]  也都稱為這段經文
[00:00:21.680 --> 00:00:23.680]  《撒姆爾記》的約節
[00:00:23.680 --> 00:00:26.080]  我們先讀一讀其中的一節
[00:00:26.080 --> 00:00:27.960]  就是十五章的二十二節
[00:00:27.960 --> 00:00:29.960]  成為今天的金句和提醒
[00:00:29.960 --> 00:00:31.960]  我們從耶和華那裡一起讀
[00:00:31.960 --> 00:00:32.960]  預備起
[00:00:32.960 --> 00:00:36.800]  耶和華喜愛繁祭和祭物
[00:00:36.800 --> 00:00:40.520]  豈如喜愛人聽從他的話
[00:00:40.520 --> 00:00:43.880]  看也聽命聖於獻祭
[00:00:43.880 --> 00:00:47.600]  順從聖於公羊的知科
[00:00:47.600 --> 00:00:49.600]  《撒姆爾記》上十五章二十二節
[00:00:49.600 --> 00:00:50.600]  這節經文很清楚
[00:00:50.600 --> 00:00:51.600]  一開始講耶和華
[00:00:51.600 --> 00:00:53.480]  耶和華喜歡什麼呢?
[00:00:53.480 --> 00:00:54.760]  喜愛出現了兩個字
[00:00:54.760 --> 00:00:57.520]  第二個字就是神喜歡一些人
[00:00:57.520 --> 00:00:58.600]  一些什麼人呢?
[00:00:58.600 --> 00:01:00.720]  三個綠色的詞語
[00:01:00.720 --> 00:01:03.000]  其實三個都是講一件事
[00:01:03.000 --> 00:01:05.960]  這三個詞語就是聽從、聽命和順從
[00:01:05.960 --> 00:01:07.960]  簡單來說神喜歡我們什麼呢?
[00:01:07.960 --> 00:01:09.120]  聽話
[00:01:09.120 --> 00:01:10.440]  所以你跟隔壁的人說
[00:01:10.440 --> 00:01:11.720]  你跟他說什麼呢?
[00:01:11.720 --> 00:01:13.760]  你要聽神話
[00:01:13.760 --> 00:01:16.160]  真的
[00:01:16.160 --> 00:01:17.080]  你聽神話的時候
[00:01:17.080 --> 00:01:18.040]  神就喜歡你
[00:01:18.040 --> 00:01:20.760]  很多的祝福、恩典就傾倒在你身上
[00:01:20.760 --> 00:01:22.880]  所以這是一個很好的提醒
[00:01:22.880 --> 00:01:25.720]  鼓勵大家回去背了這節經文
[00:01:25.720 --> 00:01:28.000]  因為背了神的話
[00:01:28.000 --> 00:01:29.840]  常常是神的話藏在心裡面
[00:01:29.840 --> 00:01:32.040]  就成為我們的提醒和力量
[00:01:32.040 --> 00:01:34.520]  今天其實我不懂你的心
[00:01:34.520 --> 00:01:35.960]  第一個重點是什麼呢?
[00:01:35.960 --> 00:01:37.520]  原來神的安排裡面
[00:01:37.520 --> 00:01:39.600]  我們很多時候都不太明白為什麼
[00:01:39.600 --> 00:01:40.480]  不過不要緊
[00:01:40.480 --> 00:01:42.400]  我們仍然要做的就是
[00:01:42.400 --> 00:01:44.520]  按著神的安排去走
[00:01:44.520 --> 00:01:45.840]  那就可以了
[00:01:45.840 --> 00:01:47.600]  並且這個就是神所喜悅
[00:01:47.600 --> 00:01:50.120]  我們先讀讀頭五節的經文
[00:01:50.120 --> 00:01:51.600]  我們用體驗的方式讀
[00:01:51.600 --> 00:01:53.800]  藍色的字請大家讀出
[00:01:53.800 --> 00:01:55.760]  耶和華對撒姆爾說
[00:01:55.760 --> 00:01:58.440]  我既厭棄掃羅作以色列的王
[00:01:58.440 --> 00:02:01.480]  你為他悲傷要到幾時呢?
[00:02:01.480 --> 00:02:03.720]  你將高遊盛滿了國內
[00:02:03.720 --> 00:02:06.960]  我差遣你到伯利恆人耶西那裡去
[00:02:06.960 --> 00:02:09.080]  因為我在他兒子中
[00:02:09.080 --> 00:02:12.720]  已看中了一個為我作王的
[00:02:12.720 --> 00:02:14.200]  撒姆爾說
[00:02:14.200 --> 00:02:16.240]  我怎安
[00:02:16.240 --> 00:02:19.600]  掃羅一聽見就會殺我
[00:02:19.600 --> 00:02:20.760]  耶和華說
[00:02:20.760 --> 00:02:23.800]  你可以手裡牽一頭小母牛去
[00:02:23.800 --> 00:02:27.160]  我說我來是要向耶和華獻祭
[00:02:27.160 --> 00:02:30.480]  你要請耶西來一同獻祭
[00:02:30.480 --> 00:02:32.640]  我會指示你當做的事
[00:02:32.640 --> 00:02:34.120]  我對你說的那個人
[00:02:34.120 --> 00:02:36.000]  你要為我高他
[00:02:36.000 --> 00:02:39.680]  撒姆爾遵照耶和華的去做
[00:02:39.680 --> 00:02:41.360]  來到伯利恆
[00:02:41.360 --> 00:02:46.320]  撒姆爾把耶西和他子分別為聖
[00:02:46.320 --> 00:02:48.320]  請他們來到
[00:02:48.320 --> 00:02:50.560]  這段經文是什麼呢?
[00:02:50.560 --> 00:02:52.680]  很多時候十六章一到十三節
[00:02:52.680 --> 00:02:54.800]  都稱為一段丞相啟夏經文
[00:02:54.800 --> 00:02:55.520]  為什麼呢?
[00:02:55.520 --> 00:02:57.720]  因為這一節剛剛放在
[00:02:57.720 --> 00:03:00.560]  以色列頭兩個皇帝的中間
[00:03:00.560 --> 00:03:03.360]  以色列的第一個皇帝是誰呢?
[00:03:03.360 --> 00:03:04.760]  掃羅
[00:03:04.760 --> 00:03:05.560]  但是我們知道
[00:03:05.560 --> 00:03:07.200]  其實如果求生者有留意讀
[00:03:07.200 --> 00:03:08.600]  第一節已經說
[00:03:08.600 --> 00:03:10.040]  神厭棄掃羅
[00:03:10.040 --> 00:03:11.040]  廢棄掃羅
[00:03:11.040 --> 00:03:12.800]  正正廢了掃羅之後
[00:03:12.800 --> 00:03:14.160]  就要高納第二個皇帝
[00:03:14.160 --> 00:03:15.520]  就是大衛
[00:03:15.520 --> 00:03:17.480]  於是十六章一到十三節
[00:03:17.480 --> 00:03:19.760]  如果你看很多中文聖經的標題
[00:03:19.760 --> 00:03:23.240]  他會用一個標題叫做大衛被高納
[00:03:23.240 --> 00:03:24.720]  這個是對的
[00:03:24.720 --> 00:03:26.640]  不過如果你看一看
[00:03:26.640 --> 00:03:31.320]  由於這只是大衛整個故事的人生的開始
[00:03:31.320 --> 00:03:32.880]  事實上這十三節經文
[00:03:32.880 --> 00:03:34.520]  原來沒有提大衛
[00:03:34.520 --> 00:03:37.680]  大衛的名字出現是到了第十三節才出現
[00:03:37.680 --> 00:03:40.840]  所以與其這段經文是說大衛被高納
[00:03:40.840 --> 00:03:42.320]  不如更加說什麼呢?
[00:03:42.320 --> 00:03:45.440]  其實是在說撒姆爾的心情
[00:03:45.440 --> 00:03:47.280]  耶和華和撒姆爾的對話
[00:03:47.280 --> 00:03:52.560]  事實上撒姆爾這個名字在這段經文最少出現了十次以上
[00:03:52.560 --> 00:03:57.160]  並且你看一開始經文是在說耶和華和撒姆爾
[00:03:57.160 --> 00:04:00.560]  紅色和綠色兩句是在原文調轉的
[00:04:00.560 --> 00:04:02.880]  黃色和綠色
[00:04:02.880 --> 00:04:04.560]  黃色那句是開始先的
[00:04:04.560 --> 00:04:07.640]  原來一開始神就跟他說你
[00:04:07.640 --> 00:04:09.480]  你和我都降低了
[00:04:09.480 --> 00:04:11.200]  因為他本身是重複地用
[00:04:11.200 --> 00:04:12.120]  就是說你
[00:04:12.120 --> 00:04:14.400]  撒姆爾你為什麼這麼悲傷
[00:04:14.400 --> 00:04:15.800]  悲傷到什麼時候呢?
[00:04:15.800 --> 00:04:19.680]  然後他就說我已經廢棄了大衛
[00:04:19.680 --> 00:04:21.640]  廢棄了以色列王
[00:04:21.640 --> 00:04:24.000]  廢棄了蘇羅作以色列王
[00:04:24.000 --> 00:04:28.640]  問題就是在問為什麼撒姆爾這麼悲傷
