
[00:00:00.000 --> 00:00:02.000]  奉主明文,大兄姊妹平安。
[00:00:02.000 --> 00:00:04.000]  奉主問候大兄姊妹平安。
[00:00:04.000 --> 00:00:07.000]  上個禮拜三。
[00:00:07.000 --> 00:00:08.000]  上個禮拜三。
[00:00:08.000 --> 00:00:15.000]  美國總統承認耶路撒冷是以色列的首都。
[00:00:15.000 --> 00:00:18.000]  美國總統承認耶路撒冷為以色列的首都。
[00:00:18.000 --> 00:00:20.000]  之後死了很多人。
[00:00:20.000 --> 00:00:22.000]  之後死了多少人?
[00:00:22.000 --> 00:00:24.000]  起碼巴勒斯坦死了四個。
[00:00:24.000 --> 00:00:27.000]  之後巴勒斯坦死了四個人。
[00:00:27.000 --> 00:00:29.000]  今早的新聞來的。
[00:00:29.000 --> 00:00:30.000]  這是今天早上的新聞。
[00:00:30.000 --> 00:00:31.000]  你知道發生了什麼事嗎?
[00:00:31.000 --> 00:00:33.000]  你知道發生了什麼事嗎?
[00:00:33.000 --> 00:00:40.000]  當然你要明白中東的政治局勢。
[00:00:40.000 --> 00:00:43.000]  當然你要明白中東的政治局勢。
[00:00:43.000 --> 00:00:46.000]  如果你不明白中東的政治局勢。
[00:00:46.000 --> 00:00:48.000]  如果你不明白中東的政治局勢。
[00:00:48.000 --> 00:00:55.000]  現在在街上的那些砰砰砰,暴動啊,你很難明白的,是不是?
[00:00:55.000 --> 00:00:58.000]  現在你很難明白在街上的那些暴動。
[00:00:58.000 --> 00:01:01.000]  你一定要跟著這個情形,你才明白的。
[00:01:01.000 --> 00:01:03.000]  你一定要跟著這個情形,你才會明白。
[00:01:03.000 --> 00:01:07.000]  現在是現時最新鮮的新聞來的。
[00:01:07.000 --> 00:01:08.000]  這是非常新鮮的新聞。
[00:01:08.000 --> 00:01:10.000]  如果你不明白這件事呢?
[00:01:10.000 --> 00:01:11.000]  如果你不明白這件事呢?
[00:01:11.000 --> 00:01:12.000]  你不明白中東的局勢呢?
[00:01:12.000 --> 00:01:14.000]  如果你不明白中東的局勢呢?
[00:01:14.000 --> 00:01:16.000]  你很難明白那些人為什麼在那裡撒冷的嘛。
[00:01:16.000 --> 00:01:19.000]  你就很難明白為什麼在中東那些人會。
[00:01:19.000 --> 00:01:21.000]  我這裡不是報告新聞。
[00:01:21.000 --> 00:01:23.000]  我這裡不是報告新聞。
[00:01:23.000 --> 00:01:24.000]  但是耶路撒冷。
[00:01:24.000 --> 00:01:25.000]  但是耶路撒冷。
[00:01:25.000 --> 00:01:27.000]  我們今天的聖經有沒有碰到這個字眼?
[00:01:27.000 --> 00:01:29.000]  我們今天的聖經有沒有碰到這個字眼?
[00:01:29.000 --> 00:01:30.000]  有沒有啊?
[00:01:30.000 --> 00:01:31.000]  有沒有啊?
[00:01:31.000 --> 00:01:32.000]  第幾節了?
[00:01:32.000 --> 00:01:33.000]  第幾節?
[00:01:33.000 --> 00:01:35.000]  第一節。
