
[00:00:00.000 --> 00:00:02.160]  我們先一齊有個祈禱
[00:00:02.160 --> 00:00:06.600]  真主我們感謝祢
[00:00:06.600 --> 00:00:09.040]  感謝祢的恩典救我們
[00:00:09.040 --> 00:00:12.720]  當我們一起去讀上帝的說話的時候
[00:00:12.720 --> 00:00:15.400]  當我們一起去聽祢自己的話語的時候
[00:00:15.400 --> 00:00:19.560]  主我們願意聖靈在我們當中親自去工作
[00:00:19.560 --> 00:00:21.560]  親自去幫助我們
[00:00:21.560 --> 00:00:23.760]  讓我們不單止明白真理
[00:00:23.760 --> 00:00:27.440]  讓我們更加明白真理背後的教導
[00:00:27.760 --> 00:00:30.560]  讓我們更加知道怎樣行在我們生活的裏面
[00:00:30.560 --> 00:00:31.760]  我們感謝主
[00:00:31.760 --> 00:00:34.720]  求主帶領我們這樣祈禱
[00:00:34.720 --> 00:00:36.560]  奉主耶穌基督的名求
[00:00:36.560 --> 00:00:37.760]  阿們
[00:00:37.760 --> 00:00:41.880]  好 今天跟大家分享一段經文
[00:00:41.880 --> 00:00:46.800]  就是在利險美記裏面我們說重建城牆
[00:00:46.800 --> 00:00:49.640]  其實我之前甚麼都不知道的
[00:00:49.640 --> 00:00:52.800]  我來到才知道原來你們接下來要重建教會
[00:00:53.680 --> 00:00:58.000]  我想聖靈真是厲害 這樣都可以
[00:00:58.000 --> 00:00:59.440]  我真的不知道
[00:00:59.440 --> 00:01:04.000]  今天早上趙牧師跟我介紹你們的工程是怎樣做
[00:01:04.000 --> 00:01:08.000]  將會搬去南宣
[00:01:08.000 --> 00:01:10.880]  在那裏要三個月的聚會
[00:01:10.880 --> 00:01:12.560]  不簡單
[00:01:12.560 --> 00:01:17.280]  然後這裏就要有很多的裝修
[00:01:17.280 --> 00:01:18.760]  你當然不是拆了建的
[00:01:18.760 --> 00:01:20.440]  你也不是重建城牆
[00:01:20.760 --> 00:01:26.480]  你們只是改建 例如方便上廁所
[00:01:26.480 --> 00:01:28.040]  我今天早上知道的東西
[00:01:28.040 --> 00:01:37.640]  今天這段經文究竟和大家有甚麼幫助或影響
[00:01:37.640 --> 00:01:45.200]  我想我會很快地讓大家回看利險美記裏面的內容
[00:01:45.200 --> 00:01:49.720]  第一章就說到利險美記在外邦的地方被擄
[00:01:50.080 --> 00:01:56.240]  聽到自己家鄉耶路撒冷的城牆城門被火焚燒
