
[00:00:00.000 --> 00:00:08.600]  知道大家知不知道,有兩個讀在慈丹福大學博士班的學生
[00:00:08.600 --> 00:00:11.100]  他們是訪友,一個叫做Larry Page
[00:00:11.100 --> 00:00:13.100]  一個叫做Sergio Breen
[00:00:13.100 --> 00:00:15.100]  有聽過他的名字嗎?
[00:00:15.100 --> 00:00:17.100]  你們有聽過他的名字嗎?
[00:00:17.100 --> 00:00:18.300]  (聽過)
[00:00:18.300 --> 00:00:19.900]  你們知不知道他是誰?
[00:00:19.900 --> 00:00:25.600]  沒錯,他就是在他們讀博士班的時候
[00:00:25.600 --> 00:00:27.600]  大家在房間裡聊聊天
[00:00:27.600 --> 00:00:31.000]  他說我們畢業之後一起合作
[00:00:31.000 --> 00:00:35.600]  究竟我們要成立那家公司有什麼目標呢?
[00:00:35.600 --> 00:00:37.600]  有什麼使命呢?
[00:00:37.600 --> 00:00:43.400]  結果他們在1998年就成立了這家Google
[00:00:43.400 --> 00:00:50.100]  就是我們每個人生活上都不能少得的一個搜尋引擎
[00:00:50.100 --> 00:00:52.600]  來得到很多的資訊
[00:00:52.600 --> 00:00:56.500]  他們這家公司的一個mission statement
[00:00:56.500 --> 00:00:58.500]  大家知不知道mission statement是什麼?
[00:00:58.500 --> 00:01:01.200]  mission statement就是他們存在的目的
[00:01:01.200 --> 00:01:02.700]  他們的使命
[00:01:02.700 --> 00:01:04.700]  這個叫做使命宣言
[00:01:04.700 --> 00:01:06.700]  mission statement,使命宣言
[00:01:06.700 --> 00:01:08.700]  這個使命宣言,他說
[00:01:08.700 --> 00:01:14.500]  To organize the world's information and make it universally accessible and useful
[00:01:14.500 --> 00:01:16.500]  這個就是他們的使命宣言
[00:01:16.500 --> 00:01:21.500]  就是說他們要組織所有全世界的資訊
[00:01:21.500 --> 00:01:26.900]  來把它成為周圍的人,全球的人
[00:01:26.900 --> 00:01:31.500]  能夠容易進入得到,而且覺得有用的東西
[00:01:31.500 --> 00:01:33.500]  這個就是他們的使命
[00:01:33.500 --> 00:01:37.900]  所以今天我們看到有一種使命的宣言
[00:01:37.900 --> 00:01:39.500]  也是非常重要的
[00:01:39.500 --> 00:01:43.500]  不知道你和我在人生當中有沒有mission statement
[00:01:43.500 --> 00:01:45.700]  究竟你活著有什麼意義?
[00:01:45.700 --> 00:01:47.900]  究竟我們生存有什麼目的?
[00:01:47.900 --> 00:01:50.500]  今天我們來看看耶穌基督
[00:01:50.500 --> 00:01:54.900]  祂活在世上的時候的使命宣言
[00:01:54.900 --> 00:02:00.100]  好像我們也能夠活出主在世的使命宣言
[00:02:00.100 --> 00:02:03.700]  當主耶穌受洗,成為我們的榜樣
[00:02:03.700 --> 00:02:06.100]  祂勝過魔鬼的試探
