
[00:00:00.000 --> 00:00:02.500]  大家好,今天是母親節
[00:00:02.500 --> 00:00:06.720]  我在這裡祝願在我們在座當中的母親
[00:00:06.720 --> 00:00:08.060]  母親節快樂
[00:00:08.060 --> 00:00:11.280]  教會經常跟我們說
[00:00:11.280 --> 00:00:12.480]  教會的弟兄姊妹
[00:00:12.480 --> 00:00:17.760]  我們看保羅的書信也說
[00:00:17.760 --> 00:00:23.300]  要看主裡面的如同母親一樣
[00:00:23.300 --> 00:00:26.300]  所以屬靈的母親在我們在座當中
[00:00:26.300 --> 00:00:29.600]  未必是有兒女的母親
[00:00:29.600 --> 00:00:32.700]  但是每一位都可以做屬靈的母親
[00:00:32.700 --> 00:00:35.520]  幫助別人的生命成長
[00:00:35.520 --> 00:00:38.160]  所以盼望我們一起學習
[00:00:38.160 --> 00:00:40.000]  我們一同得到鼓勵
[00:00:40.000 --> 00:00:42.500]  我們一起禱告
[00:00:42.500 --> 00:00:43.420]  天父多謝祢
[00:00:43.420 --> 00:00:44.420]  今天是母親節
[00:00:44.420 --> 00:00:48.640]  我們想到我們一起學習
[00:00:48.640 --> 00:00:50.760]  無論是肉身的母親
[00:00:50.760 --> 00:00:52.440]  或者是屬靈的母親
[00:00:52.440 --> 00:00:57.120]  我們都一同願意自己的生命被建立
[00:00:57.120 --> 00:00:58.800]  被祢所建立
[00:00:58.800 --> 00:01:02.340]  也別人因為我們的生命被建立
[00:01:02.340 --> 00:01:04.260]  求主祢去祝福去引領
[00:01:04.260 --> 00:01:06.100]  祈禱奉主耶穌基督的名
[00:01:06.100 --> 00:01:07.860]  阿們
[00:01:07.860 --> 00:01:11.000]  做母親這個角色很不容易
[00:01:11.000 --> 00:01:13.440]  我們要去建立一個人
[00:01:13.440 --> 00:01:15.920]  人也不容易
[00:01:15.920 --> 00:01:17.260]  有自己的思想
[00:01:17.260 --> 00:01:18.880]  有自己的想法
[00:01:18.880 --> 00:01:21.020]  做母親也有很多想法
[00:01:21.020 --> 00:01:26.520]  希望兒女能夠將來的生活好過
[00:01:26.520 --> 00:01:29.640]  首先讀書的時候找到一間好的學校
[00:01:29.640 --> 00:01:34.720]  然後做工找到一個很穩定的工作
[00:01:34.720 --> 00:01:38.760]  然後人生的方向也很好
[00:01:38.760 --> 00:01:40.300]  我們很多時候都會這樣想
[00:01:40.300 --> 00:01:42.200]  這是很真實的
[00:01:42.200 --> 00:01:44.640]  但有時候聖經強調我們人生
[00:01:44.640 --> 00:01:47.680]  有一件事是給先決的條件
[00:01:47.680 --> 00:01:48.960]  就是我們跟神的關係
[00:01:48.960 --> 00:01:50.680]  這個屬靈的定位
[00:01:50.680 --> 00:01:52.000]  有了這個
[00:01:52.000 --> 00:01:56.480]  無論我們經歷的學業的艱難也好
[00:01:56.480 --> 00:01:59.840]  或者我們甚至是工作的艱難也好
[00:01:59.840 --> 00:02:01.840]  或者前面的
[00:02:01.840 --> 00:02:03.520]  我們不知道怎樣面對
[00:02:03.520 --> 00:02:05.200]  神是很
[00:02:05.200 --> 00:02:07.720]  我們跟我們的身份
[00:02:07.720 --> 00:02:09.160]  神的兒女
[00:02:09.160 --> 00:02:11.280]  我們屬靈的生命是非常重要
[00:02:11.280 --> 00:02:12.560]  是首要的
[00:02:12.560 --> 00:02:16.480]  所以我們今天要一起學習
[00:02:16.480 --> 00:02:19.240]  我聽到有件事是這樣
[00:02:19.240 --> 00:02:20.680]  有一位母親
