
[00:00:00.000 --> 00:00:03.040]  各位親愛的弟兄姊妹,平安!
[00:00:03.040 --> 00:00:11.000]  在這個暑假裡,我有機會和一些青少年一起去玩pair牌
[00:00:11.000 --> 00:00:19.000]  不知道大家有沒有玩過一種紙牌遊戲,叫做show hands
[00:00:19.000 --> 00:00:22.000]  或者是「話事pair」的呢?
[00:00:22.000 --> 00:00:26.000]  如果你懂得玩的話,你就知道
[00:00:26.000 --> 00:00:29.000]  如果要在這個遊戲裡勝出的話
[00:00:29.000 --> 00:00:37.000]  那參與遊戲的人就要嘗試去組合出一手好牌
[00:00:37.000 --> 00:00:41.000]  一手就是五隻,是最好的牌
[00:00:41.000 --> 00:00:50.000]  那我們就要問一下,什麼叫做最好,最所向無敵的組合呢?
[00:00:50.000 --> 00:00:54.000]  這裡有個圖,不知道大家看不看得到
[00:00:54.000 --> 00:00:57.000]  有十種可能的組合
[00:00:57.000 --> 00:01:03.000]  那你覺得哪一種組合應該是最厲害的呢?
[00:01:03.000 --> 00:01:07.000]  可能看不出來,應該是第一個
[00:01:07.000 --> 00:01:11.000]  我們稱這一種就叫做「桐花筍」
[00:01:11.000 --> 00:01:16.000]  就是說,四種花裡面,你是用同一隻花
[00:01:16.000 --> 00:01:20.000]  而且是順著次序來排列
[00:01:20.000 --> 00:01:25.000]  而最高的排列,一定要用「A」
[00:01:25.000 --> 00:01:30.000]  來到開始,這一種就叫做「煙的桐花筍」
[00:01:30.000 --> 00:01:33.000]  而在四種煙桐花筍裡面
[00:01:33.000 --> 00:01:39.000]  最厲害的,就是大家看到這張圖的「葵扇煙桐花筍」
[00:01:39.000 --> 00:01:43.000]  那如果你有一手這樣的牌一出
[00:01:43.000 --> 00:01:46.000]  那就是「誰與真風」了
[00:01:46.000 --> 00:01:48.000]  就很難的了,一定是你贏
[00:01:48.000 --> 00:01:51.000]  寶羅寫信給提摩太
[00:01:51.000 --> 00:01:55.000]  他一開始寫這封信的時候
[00:01:55.000 --> 00:01:57.000]  就這樣跟提摩太說
[00:01:57.000 --> 00:02:01.000]  我從前照著你預言
[00:02:01.000 --> 00:02:04.000]  將這個吩咐、命令交託給你
[00:02:04.000 --> 00:02:06.000]  寫信給你的目的
[00:02:06.000 --> 00:02:11.000]  就是使你能夠藉著這些預言
[00:02:11.000 --> 00:02:16.000]  這些吩咐,能夠打美好的仗
[00:02:16.000 --> 00:02:22.000]  而在這封信的結束,六章十二節裡面
[00:02:22.000 --> 00:02:25.000]  寶羅又再次跟提摩太說
[00:02:25.000 --> 00:02:29.000]  你要為信仰打美好的仗
[00:02:29.000 --> 00:02:33.000]  是因為你是為此而被召的
[00:02:33.000 --> 00:02:39.000]  所以寶羅就好像一個擁有絕世武功的一代宗師
