
[00:00:00.000 --> 00:00:04.500]  「上主的救恩誠言,與敬畏他的人相近。」
[00:00:04.500 --> 00:00:08.700]  這個講題比較長,讀多幾次大家容易去到記得。
[00:00:08.700 --> 00:00:13.700]  九月份經過三個星期的猜傳的訊息,
[00:00:13.700 --> 00:00:18.000]  今天我們要回到本季的主題。
[00:00:18.000 --> 00:00:20.000]  大家還不知道記不記得,
[00:00:20.000 --> 00:00:25.000]  「重新仰望可拉後裔」的詩篇。
[00:00:25.000 --> 00:00:34.000]  隔了三個星期,不少都要和大家重溫我們整個系列。
[00:00:34.000 --> 00:00:39.000]  根據舊約文素記記載,可拉這個人物,
[00:00:39.000 --> 00:00:43.000]  本來已經在敬拜的事上有份參與,
[00:00:43.000 --> 00:00:46.000]  誰知他又得罪神,犯罪。
[00:00:46.000 --> 00:00:51.000]  經過摩西的勸告後,都不肯悔改,不肯回轉。
[00:00:51.000 --> 00:00:55.000]  結果上帝去到審判他的家族。
[00:00:55.000 --> 00:01:01.000]  可拉屬於他的人都被大地所吞滅,很可怕。
[00:01:01.000 --> 00:01:07.000]  但在這裡記載,誰知又有可拉的後裔在後來出現。
[00:01:07.000 --> 00:01:12.000]  估計可能在他的後裔或兒子當中,
[00:01:12.000 --> 00:01:22.000]  仍然有人堅持利尾人的職份忠心,跟隨摩西,跟隨耶和華。
[00:01:22.000 --> 00:01:24.000]  沒有跟隨可拉的做法。
[00:01:24.000 --> 00:01:27.000]  所以他得以流傳。
[00:01:27.000 --> 00:01:29.000]  所以,如果這樣看歷史,
[00:01:29.000 --> 00:01:36.000]  我們今天詩篇八十五篇第九節裡說:
[00:01:36.000 --> 00:01:39.000]  「他的救恩,誠言與敬畏他的人生」,
[00:01:39.000 --> 00:01:42.000]  我們的講題就是在說這個。
[00:01:42.000 --> 00:01:47.000]  其實似乎是在反映這個可拉的後裔得以流傳,
[00:01:47.000 --> 00:01:53.000]  因為他們都願意跟隨神母,跟隨可拉他們作惡。
[00:01:53.000 --> 00:02:00.000]  所以得以傳流,上帝與他們相近。
[00:02:00.000 --> 00:02:07.000]  所以這句說話也可以說是在反映可拉後裔的經歷。
[00:02:07.000 --> 00:02:11.000]  我們在今季開始的時間,
[00:02:11.000 --> 00:02:14.000]  重溫少少,四十二篇開始的時候,
[00:02:14.000 --> 00:02:18.000]  我們會讀到:「我的心,你為何憂悶?」
[00:02:18.000 --> 00:02:23.000]  講很多句說話,其實都是從心靈的深處去發出,
[00:02:23.000 --> 00:02:26.000]  而同時之間去跟自己說話,
[00:02:26.000 --> 00:02:30.000]  其實我的內心是怎樣的呢?
[00:02:30.000 --> 00:02:32.000]  要跟他去到說話,
[00:02:32.000 --> 00:02:38.000]  要從內心很真誠去講出他的掙扎,他的感受是甚麼呢?
[00:02:38.000 --> 00:02:41.000]  有些時候,他說「憂悶的時間」,
[00:02:41.000 --> 00:02:47.000]  就顯出他心裏面其實有很多不愉快的感覺,
[00:02:47.000 --> 00:02:51.000]  一些負面的感覺,他需要去到向神去表達。
[00:02:51.000 --> 00:02:55.000]  每一個人其實都有機會,心靈,包括基督徒,
[00:02:55.000 --> 00:02:59.000]  心靈都有機會有喜起伏伏的時間,
[00:02:59.000 --> 00:03:03.000]  有高興的時間,喜樂的時間,有時可能都會有低落,
[00:03:03.000 --> 00:03:06.000]  低落的原因可能是因為環境,
[00:03:06.000 --> 00:03:08.000]  很多東西影響,不如意,
[00:03:08.000 --> 00:03:11.000]  有時可能都是想起以前一些不開心的事,
[00:03:11.000 --> 00:03:15.000]  或者自己失敗的事,都會令我們低沉。
[00:03:15.000 --> 00:03:18.000]  這個都是人之常情來的。
[00:03:18.000 --> 00:03:21.000]  在這裏,其實「可拉後裔」的詩篇,
[00:03:21.000 --> 00:03:26.000]  這句說話真是在經卷裏面作為標題,
[00:03:26.000 --> 00:03:29.000]  好像是經文的一部份,不過我們通常不讀出來。
[00:03:29.000 --> 00:03:32.000]  所以每次打開這些詩篇,見到這個名字,
[00:03:32.000 --> 00:03:34.000]  我不知道「可拉後裔」那些,
[00:03:34.000 --> 00:03:38.000]  經常都提起以前的事,對不對?
[00:03:38.000 --> 00:03:41.000]  可能是有這種感覺。
[00:03:41.000 --> 00:03:45.000]  如果想起自己失敗的時候,
[00:03:45.000 --> 00:03:48.000]  那種感覺又怎樣去處理呢?
[00:03:48.000 --> 00:03:51.000]  有一個古老的故事有這樣說的,
[00:03:51.000 --> 00:03:56.000]  有一個很有權勢的國王向一個智者,
[00:03:56.000 --> 00:03:58.000]  很有智慧的人去求問。
[00:03:58.000 --> 00:04:01.000]  他說:「我是一個很不快樂的人,
[00:04:01.000 --> 00:04:05.000]  情緒很不穩定,覺得自己就快崩潰了。」
[00:04:05.000 --> 00:04:06.000]  什麼情況呢?
[00:04:06.000 --> 00:04:11.000]  就是當他事情順利,打贏仗的時候,
[00:04:11.000 --> 00:04:13.000]  就會高興到不得了。
[00:04:13.000 --> 00:04:15.000]  打輸仗,或者事情不順利,
[00:04:15.000 --> 00:04:19.000]  整個人就很沮喪,好像想死一樣。
[00:04:19.000 --> 00:04:25.000]  他說:「那些快樂,好像來來去去,
[00:04:25.000 --> 00:04:27.000]  拜來又拜去,
[00:04:27.000 --> 00:04:31.000]  真的是很快上又很快樂,
[00:04:31.000 --> 00:04:34.000]  怎樣可以抓緊快樂呢?」
[00:04:34.000 --> 00:04:36.000]  他問這個道師,
[00:04:36.000 --> 00:04:39.000]  可不可以為他解答呢?這個智者。
[00:04:39.000 --> 00:04:42.000]  智者之後想一想,就說:「好,等我三天。」
[00:04:42.000 --> 00:04:44.000]  要想三天喔!
[00:04:44.000 --> 00:04:48.000]  三天之後,這個智者就做了一件事,
[00:04:48.000 --> 00:04:51.000]  就是一隻戒指。
[00:04:51.000 --> 00:04:53.000]  這個戒指,可能他就是用三天時間
[00:04:53.000 --> 00:04:54.000]  預備這個戒指都不停。
[00:04:54.000 --> 00:04:58.000]  這個戒指上面其實刻了一樣東西給他,
[00:04:58.000 --> 00:05:02.000]  說:「一切都會過去。」
[00:05:02.000 --> 00:05:05.000]  人如果能夠忘記以往一些不開心的經歷,
[00:05:05.000 --> 00:05:08.000]  的確是會覺得輕散一點。
