
[00:00:00.000 --> 00:00:03.640]  其實上星期我們就聽了李牧師
[00:00:03.640 --> 00:00:07.800]  分享了重建聖潔的酒吧老闆
[00:00:07.800 --> 00:00:11.040]  這個也是基地人正在做的
[00:00:11.040 --> 00:00:13.040]  重建聖潔的分堂老闆
[00:00:13.040 --> 00:00:17.320]  你看到我們在Millpeters也有很多的事供
[00:00:17.320 --> 00:00:22.400]  如果你有留意我周刊裡面的分享
[00:00:22.400 --> 00:00:29.200]  除了有Free Groceries
[00:00:29.200 --> 00:00:31.560]  去接觸社區的派發
[00:00:31.560 --> 00:00:37.240]  那裡有接近一千個家庭會來拿免費的糧食
[00:00:37.240 --> 00:00:42.760]  遲些我們也會開始有一個叫做
[00:00:42.760 --> 00:00:45.960]  傳統文化的Program Heritage Program
[00:00:45.960 --> 00:00:48.360]  去接觸其他不同的家庭
[00:00:48.360 --> 00:00:51.880]  我們希望用得著上帝給我們的這些資源
[00:00:51.880 --> 00:00:53.000]  去接觸社區
[00:00:53.000 --> 00:00:54.160]  去服侍這個社區
[00:00:54.160 --> 00:00:55.320]  特別在疫情裡面
[00:00:55.320 --> 00:00:58.480]  真的很多家庭都是有這樣的需要
[00:00:58.480 --> 00:01:00.480]  無論是看管著小朋友
[00:01:00.480 --> 00:01:02.480]  或者是食物的需要
[00:01:02.480 --> 00:01:05.560]  這些我們都會繼續在當中努力
[00:01:05.560 --> 00:01:10.120]  多謝基地人去承擔了很多這方面的工作
[00:01:10.120 --> 00:01:12.840]  我們看看《離險米記》第二章一至十節
[00:01:12.840 --> 00:01:15.480]  裡面的經文是怎麼樣的
[00:01:15.480 --> 00:01:16.360]  這裡說到
[00:01:16.360 --> 00:01:18.960]  阿達洩西王第二十年離散月
[00:01:18.960 --> 00:01:22.520]  酒就擺在王的面前
[00:01:22.520 --> 00:01:24.520]  我拿起酒來奉給王
[00:01:24.520 --> 00:01:26.720]  我在王面前從來沒有愁容
[00:01:26.720 --> 00:01:27.800]  王就對我說
[00:01:27.800 --> 00:01:28.840]  你既然沒有病
[00:01:28.840 --> 00:01:31.040]  為什麼面帶愁容呢
[00:01:31.040 --> 00:01:32.480]  是不思別的
[00:01:32.480 --> 00:01:34.480]  必定在心中有愁憤
[00:01:34.480 --> 00:01:37.040]  於是我就非常懼怕
[00:01:37.040 --> 00:01:37.840]  對王說
[00:01:37.840 --> 00:01:38.840]  願王萬歲
[00:01:38.840 --> 00:01:42.560]  我祖先墳墓所在那城芳良
[00:01:42.560 --> 00:01:43.720]  城門被火焚燒
[00:01:43.720 --> 00:01:45.480]  我豈能面無愁容呢
[00:01:45.480 --> 00:01:46.360]  王就對我說
