
[00:00:00.000 --> 00:00:01.720]  靈姐妹主內平安
[00:00:01.720 --> 00:00:06.280]  今天和大家很高興可以再次分享神的話語
[00:00:06.280 --> 00:00:10.320]  今天是神學講座系列的第二講
[00:00:10.320 --> 00:00:12.320]  上一次是講到神的名字
[00:00:12.320 --> 00:00:15.320]  今天是會講到在創世之前
[00:00:15.320 --> 00:00:18.560]  三一神內在的愛
[00:00:18.560 --> 00:00:20.080]  在我們開始之前
[00:00:20.080 --> 00:00:22.520]  日提我會祈禱好嗎?
[00:00:22.520 --> 00:00:23.760]  親愛的阿爸天父
[00:00:23.760 --> 00:00:24.920]  親愛的主耶穌
[00:00:24.920 --> 00:00:26.600]  我們來到您面前
[00:00:26.600 --> 00:00:27.960]  主耶穌我們感謝您
[00:00:27.960 --> 00:00:32.760]  因為在你的啟示當中讓我們去認識你
[00:00:32.760 --> 00:00:36.720]  在你的恩典當中讓我們能夠去和你結緣
[00:00:36.720 --> 00:00:39.280]  一切都是你的恩典我們感謝
[00:00:39.280 --> 00:00:43.040]  最後就是今天我們的講道我們都是交上
[00:00:43.040 --> 00:00:45.240]  求主你令我們拖大年敏
[00:00:45.240 --> 00:00:47.760]  好讓無論是講的還是聽的
[00:00:47.760 --> 00:00:50.520]  不單止帶著一個謙卑的心
[00:00:50.520 --> 00:00:54.600]  也讓我們的心被主祢的愛去無助改變
[00:00:54.600 --> 00:00:57.320]  我們將以下時間全擺上
[00:00:57.320 --> 00:00:58.680]  求主你拖大
[00:00:58.680 --> 00:00:59.640]  祈禱、教導
[00:00:59.640 --> 00:01:02.120]  奉主耶穌基督得勝名而求
[00:01:02.120 --> 00:01:03.120]  阿們
[00:01:03.120 --> 00:01:06.320]  今天和大家分享的經文
[00:01:06.320 --> 00:01:08.800]  我們首先讀一次
[00:01:08.800 --> 00:01:11.880]  今天講到的經文主要是來自
[00:01:11.880 --> 00:01:17.320]  約翰福音十七章二十四至二十六節
[00:01:17.320 --> 00:01:19.240]  「父啊,我在那裡
[00:01:19.240 --> 00:01:23.320]  願祢所賜給我的人也同我在那裡
[00:01:23.320 --> 00:01:26.320]  讓他們看見祢所賜給我的榮耀
[00:01:26.320 --> 00:01:28.960]  因為創立世界已先
[00:01:28.960 --> 00:01:30.960]  祢已經愛我了
[00:01:30.960 --> 00:01:32.280]  公義的父啊
[00:01:32.280 --> 00:01:34.280]  世人未曾認識祢
[00:01:34.280 --> 00:01:36.000]  我卻認識祢
[00:01:36.000 --> 00:01:38.640]  這些人也知道祢差了我來
[00:01:38.640 --> 00:01:41.760]  我已將祢的名指示他們
[00:01:41.760 --> 00:01:43.320]  還要指示他們
[00:01:43.320 --> 00:01:47.000]  使祢所愛我的愛在他們裡面
[00:01:47.000 --> 00:01:49.720]  我也在他們裡面」
[00:01:51.720 --> 00:01:59.920]  我看每一個人在這個世界都扮演著很多不同的身份和角色
[00:01:59.920 --> 00:02:03.560]  很多人在教會裡面的弟兄姊妹
[00:02:03.560 --> 00:02:06.120]  可能認識我是傳道人
[00:02:06.120 --> 00:02:09.040]  在我神學院的神學生來說
[00:02:09.040 --> 00:02:10.760]  可能認識我一個老師
[00:02:10.760 --> 00:02:12.360]  以前當我做律師的時候
[00:02:12.360 --> 00:02:14.360]  我的客人認識我就是一位律師
[00:02:14.360 --> 00:02:15.760]  對我太太來說
[00:02:15.760 --> 00:02:18.560]  我最主要是她的丈夫
[00:02:18.560 --> 00:02:19.760]  對我兩女來說
[00:02:19.760 --> 00:02:21.360]  我就是她的爸爸
[00:02:21.360 --> 00:02:29.240]  但究竟當我們有這些身份和角色之前的我
[00:02:29.240 --> 00:02:30.600]  究竟是怎樣的呢?
[00:02:30.600 --> 00:02:32.880]  或者問究竟我的本相
[00:02:32.880 --> 00:02:35.040]  除去這些角色身份
[00:02:35.040 --> 00:02:36.600]  我本相是怎樣的呢?
[00:02:36.600 --> 00:02:37.960]  你知不知道呢?
[00:02:37.960 --> 00:02:39.720]  或者我用另一個例子
[00:02:39.720 --> 00:02:43.240]  讓大家明白我今天想說些什麼
[00:02:43.240 --> 00:02:46.960]  不知道大家有沒有試過去問你的父母
[00:02:46.960 --> 00:02:50.640]  當問他們未為人父母的時候
[00:02:50.640 --> 00:02:52.160]  或者他未結婚
[00:02:52.160 --> 00:02:53.800]  他還是單身的時候
[00:02:53.800 --> 00:02:55.040]  他是一個怎樣的人
[00:02:55.040 --> 00:02:56.640]  是一個怎樣的性情
[00:02:56.640 --> 00:02:58.120]  或者有怎樣的經歷
[00:02:58.120 --> 00:03:00.120]  他會怎樣形容自己呢?
[00:03:00.120 --> 00:03:03.720]  當我自己媽媽80歲的時候
[00:03:03.720 --> 00:03:06.200]  我就意識到她年紀越大
[00:03:06.200 --> 00:03:08.200]  甚至有一天她會離開我們
[00:03:08.200 --> 00:03:10.360]  所以我突然間就心血來潮
[00:03:10.360 --> 00:03:13.840]  我就想問媽媽去了解她一生
[00:03:13.840 --> 00:03:15.360]  有一天我就坐下來
[00:03:15.360 --> 00:03:16.080]  捉住她的手
[00:03:16.080 --> 00:03:18.400]  我就問媽媽她一生的故事
[00:03:18.400 --> 00:03:20.920]  我之後發現很多事情
[00:03:20.920 --> 00:03:22.440]  原來我不知道的
[00:03:22.440 --> 00:03:23.960]  我所認識的媽媽
[00:03:23.960 --> 00:03:27.240]  全部都是從我的眼光去看
