
[00:00:00.000 --> 00:00:06.000]  準備經文看多一點
[00:00:06.000 --> 00:00:08.000]  如果我讀經文讀快一點的時候
[00:00:08.000 --> 00:00:09.000]  你肯定聽不懂
[00:00:09.000 --> 00:00:10.000]  你自己看著
[00:00:10.000 --> 00:00:12.000]  或者給我聽講好一點
[00:00:12.000 --> 00:00:14.000]  暖身問題
[00:00:14.000 --> 00:00:15.000]  你有沒有留意過
[00:00:15.000 --> 00:00:17.000]  舊育當中有關
[00:00:17.000 --> 00:00:20.000]  馬基西德的經文
[00:00:20.000 --> 00:00:21.000]  如果沒有的話
[00:00:21.000 --> 00:00:23.000]  剛才你讀過了
[00:00:23.000 --> 00:00:25.000]  但問題簡單一點
[00:00:25.000 --> 00:00:28.000]  你有沒有明白希伯黎書
[00:00:28.000 --> 00:00:33.000]  有關馬基西德的教導呢
[00:00:33.000 --> 00:00:35.000]  如果你查經或者主義學學過
[00:00:35.000 --> 00:00:37.000]  應該知道的
[00:00:37.000 --> 00:00:41.000]  還有兩個問題
[00:00:41.000 --> 00:00:44.000]  作者如何根據
[00:00:44.000 --> 00:00:45.000]  我們剛剛讀過的
[00:00:45.000 --> 00:00:49.000]  那兩段舊育的經文
[00:00:49.000 --> 00:00:51.000]  後面的發展出
[00:00:51.000 --> 00:00:58.000]  想進詳盡的祭司神學呢
[00:00:58.000 --> 00:00:59.000]  神學是重點
[00:00:59.000 --> 00:01:01.000]  最後一個問題
[00:01:01.000 --> 00:01:04.000]  除了按照馬基西德的等次
[00:01:04.000 --> 00:01:07.000]  解釋耶穌基督的祭司殖墳之外
[00:01:07.000 --> 00:01:10.000]  作者有沒有其他的目的呢
[00:01:10.000 --> 00:01:13.000]  有沒有想過這個問題呢
[00:01:13.000 --> 00:01:15.000]  希望今天可以
[00:01:15.000 --> 00:01:19.000]  少少幫你回答這些問題
[00:01:19.000 --> 00:01:21.000]  我忘記了
[00:01:21.000 --> 00:01:25.000]  我忘記了教會的主題
[00:01:25.000 --> 00:01:28.000]  T4還是什麼
[00:01:28.000 --> 00:01:29.000]  忘記了
[00:01:29.000 --> 00:01:31.000]  上次感恩節
[00:01:31.000 --> 00:01:33.000]  一起聚會
[00:01:33.000 --> 00:01:34.000]  不是感恩節
[00:01:34.000 --> 00:01:36.000]  是十一月的第一個星期
[00:01:36.000 --> 00:01:38.000]  看到教會的主題是
[00:01:38.000 --> 00:01:42.000]  蒙照在基督里成熟
[00:01:42.000 --> 00:01:44.000]  所以幾個月之前
[00:01:44.000 --> 00:01:47.000]  黃長老跟他一起吃飯的時候
[00:01:47.000 --> 00:01:49.000]  他說要不要在這裡講道
