
[00:00:00.000 --> 00:00:03.960]  不知道大家今早預約了位飲茶嗎?
[00:00:03.960 --> 00:00:08.800]  希望這段時間大家可以安心專心的來敬拜神
[00:00:08.800 --> 00:00:12.880]  我們暫時將我們待會去酒樓飲茶
[00:00:12.880 --> 00:00:15.640]  或者今晚去吃飯的時候暫時放下
[00:00:15.640 --> 00:00:21.920]  我相信這些活動也是我們慶祝母親節最常有的活動
[00:00:21.920 --> 00:00:27.800]  去茶樓飲茶 去吃晚飯 去購物 逛街 買東西
[00:00:27.800 --> 00:00:32.920]  這些看似平凡的活動其實也是一種福氣
[00:00:32.920 --> 00:00:35.960]  特別是我們能夠兩代同堂
[00:00:35.960 --> 00:00:39.000]  一家人齊齊整整的去吃一頓飯
[00:00:39.000 --> 00:00:42.200]  去慶祝母親節 這是一種福氣
[00:00:42.200 --> 00:00:45.160]  這種福氣對於某些人來說
[00:00:45.160 --> 00:00:50.360]  其實也是可望而不可得的
[00:00:50.360 --> 00:00:52.640]  這些人是什麼人呢?
[00:00:52.640 --> 00:01:00.440]  他們有失蹤馬航客機乘客的家屬
[00:01:00.440 --> 00:01:07.880]  南韓歲月號客輪的失蹤者和死難者的家屬
[00:01:07.880 --> 00:01:13.480]  還有尼日利亞被綁架的女學生的媽媽
[00:01:13.480 --> 00:01:17.440]  這些媽媽的遭遇的確令人難過
[00:01:17.440 --> 00:01:22.720]  但其實我相信在座每一位母親的生命
[00:01:22.720 --> 00:01:25.560]  都可以是一個很動人的故事
[00:01:25.560 --> 00:01:30.440]  你想想十月懷胎經歷生產之苦
[00:01:30.440 --> 00:01:35.440]  然後綿乾碎濕的要去照顧兒女
[00:01:35.440 --> 00:01:38.280]  一生供書教學
[00:01:38.280 --> 00:01:41.200]  這是一生的渠道
[00:01:41.200 --> 00:01:46.480]  母親的勞苦很多時候是非不麥可以形容
[00:01:46.480 --> 00:01:50.720]  因此我很想藉著今天這個美好的日子
[00:01:50.720 --> 00:01:53.720]  希望用神的說話來祝福大家
[00:01:53.720 --> 00:01:57.480]  特別是祝福在座中的所有母親
[00:01:57.480 --> 00:02:02.040]  剛才我們讀的經文裡也有一位母親
[00:02:02.040 --> 00:02:04.360]  她是摩西的媽媽
[00:02:04.360 --> 00:02:06.320]  她也是一位勞苦的母親
[00:02:06.320 --> 00:02:08.120]  今天我想和大家一起去看看
[00:02:08.120 --> 00:02:10.880]  她如何排除萬難
[00:02:10.880 --> 00:02:12.680]  成為一位蒙福的媽媽
[00:02:12.680 --> 00:02:17.680]  也使她的兒女和家人因她而得福
[00:02:17.680 --> 00:02:20.520]  首先我們看看摩西的家庭背景
[00:02:20.520 --> 00:02:23.120]  我們一起讀這兩節經文
[00:02:23.120 --> 00:02:28.480]  有一個利美家的人娶了一個利美女子為妻
[00:02:28.480 --> 00:02:32.160]  那女人懷孕生一個兒子
[00:02:32.160 --> 00:02:36.600]  見他俊美就藏了他三個月
[00:02:36.600 --> 00:02:42.360]  這裡提到摩西出生在一個利美人的家庭
[00:02:42.360 --> 00:02:44.640]  不過她生不逢時
[00:02:44.640 --> 00:02:48.440]  如果你看這張再之前的聖經
[00:02:48.440 --> 00:02:50.240]  即是《春埃及記》的第一章
[00:02:50.240 --> 00:02:55.600]  你就會看到以色列人已經在埃及寄居了四百年
[00:02:55.600 --> 00:02:58.320]  他們的人數越來越多
[00:02:58.320 --> 00:03:02.720]  埃及王法老怕他們會造反
[00:03:02.720 --> 00:03:06.280]  所以加重他們的工作
[00:03:06.280 --> 00:03:09.720]  加倍來奴役他們
[00:03:09.720 --> 00:03:11.120]  不僅如此
[00:03:11.120 --> 00:03:17.240]  法老還叫那些為希伯來人接生的修生婆
[00:03:17.240 --> 00:03:22.240]  叫他們將希伯來婦人一生出來的男嬰殺了
[00:03:22.240 --> 00:03:25.440]  只存留那些女嬰
[00:03:25.440 --> 00:03:28.160]  但是那些修生婆因為敬畏神的緣故
[00:03:28.160 --> 00:03:31.000]  沒有遵照法老的吩咐去做
[00:03:31.000 --> 00:03:36.240]  法老見陰謀不得逞的時候唯有出陽謀
[00:03:36.240 --> 00:03:42.600]  他下令全國的人將所有希伯來人的男孩
[00:03:42.600 --> 00:03:48.200]  那些兒子全部吊到河裡
[00:03:48.200 --> 00:03:55.520]  摩西就是在這麼動盪的時代背景生出來的
[00:03:55.520 --> 00:03:57.800]  在這段經文裏面
[00:03:57.800 --> 00:04:00.400]  或者在其他經文裏面我們看到
[00:04:00.400 --> 00:04:03.640]  摩西在這個家庭裏面不是長子
[00:04:03.640 --> 00:04:07.440]  他還有哥哥亞倫和姐姐米尼暗
[00:04:07.440 --> 00:04:10.240]  所以摩西的媽媽不忍心殺他
[00:04:10.240 --> 00:04:12.960]  不是因為怕沒有兒子送終
[00:04:12.960 --> 00:04:15.560]  在這段經文裏面提到
[00:04:15.560 --> 00:04:19.880]  媽媽是怕見他盡美
[00:04:19.880 --> 00:04:22.520]  其實見他盡美這一句
[00:04:22.520 --> 00:04:26.160]  第一次出現在《創世紀》第一章
[00:04:26.160 --> 00:04:31.080]  在那一章裏面和合本有不同的翻譯
[00:04:31.080 --> 00:04:34.560]  在第一章裏面這一句出現了七次
[00:04:34.560 --> 00:04:40.680]  大家想不想得起在哪個情況下出現這一句呢?
[00:04:40.680 --> 00:04:42.840]  《創世紀》記載
[00:04:42.840 --> 00:04:46.720]  神用六天的時間來創造天地
[00:04:46.720 --> 00:04:49.360]  他每創造完一樣東西
[00:04:49.360 --> 00:04:51.680]  《聖經》作者都會寫一句
[00:04:51.680 --> 00:04:53.720]  「神看著是好的」
[00:04:53.720 --> 00:04:55.880]  其實這個「神看著是好的」
[00:04:55.880 --> 00:04:59.160]  在這裏翻譯為「見他盡美」
[00:04:59.160 --> 00:05:02.400]  意思是當神創造完一樣東西後
[00:05:02.400 --> 00:05:05.920]  他就感覺到喜悅 感覺到滿足
[00:05:05.920 --> 00:05:07.480]  他捍衛喜悅
[00:05:07.480 --> 00:05:10.120]  在這裏我們也可以想像到
[00:05:10.120 --> 00:05:11.360]  摩西的媽媽同樣
[00:05:11.360 --> 00:05:13.680]  她生了一個嬰兒出來後
[00:05:13.680 --> 00:05:17.720]  她就非常開心 捍衛喜悅
[00:05:17.720 --> 00:05:20.440]  她滿足快樂
[00:05:20.440 --> 00:05:23.480]  我相信這是人之常情
[00:05:23.480 --> 00:05:25.920]  為人母 我想你生一個嬰兒出來
[00:05:25.920 --> 00:05:28.960]  無論怎樣是美還是不美
[00:05:28.960 --> 00:05:32.120]  你都會很開心 你都會很滿足
[00:05:32.120 --> 00:05:35.360]  你都會看他為喜悅
[00:05:35.360 --> 00:05:39.680]  不過這種初生嬰兒的喜悅
[00:05:39.680 --> 00:05:42.480]  摩西的媽媽就不能保持多久
[00:05:42.480 --> 00:05:45.200]  因為她馬上就要面對一個抉擇
[00:05:45.200 --> 00:05:48.480]  到底她要不要跟法老的吩咐去做
[00:05:48.480 --> 00:05:50.720]  把兒子調到河裏呢?
[00:05:50.720 --> 00:05:51.840]  在這裏我們看到
[00:05:51.840 --> 00:05:54.880]  她將他收藏了三個月
[00:05:54.880 --> 00:05:57.800]  直至不可以再隱藏了
[00:05:57.800 --> 00:05:59.920]  因為兒子會長大被人知道
[00:05:59.920 --> 00:06:01.440]  被人知道的時候
[00:06:01.440 --> 00:06:04.800]  就會招致殺身之禍
[00:06:04.800 --> 00:06:07.800]  在這時候她要怎樣做呢?
[00:06:07.800 --> 00:06:09.320]  後來不能再藏
[00:06:09.320 --> 00:06:11.120]  就取了一個蒲草箱
[00:06:11.120 --> 00:06:13.240]  抹上石漆和石油
[00:06:13.240 --> 00:06:15.280]  將孩子放在裏頭
[00:06:15.280 --> 00:06:18.720]  把箱子擱在河邊的爐滴中
[00:06:18.720 --> 00:06:20.360]  在這裏我們看到
[00:06:20.360 --> 00:06:23.120]  摩西的媽媽真的有一線生機
[00:06:23.120 --> 00:06:24.720]  都不想放過
[00:06:24.720 --> 00:06:27.200]  她就將他放在蒲草箱裏
[00:06:27.200 --> 00:06:29.920]  「箱」字在原文
[00:06:29.920 --> 00:06:35.160]  與「羅亞方舟」裏的「方舟」字是同一個字
[00:06:35.160 --> 00:06:36.920]  作者這樣記載
[00:06:36.920 --> 00:06:40.240]  其實他很可能是想讀者看到的時候
[00:06:40.240 --> 00:06:44.960]  就聯想到羅亞一家被神拯救那件事
[00:06:44.960 --> 00:06:50.800]  更加進而聯想到摩西也被拯救
[00:06:50.800 --> 00:06:52.760]  還有摩西的媽媽
[00:06:52.760 --> 00:06:56.080]  將蒲草箱抹上石漆和石油
[00:06:56.080 --> 00:06:58.640]  其實都是防水的
[00:06:58.640 --> 00:06:59.760]  我們可以看到
[00:06:59.760 --> 00:07:01.360]  即使她有一線生機
[00:07:01.360 --> 00:07:02.800]  她都不想放過
[00:07:02.800 --> 00:07:05.720]  雖然她沒辦法不遵照法老的吩咐
[00:07:05.720 --> 00:07:07.840]  要將兒子掉進河裏
[00:07:07.840 --> 00:07:09.560]  但她都將他放在一個
[00:07:09.560 --> 00:07:12.680]  儘量可以防水的蒲草箱裏
