
[00:00:00.000 --> 00:00:03.840]  撥亂反證 真實見證
[00:00:03.840 --> 00:00:07.280]  接續上一次講到屍體犯
[00:00:07.280 --> 00:00:11.400]  他在六章尾 六章的八到十五節
[00:00:11.400 --> 00:00:17.080]  他被拉去工會 他被誣告有兩個罪名
[00:00:17.080 --> 00:00:21.920]  在上次講到六章十四節
[00:00:21.920 --> 00:00:25.320]  經文在你手上沒有的
[00:00:25.320 --> 00:00:27.800]  大致上就是那些人作假見證
[00:00:27.800 --> 00:00:31.480]  控告屍體犯這個被聖靈充滿
[00:00:31.480 --> 00:00:35.200]  一個能夠講猶太人的希伯來語
[00:00:35.200 --> 00:00:38.640]  和希臘話的屍體犯基督徒
[00:00:38.640 --> 00:00:41.240]  他作為教會的執事
[00:00:41.240 --> 00:00:49.560]  他被控訴 褻瀆摩西的律法和聖殿
[00:00:49.560 --> 00:00:51.400]  在這段經文我們也提過
[00:00:51.400 --> 00:00:53.880]  其中一樣我們最驚訝的就是
[00:00:53.880 --> 00:00:56.400]  究竟他在見證一個什麼樣的真理
[00:00:56.400 --> 00:00:59.200]  他要繼續講 而冒著生命危險
[00:00:59.200 --> 00:01:03.000]  甚至他知道他繼續講 他會被殺
[00:01:03.000 --> 00:01:06.160]  但他仍然繼續要講
[00:01:06.160 --> 00:01:09.680]  講真話是很不容易的
[00:01:09.680 --> 00:01:13.320]  頂姐妹 你有沒有試過有些警方
[00:01:13.320 --> 00:01:18.120]  你要講真話 但你講真話有後果
[00:01:18.120 --> 00:01:23.480]  你就很掙扎 不知道講不講好
[00:01:23.480 --> 00:01:27.720]  現在問你 你應該沒什麼掙扎
[00:01:27.720 --> 00:01:30.040]  我試過有兩次
[00:01:30.040 --> 00:01:33.720]  一次是成功 一次是失敗
[00:01:33.720 --> 00:01:36.360]  先講失敗那一次
[00:01:36.360 --> 00:01:39.160]  那時候我已經信了主
[00:01:39.160 --> 00:01:42.120]  有機會和頂姐妹開會
[00:01:42.120 --> 00:01:45.880]  其中有一個屍體
[00:01:45.880 --> 00:01:56.120]  他講話很長 短話長說
[00:01:56.120 --> 00:02:03.760]  有時會接受 但有時會覺得時間無多
[00:02:03.760 --> 00:02:07.080]  我試過有一次在換氣的時候
[00:02:07.080 --> 00:02:10.720]  我就打斷他 在那裏進去
[00:02:10.720 --> 00:02:14.560]  就問他其他問題
[00:02:14.560 --> 00:02:19.120]  但開會後 那個屍體走來問我
[00:02:19.120 --> 00:02:26.520]  剛才是否嫌我長氣 所以打斷我
