
[00:00:00.000 --> 00:00:02.700]  大胃傳的二十四講
[00:00:02.700 --> 00:00:06.320]  要講薩姆爾夏的第二十二章
[00:00:06.320 --> 00:00:08.040]  我們講大胃傳的時候
[00:00:08.040 --> 00:00:11.320]  我們說有一樣很重要的事要做的
[00:00:11.320 --> 00:00:14.000]  就是欣賞大胃的詩歌
[00:00:14.000 --> 00:00:17.200]  尤其是在詩篇裡面的詩歌
[00:00:17.200 --> 00:00:20.320]  今天在薩姆爾夏的二十二章
[00:00:20.320 --> 00:00:22.840]  我們有一篇大胃的詩歌
[00:00:22.840 --> 00:00:25.520]  我們一起來欣賞
[00:00:25.520 --> 00:00:27.520]  我給他的題目就是
[00:00:27.520 --> 00:00:31.880]  為何要在困境中讚美神
[00:00:31.880 --> 00:00:34.080]  你說有沒有搞錯
[00:00:34.080 --> 00:00:36.840]  在困境中都要讚美神
[00:00:36.840 --> 00:00:38.560]  你說神祝福我
[00:00:38.560 --> 00:00:42.280]  我在快樂的時光我就讚美神
[00:00:42.280 --> 00:00:46.560]  你說在困境裡面為什麼要讚美神
[00:00:46.560 --> 00:00:49.080]  大胃告訴我們
[00:00:49.080 --> 00:00:51.280]  當他在困難當中
[00:00:51.280 --> 00:00:54.080]  當他稱讚讚美神的時候
[00:00:54.080 --> 00:00:57.200]  神就帶領他脫離困境
[00:00:57.200 --> 00:01:01.160]  這個就是我們今天的主題
[00:01:01.160 --> 00:01:03.720]  其實如果我們留意的話
[00:01:03.720 --> 00:01:06.840]  薩姆爾夏的一開始一結束
[00:01:06.840 --> 00:01:10.880]  都是用讚美神的方式
[00:01:10.880 --> 00:01:13.720]  無論薩姆爾夏的開始和結束
[00:01:13.720 --> 00:01:15.520]  都是讚美神
[00:01:15.520 --> 00:01:18.240]  在薩姆爾夏的第二章
[00:01:18.240 --> 00:01:20.600]  薩姆爾夏開始的時候
[00:01:20.600 --> 00:01:22.720]  記不記得哈娜
[00:01:22.720 --> 00:01:25.480]  因為神賜了薩姆爾夏給她
[00:01:25.480 --> 00:01:29.000]  以至她是歌頌神讚美神
[00:01:29.000 --> 00:01:32.400]  所以薩姆爾夏的開始就是讚美神
[00:01:32.400 --> 00:01:33.640]  結束呢
[00:01:33.640 --> 00:01:36.520]  今天薩姆爾夏的二十二章
[00:01:36.520 --> 00:01:39.920]  是接近薩姆爾夏的結束
[00:01:39.920 --> 00:01:43.680]  也是大為讚美神
[00:01:43.680 --> 00:01:46.240]  帶領他擊敗他的仇敵
[00:01:46.240 --> 00:01:49.720]  以至他所唱的一首詩歌
[00:01:49.720 --> 00:01:53.080]  薩姆爾夏上下兩部書
[00:01:53.080 --> 00:01:55.200]  都是充滿仇恨
[00:01:55.200 --> 00:01:57.040]  充滿了血腥
[00:01:57.040 --> 00:01:59.000]  我們讀了薩姆爾夏這麼久
[00:01:59.000 --> 00:02:01.040]  大家都應該知道
[00:02:01.040 --> 00:02:04.800]  但是居然薩姆爾夏這兩部書
[00:02:04.800 --> 00:02:08.200]  的開始和結束都是讚美神
[00:02:08.200 --> 00:02:09.440]  讓我們看到
[00:02:09.440 --> 00:02:12.600]  無論我們的日子是怎樣黑暗
[00:02:12.600 --> 00:02:16.320]  無論我們經歷有多少苦痛
