
[00:00:00.000 --> 00:00:02.600]  各位電影姐妹今天我們一起看《肥利門書》
[00:00:02.600 --> 00:00:05.400]  《肥利門書》可能對很多電影姐妹來說
[00:00:05.400 --> 00:00:07.200]  都會比較陌生一點
[00:00:07.200 --> 00:00:08.800]  因為我們過往都可能比較少
[00:00:08.800 --> 00:00:10.400]  無論自己讀聖經靈修
[00:00:10.400 --> 00:00:14.400]  或者上主日學都比較少看《肥利門書》
[00:00:14.400 --> 00:00:16.200]  但是《肥利門書》在寶羅書信裡面
[00:00:16.200 --> 00:00:17.600]  是一卷很短的書信
[00:00:17.600 --> 00:00:20.000]  也是排到很後
[00:00:20.000 --> 00:00:22.000]  但是我很想透過《肥利門書》
[00:00:22.000 --> 00:00:24.200]  和你們看看幾個不同的信息
[00:00:24.200 --> 00:00:26.800]  所以你說只有25節做牧師
[00:00:26.800 --> 00:00:29.000]  我見你肥利門一
[00:00:29.000 --> 00:00:32.000]  即是有二,是有二,有三的
[00:00:32.000 --> 00:00:34.000]  25節裡面同一段的經文
[00:00:34.000 --> 00:00:36.000]  我們會分三次的講道
[00:00:36.000 --> 00:00:39.200]  來看一看《肥利門書》對我們教會
[00:00:39.200 --> 00:00:42.400]  有什麼意思,有什麼信息呢
[00:00:42.400 --> 00:00:43.600]  《肥利門書》
[00:00:43.600 --> 00:00:45.200]  好不好我們再看多一次
[00:00:45.200 --> 00:00:47.000]  可能很多電影姐妹對《肥利門書》
[00:00:47.000 --> 00:00:48.400]  不是很熟悉
[00:00:48.400 --> 00:00:49.600]  剛才就這樣看過一次
[00:00:49.600 --> 00:00:53.400]  我們再來看多一次,好不好
[00:00:53.400 --> 00:00:55.000]  是,請聽我讀出
[00:00:55.000 --> 00:00:57.400]  《肥利門書》第一節至到25節
[00:00:57.400 --> 00:00:59.000]  因為它只有一章
[00:00:59.000 --> 00:01:01.200]  所以我們不用說第幾章
[00:01:01.200 --> 00:01:03.200]  第一至到25節
[00:01:03.200 --> 00:01:05.200]  為基督耶穌被囚的寶羅
[00:01:05.200 --> 00:01:07.200]  和兄弟提摩太寫信給我們
[00:01:07.200 --> 00:01:09.400]  所親愛的同宮肥利門
[00:01:09.400 --> 00:01:11.000]  和妹子亞非亞
[00:01:11.000 --> 00:01:13.200]  並與我們同當兵的雅基部
[00:01:13.200 --> 00:01:15.400]  以及在你家的教會
[00:01:15.400 --> 00:01:18.000]  願因為平安從神我們的父
[00:01:18.000 --> 00:01:21.000]  和主耶穌基督歸於你們
[00:01:21.000 --> 00:01:23.200]  我禱告的時候提到你
[00:01:23.200 --> 00:01:25.200]  常為你感謝我的神
[00:01:25.200 --> 00:01:26.400]  因聽說你的愛心
[00:01:26.400 --> 00:01:30.400]  並你向主耶穌和眾聖徒的信心
[00:01:30.400 --> 00:01:32.600]  願你與人所同有的信心
[00:01:32.600 --> 00:01:33.800]  顯出功效
[00:01:33.800 --> 00:01:35.800]  使人知道你們各樣善事
[00:01:35.800 --> 00:01:38.200]  都是為基督做的
[00:01:38.200 --> 00:01:39.600]  兄弟啊
[00:01:39.600 --> 00:01:42.200]  我為你的愛心大有快樂
[00:01:42.200 --> 00:01:43.800]  大得安慰
[00:01:43.800 --> 00:01:45.200]  因眾聖徒的心
[00:01:45.200 --> 00:01:48.000]  從你得了暢快
[00:01:48.000 --> 00:01:50.000]  我雖然靠著基督能放膽
[00:01:50.000 --> 00:01:52.400]  吩咐你合而的事
[00:01:52.400 --> 00:01:55.200]  然而像我這有年紀的寶羅
[00:01:55.200 --> 00:01:57.600]  現在又是為基督耶穌被囚的
[00:01:57.600 --> 00:02:00.600]  寧可憑著愛心求你
[00:02:00.600 --> 00:02:03.600]  就是為我在困所中所生的兒子
[00:02:03.600 --> 00:02:06.600]  亞尼西姆求你
[00:02:06.600 --> 00:02:08.400]  他從前與你沒有益處
[00:02:08.400 --> 00:02:10.200]  但如今與你
[00:02:10.200 --> 00:02:11.800]  我都有益處
[00:02:11.800 --> 00:02:14.800]  我現在打發他親自回到你那裡去
[00:02:14.800 --> 00:02:17.000]  他是我心上的人
[00:02:17.000 --> 00:02:19.200]  我本來有意將他留下
[00:02:19.200 --> 00:02:21.600]  在我為福音所受的困所中
[00:02:21.600 --> 00:02:23.000]  替你侍候我
[00:02:23.000 --> 00:02:24.400]  但不知道你的意思
[00:02:24.400 --> 00:02:26.400]  我就不願意這樣行
[00:02:26.400 --> 00:02:27.800]  叫你的善行
[00:02:27.800 --> 00:02:29.200]  不是出於勉強
[00:02:29.200 --> 00:02:31.800]  乃是出於甘心
[00:02:31.800 --> 00:02:33.400]  他暫時離開你
[00:02:33.400 --> 00:02:36.800]  或者是叫你永遠得著他
[00:02:36.800 --> 00:02:39.200]  不再是奴僕
[00:02:39.200 --> 00:02:42.000]  乃是高過奴僕
[00:02:42.000 --> 00:02:45.000]  是親愛的兄弟
[00:02:45.000 --> 00:02:46.600]  在我實在是如此
