
[00:00:00.000 --> 00:00:02.480]  鄧兄姊妹大家好 繼續讀聖經
[00:00:02.480 --> 00:00:06.000]  聖經人 聖經事 生命樹 宣教網絡
[00:00:06.000 --> 00:00:08.000]  為你提供的
[00:00:08.000 --> 00:00:09.400]  今天的題目是
[00:00:09.400 --> 00:00:12.800]  《這是耶和華的逾越節》
[00:00:12.800 --> 00:00:17.000]  講逾越節都講了三四天了
[00:00:17.000 --> 00:00:21.200]  因為這個節期實在在我們基督徒的信仰裏面
[00:00:21.200 --> 00:00:25.200]  或者是聖經一直下來節期的傳統裏面
[00:00:25.200 --> 00:00:28.400]  是超級極度重要的
[00:00:28.400 --> 00:00:31.400]  希望大家留意多一點
[00:00:31.400 --> 00:00:35.200]  不過話是話 逾越節大家聽過很多次
[00:00:35.200 --> 00:00:37.000]  但是聖經讀過很多
[00:00:37.000 --> 00:00:41.600]  但是那些細節和十災等等那樣東西
[00:00:41.600 --> 00:00:44.800]  那些細節很多時候我們都沒有留意到的
[00:00:44.800 --> 00:00:47.600]  這次跟大家又去看看 講一下
[00:00:47.600 --> 00:00:48.400]  好了
[00:00:48.400 --> 00:00:51.200]  《這是耶和華的逾越節》
[00:00:51.200 --> 00:00:53.200]  這句話是誰講的
[00:00:53.200 --> 00:00:54.200]  只有兩個
[00:00:54.200 --> 00:00:56.200]  要麼是主耶和華講的
[00:00:56.200 --> 00:00:57.400]  要麼就是人講的
[00:00:57.400 --> 00:01:00.600]  這個就是耶和華的逾越節了
[00:01:00.600 --> 00:01:03.200]  要麼就是耶和華自己講
[00:01:03.200 --> 00:01:04.600]  我們的神自己講
[00:01:04.600 --> 00:01:08.200]  這個就是我的逾越節
[00:01:08.200 --> 00:01:09.800]  他會講
[00:01:09.800 --> 00:01:13.600]  這是耶和華的逾越節的
[00:01:13.600 --> 00:01:16.400]  《出一及記》十二章第一節
[00:01:16.400 --> 00:01:18.600]  耶和華在埃及地
[00:01:18.600 --> 00:01:21.600]  曉遇摩西亞倫說
[00:01:21.600 --> 00:01:23.400]  上次提了
[00:01:23.400 --> 00:01:24.400]  如果摩西沒有了
[00:01:24.400 --> 00:01:27.800]  他又說不行 我又不懂得說話
[00:01:27.800 --> 00:01:30.400]  那你有一個哥哥亞倫會說話的
[00:01:30.400 --> 00:01:33.200]  我就叫他來幫你
[00:01:33.200 --> 00:01:35.600]  於是就好了
[00:01:35.600 --> 00:01:39.200]  其實如果摩西很開心
[00:01:39.200 --> 00:01:41.400]  很爽的接了這個任務
[00:01:41.400 --> 00:01:44.800]  好吧 你叫我去我就去
[00:01:44.800 --> 00:01:49.000]  那亞倫就可能沒有份了
[00:01:49.000 --> 00:01:50.400]  不是沒有份都會出場
[00:01:50.400 --> 00:01:53.400]  不過就沒有變成摩西和亞倫
[00:01:53.400 --> 00:01:54.400]  經常都一樣
[00:01:54.400 --> 00:01:58.200]  他自己推得多
[00:01:58.200 --> 00:02:01.600]  反而被他的哥哥亞倫出來
[00:02:01.600 --> 00:02:02.800]  跟他一起
[00:02:02.800 --> 00:02:04.400]  如果這樣講
[00:02:04.400 --> 00:02:05.800]  講得不好就是
[00:02:05.800 --> 00:02:09.800]  在他的侍宮的承擔與榮耀上面
[00:02:09.800 --> 00:02:13.200]  是分了一些給亞倫的
[00:02:13.200 --> 00:02:17.800]  第二節你們要以本月為正月
[00:02:17.800 --> 00:02:19.200]  為一年之首
[00:02:19.200 --> 00:02:23.800]  綠色字就是我的解釋
[00:02:23.800 --> 00:02:28.600]  又說在埃及地和摩西亞倫說
[00:02:28.600 --> 00:02:34.400]  以色列人要以本月做正月
[00:02:34.400 --> 00:02:36.800]  那以往正月是什麼時候呢
[00:02:36.800 --> 00:02:38.800]  不是很特別說
[00:02:38.800 --> 00:02:40.400]  不過在這裡說
[00:02:40.400 --> 00:02:44.000]  現在要以這個月份做一月
[00:02:44.000 --> 00:02:46.400]  在這裡知道正月或叫做正月
[00:02:46.400 --> 00:02:48.200]  就是一月的意思
[00:02:48.200 --> 00:02:50.800]  是一年之首
[00:02:50.800 --> 00:02:52.600]  那這個月份是什麼月份呢
[00:02:52.600 --> 00:02:54.800]  在以色列人來說
[00:02:54.800 --> 00:02:58.200]  這個就叫做離散月
[00:02:58.200 --> 00:03:00.000]  離散月
[00:03:00.000 --> 00:03:02.800]  Li-San
[00:03:02.800 --> 00:03:08.000]  C是希伯來文的譯音
[00:03:08.000 --> 00:03:10.000]  C是讀S的
[00:03:10.000 --> 00:03:11.400]  San
