
[00:00:00.000 --> 00:00:00.800]  丁子妹平安
[00:00:00.800 --> 00:00:06.440]  給大家猜一個謎語
[00:00:06.440 --> 00:00:07.680]  是羅字是馬
[00:00:07.680 --> 00:00:09.240]  拉出來六六
[00:00:09.240 --> 00:00:10.080]  答一成是
[00:00:10.080 --> 00:00:14.400]  羅馬
[00:00:14.400 --> 00:00:15.920]  right
[00:00:15.920 --> 00:00:18.080]  大家知道爲什麼我選今天這段經文
[00:00:18.080 --> 00:00:22.080]  如果你跟着我們教會的導讀的經文的進度
[00:00:22.080 --> 00:00:25.520]  這是我們今天在每天的進度當中要分享的
[00:00:25.520 --> 00:00:27.840]  當然我cover了一點明天的哈
[00:00:27.840 --> 00:00:29.960]  今天和明天要分享的一段經文
[00:00:29.960 --> 00:00:33.400]  我們教會一路讀完史讀行傳
[00:00:33.400 --> 00:00:36.920]  今天已經昨天已經開始了羅馬書
[00:00:36.920 --> 00:00:41.560]  我們要看到福音如何進到了這樣的羅馬
[00:00:41.560 --> 00:00:43.280]  這樣的一個城市
[00:00:43.280 --> 00:00:47.160]  然後怎樣在羅馬這個城市當中發生它的功效
[00:00:47.160 --> 00:00:49.320]  剛纔講到說羅馬
[00:00:49.320 --> 00:00:50.960]  曾經有一個人問我哈
[00:00:50.960 --> 00:00:52.320]  當福音講
[00:00:52.320 --> 00:00:54.440]  當聖經講羅馬的時候
[00:00:54.440 --> 00:00:58.680]  請問他是在講一座城市還是在講一個國家
[00:00:59.960 --> 00:01:05.280]  兩者都是
[00:01:05.280 --> 00:01:07.000]  它既是一座城市
[00:01:07.000 --> 00:01:09.960]  但這座城市最終形成了一個國家
[00:01:09.960 --> 00:01:11.360]  形成了一個帝國
[00:01:11.360 --> 00:01:16.680]  羅馬這座城市是人類歷史上最偉大的城市之一
[00:01:16.680 --> 00:01:19.280]  它是整個世界文明的一個軸心地
[00:01:19.280 --> 00:01:21.240]  在當時的歷史當中
[00:01:21.240 --> 00:01:25.040]  這座城市建成於公元前的735年
[00:01:25.040 --> 00:01:27.320]  到羅馬書寫成的時候
