
[00:00:00.000 --> 00:00:03.400]  各位姐妹 今天是什麼日子
[00:00:03.400 --> 00:00:04.920]  911
[00:00:04.920 --> 00:00:09.120]  今天其實是911第15週年
[00:00:09.120 --> 00:00:12.880]  這雖然是一個過去的歷史
[00:00:12.880 --> 00:00:15.040]  但事實上直到如今
[00:00:15.040 --> 00:00:19.680]  恐怖分子的威脅從來沒有減少過
[00:00:19.680 --> 00:00:21.920]  USA Today這個報紙
[00:00:21.920 --> 00:00:24.120]  昨天做了一個調查
[00:00:24.120 --> 00:00:29.600]  統計在美國超過50%的人以上相信
[00:00:29.600 --> 00:00:34.920]  類似911的事件會繼續發生在美國的
[00:00:34.920 --> 00:00:37.840]  所以難怪我們看見現代人心中
[00:00:37.840 --> 00:00:42.520]  好像有一種莫名的恐懼在籠罩我們
[00:00:42.520 --> 00:00:45.200]  這個恐懼是因爲沒有一件事情
[00:00:45.200 --> 00:00:48.040]  是我們手中可以掌握的
[00:00:48.040 --> 00:00:49.400]  過去我們的安全感
[00:00:49.400 --> 00:00:51.680]  都是建立在人爲的系統上
[00:00:51.680 --> 00:00:55.120]  無論是政治的系統 經濟的系統
[00:00:55.120 --> 00:00:57.040]  可在15年來
[00:00:57.040 --> 00:01:01.240]  我們真的看見天災人禍是不斷的
[00:01:01.240 --> 00:01:06.080]  不但地震 海嘯 恐怖分子的攻擊
[00:01:06.080 --> 00:01:08.960]  再加上金融風暴
[00:01:08.960 --> 00:01:13.440]  忽然間我們過去以爲可以依靠的事物
[00:01:13.440 --> 00:01:16.400]  好像全被拆毀了
[00:01:16.400 --> 00:01:21.520]  我們心中忽然間有一種無所依靠的感覺
[00:01:21.520 --> 00:01:26.840]  這爲什麼現代的人心中充滿恐懼的原因
[00:01:26.840 --> 00:01:29.880]  第二個 我不知道今天在你心中
[00:01:29.880 --> 00:01:32.760]  讓你恐懼的是什麼
[00:01:32.760 --> 00:01:34.600]  但作爲一個基督徒
[00:01:34.600 --> 00:01:37.280]  讓我很清楚地告訴你
[00:01:37.280 --> 00:01:38.520]  作爲神的兒女
[00:01:38.520 --> 00:01:40.680]  你一點不需要懼怕
[00:01:40.680 --> 00:01:41.480]  Amen
[00:01:41.480 --> 00:01:42.320]  跟你旁邊說
[00:01:42.320 --> 00:01:45.640]  你不需要再懼怕跟他說
[00:01:45.640 --> 00:01:49.200]  因爲你的神必與你同在
[00:01:49.200 --> 00:01:51.440]  我們一起讀詩篇23篇
[00:01:51.440 --> 00:01:55.120]  第四節大衛的詩篇非常寶貴
[00:01:55.120 --> 00:01:57.920]  我雖然行過死因的幽谷
[00:01:57.920 --> 00:01:59.680]  也不怕遭害
[00:01:59.680 --> 00:02:01.800]  因爲你與我同在
[00:02:01.800 --> 00:02:05.080]  你的葬 你的肝都安慰我
[00:02:05.080 --> 00:02:08.360]  當你在危險患難的時刻
[00:02:08.360 --> 00:02:12.440]  能夠確實知道耶和華與你同在
[00:02:12.440 --> 00:02:16.920]  這是一件令人歡欣鼓舞的事情 不是嗎
[00:02:16.920 --> 00:02:18.520]  因爲神的同在
[00:02:18.520 --> 00:02:21.320]  不但能夠保守我們的平安
[00:02:21.320 --> 00:02:25.120]  神的同在也能夠幫助我們在患難當中
[00:02:25.120 --> 00:02:28.600]  有一股動力能夠繼續向前走
[00:02:28.600 --> 00:02:31.640]  第二點因爲神在我們身上的心意
[00:02:31.640 --> 00:02:35.400]  不只是要保守我們有平安而已
[00:02:35.400 --> 00:02:38.200]  神的心意更是要我們在人生
[00:02:38.200 --> 00:02:40.200]  各樣的征戰當中
[00:02:40.200 --> 00:02:42.000]  能夠靠主得勝
[00:02:42.000 --> 00:02:43.000]  Amen
[00:02:43.000 --> 00:02:44.920]  不但靠主得勝
[00:02:44.920 --> 00:02:49.480]  而且要進入神所應許給我們的地界當中
[00:02:49.480 --> 00:02:51.400]  得地爲業嘛
[00:02:51.400 --> 00:02:52.600]  Amen
[00:02:52.600 --> 00:02:54.000]  雖然有時候
[00:02:54.000 --> 00:02:57.120]  說真的我們面對的現實的環境
[00:02:57.120 --> 00:02:59.160]  真的何等的艱難
[00:02:59.160 --> 00:03:01.000]  但無論是怎麼樣的艱難
[00:03:01.000 --> 00:03:04.200]  有時候你感覺到幾乎走不下去
[00:03:04.200 --> 00:03:07.320]  但因爲神與我們同在
[00:03:07.320 --> 00:03:10.400]  讓我們的心就不再懼怕
[00:03:10.400 --> 00:03:13.200]  我們要緊緊的依靠主
[00:03:13.200 --> 00:03:15.760]  繼續勇敢向前行
[00:03:15.760 --> 00:03:17.080]  Amen
[00:03:17.080 --> 00:03:19.880]  在剛纔我們讀的經文當中
[00:03:19.880 --> 00:03:21.800]  我們就看見其實當時以色列人
[00:03:21.800 --> 00:03:24.680]  也面對一個非常艱難的環境
[00:03:24.680 --> 00:03:27.080]  當時以色列人正在受加南王
[00:03:27.080 --> 00:03:30.240]  耶賓的欺壓這裏說
[00:03:30.240 --> 00:03:33.720]  爲什麼以色列人卻不能夠反抗呢
[00:03:33.720 --> 00:03:37.160]  因爲加南人有鐵車
[00:03:37.160 --> 00:03:40.920]  這裏說他們有鐵車九百輛
[00:03:40.920 --> 00:03:42.320]  而以色列人呢
[00:03:42.320 --> 00:03:44.560]  一輛鐵車都沒有
[00:03:44.560 --> 00:03:48.600]  想想看步兵怎麼跟鐵車打仗
[00:03:48.600 --> 00:03:50.360]  沒得打
[00:03:50.360 --> 00:03:52.080]  所以以色列人這麼多年
[00:03:52.080 --> 00:03:54.760]  一直被困在山上
[00:03:54.760 --> 00:03:57.480]  不敢下到平原來
[00:03:57.480 --> 00:03:59.680]  可是神在這個時候就藉着
[00:03:59.680 --> 00:04:02.160]  女先知底波拉
[00:04:02.160 --> 00:04:05.760]  對巴拉斯當時的以色列將軍
[00:04:05.760 --> 00:04:07.560]  發出一個呼召
[00:04:07.560 --> 00:04:10.800]  對他說你要率領以色列人
[00:04:10.800 --> 00:04:14.400]  要去與加南王的軍隊征戰
[00:04:14.400 --> 00:04:17.520]  而且在第七節裏面很清楚的
[00:04:17.520 --> 00:04:18.880]  神應許說
[00:04:18.880 --> 00:04:23.600]  神要將敵人交在巴拉的手中
[00:04:23.600 --> 00:04:25.640]  我在想如果你我是巴拉
[00:04:25.640 --> 00:04:28.680]  當我們聽到神這樣清楚的應許說
[00:04:28.680 --> 00:04:30.880]  神要將敵人交在我們手中
[00:04:30.880 --> 00:04:32.720]  你怎麼想
[00:04:32.720 --> 00:04:34.880]  你都應該想巴拉的回答應該是
[00:04:34.880 --> 00:04:36.920]  OK 我立刻出發
[00:04:36.920 --> 00:04:38.160]  對不對
[00:04:38.160 --> 00:04:40.120]  但事實上卻不是這樣
[00:04:40.120 --> 00:04:41.880]  我們看見巴拉的回答
[00:04:41.880 --> 00:04:44.880]  一點沒有興奮的感覺
[00:04:44.880 --> 00:04:47.480]  第八節你看見巴拉怎麼回答
[00:04:47.480 --> 00:04:51.200]  他說如果你同我去我就去
[00:04:51.200 --> 00:04:54.200]  如果你不同我去我就不去
[00:04:54.200 --> 00:04:56.520]  這哪門子的回答
[00:04:56.520 --> 00:04:58.760]  你不覺得很奇怪的回答嗎
[00:04:58.760 --> 00:05:02.040]  底波拉還是個女人
[00:05:02.040 --> 00:05:04.880]  不像今天女權是平等的時代
[00:05:04.880 --> 00:05:06.640]  當時的女權是
[00:05:06.640 --> 00:05:09.680]  根本女人沒有角色的那個時候
[00:05:09.680 --> 00:05:13.520]  怎麼可能一個將軍會對一個女人說
[00:05:13.520 --> 00:05:15.320]  如果你跟我去我就去
[00:05:15.320 --> 00:05:17.400]  你不跟我去我就不去呢
[00:05:17.400 --> 00:05:22.440]  這怎麼可能是一個將軍口中說出來的話呢
[00:05:22.440 --> 00:05:25.840]  爲什麼巴拉有這樣一種反應呢
[00:05:25.840 --> 00:05:30.000]  因爲他看見那個環境的艱難嘛
[00:05:30.000 --> 00:05:32.080]  所以其實他是對底波拉說
[00:05:32.080 --> 00:05:33.640]  嘿 小姐啊
[00:05:33.640 --> 00:05:36.280]  你說得很容易啊 OK
[00:05:36.280 --> 00:05:38.080]  什麼神應許叫我們去
[00:05:38.080 --> 00:05:40.360]  你知道他們有鐵車啊
[00:05:40.360 --> 00:05:42.960]  我們一去準死無疑啦
[00:05:42.960 --> 00:05:45.120]  要去你自己去嘛 你先去
[00:05:45.120 --> 00:05:49.080]  你去我就去 你不去我就不去
[00:05:49.080 --> 00:05:50.560]  我們就看見
[00:05:50.560 --> 00:05:53.760]  很多時候這是我們常常有的光景不是嗎
[00:05:53.760 --> 00:05:56.680]  多少時候不是我們不相信神的應許 OK
[00:05:56.680 --> 00:05:58.840]  神的應許很寶貴我們都知道
[00:05:58.840 --> 00:06:00.080]  很興奮
[00:06:00.080 --> 00:06:02.560]  每個主日我們來聚會不是都很興奮嗎
[00:06:02.560 --> 00:06:04.680]  聽到主日從來信息哈雷路亞
[00:06:04.680 --> 00:06:07.920]  每次回應時歌阿門阿門阿門
[00:06:07.920 --> 00:06:10.440]  可是你回到家裏
[00:06:10.440 --> 00:06:13.120]  一面對你現實的環境
[00:06:13.120 --> 00:06:16.240]  看見那個鐵車
[00:06:16.240 --> 00:06:19.120]  你的心就消化了嘛
