
[00:00:00.000 --> 00:00:04.080]  今日和大家來到是在約翰福音第五章
[00:00:04.080 --> 00:00:11.280]  來到思想耶穌所行的另一個神蹟
[00:00:11.280 --> 00:00:14.920]  經文是約翰福音第五章一至十九節
[00:00:14.920 --> 00:00:19.040]  因為時間關係我們只看第一至第九節
[00:00:19.040 --> 00:00:20.760]  當我讀這段經文的時候
[00:00:20.760 --> 00:00:22.920]  請大家細心去思考
[00:00:22.920 --> 00:00:26.360]  這個經文裏面給我們的提醒
[00:00:26.360 --> 00:00:28.640]  讓我們今天能夠因為這段經文
[00:00:28.640 --> 00:00:33.440]  我們的生命得著改變
[00:00:33.440 --> 00:00:36.160]  約翰福音第五章第一節說
[00:00:36.160 --> 00:00:39.280]  「這時候到了猶太人的一個節期
[00:00:39.280 --> 00:00:41.840]  耶穌就上耶路撒冷去
[00:00:41.840 --> 00:00:45.520]  在耶路撒冷靠近羊門有一個池子
[00:00:45.520 --> 00:00:48.160]  希伯來話叫做畢氏大
[00:00:48.160 --> 00:00:49.920]  旁邊有五個狼子
[00:00:49.920 --> 00:00:55.200]  裏面躺著黑眼的、瘸腿的、血氣枯乾的許多的病人
[00:00:55.200 --> 00:00:58.720]  有苦倦在此、有等候水凍
[00:00:58.720 --> 00:01:01.840]  因為有天使按時下池子
[00:01:01.840 --> 00:01:03.360]  搞凍那水
[00:01:03.360 --> 00:01:06.160]  水凍之後誰先下去
[00:01:06.160 --> 00:01:09.760]  無論害甚麼病就痊癒了」
[00:01:09.760 --> 00:01:10.480]  第五節說
[00:01:10.480 --> 00:01:13.960]  「在那裏有一個人病了三十八年
[00:01:13.960 --> 00:01:15.800]  耶穌看見他躺著
[00:01:15.800 --> 00:01:17.600]  知道他病了許久
[00:01:17.600 --> 00:01:20.480]  就問他說:你要痊癒嗎?
[00:01:20.480 --> 00:01:22.120]  病人回答說:先生
[00:01:22.120 --> 00:01:25.600]  水凍的時候沒有人把我放在池子裏
[00:01:25.600 --> 00:01:27.120]  我靜去的時候
[00:01:27.120 --> 00:01:30.440]  就有別人讓我先下去
[00:01:30.440 --> 00:01:32.560]  耶穌對他說:起來
[00:01:32.560 --> 00:01:34.440]  拿你的玉子走吧
[00:01:34.440 --> 00:01:36.440]  那人臨刻痊癒
[00:01:36.440 --> 00:01:42.040]  拿起玉子就來走了」
[00:01:42.040 --> 00:01:45.760]  這個都是我們基督徒很熟悉的
[00:01:45.760 --> 00:01:49.240]  一個神蹟的故事
[00:01:49.240 --> 00:01:52.160]  在這個神蹟裏面我們看到
