
[00:00:00.000 --> 00:00:02.500]  在2月5日正道的時候
[00:00:02.500 --> 00:00:04.500]  就跟大家提到
[00:00:04.500 --> 00:00:07.040]  作主門徒的要求
[00:00:07.040 --> 00:00:10.800]  門徒要放下個人的利益
[00:00:10.800 --> 00:00:13.260]  如果要跟從主
[00:00:13.260 --> 00:00:16.440]  可能好像主一樣
[00:00:16.440 --> 00:00:18.900]  居無定所
[00:00:18.900 --> 00:00:22.320]  愛主過於
[00:00:22.320 --> 00:00:26.600]  愛我們的父母、兒女、家庭
[00:00:28.320 --> 00:00:30.500]  我們會遇到困難
[00:00:30.500 --> 00:00:34.000]  需要有信心去跟從主
[00:00:34.000 --> 00:00:37.140]  相信主會幫助我們
[00:00:37.140 --> 00:00:39.120]  去渡過這些困難
[00:00:39.120 --> 00:00:42.520]  正如主能夠
[00:00:42.520 --> 00:00:44.580]  平靜風浪
[00:00:44.580 --> 00:00:48.000]  拯救門徒處理危險
[00:00:48.000 --> 00:00:52.200]  今天我們講到信心的力量
[00:00:52.200 --> 00:00:56.800]  耶穌登山變相之後下山
[00:00:57.360 --> 00:01:00.280]  遇到一些實際的要求
[00:01:00.280 --> 00:01:03.540]  當耶穌不在的時候
[00:01:03.540 --> 00:01:07.980]  有一個人帶著他患癲癇病的孩子
[00:01:07.980 --> 00:01:10.340]  去到門徒那裏
[00:01:10.340 --> 00:01:14.380]  雖然門徒已經有醫病的權柄
[00:01:14.380 --> 00:01:21.160]  但仍然不懂得怎樣去運用神給他們的能力
[00:01:21.160 --> 00:01:25.640]  正如《馬太福音》十章第一節提到
[00:01:26.080 --> 00:01:28.620]  耶穌叫了十二個門徒來
[00:01:28.620 --> 00:01:30.220]  給他們權柄
[00:01:30.220 --> 00:01:32.860]  能趕逐污鬼
[00:01:32.860 --> 00:01:36.860]  並醫治各樣的病症
[00:01:36.860 --> 00:01:43.440]  照理說,門徒有能力去醫治這個孩子
[00:01:43.440 --> 00:01:47.660]  這個孩子發病的時候
[00:01:47.660 --> 00:01:50.480]  常常跌在水裏面
