
[00:00:00.000 --> 00:00:02.000]  在節目裏再一起祈禱
[00:00:02.000 --> 00:00:04.000]  我們再讓望主帶領我們
[00:00:30.000 --> 00:00:32.000]  發芽生長
[00:00:32.000 --> 00:00:35.000]  讓我們能夠領受你給我們豐盛的人生
[00:00:35.000 --> 00:00:37.000]  求主再次施恩
[00:00:37.000 --> 00:00:40.000]  讓我們打開聖經讀你的說話的時候
[00:00:40.000 --> 00:00:42.000]  求聖靈指教
[00:00:42.000 --> 00:00:44.000]  引導我們的心
[00:00:44.000 --> 00:00:46.000]  奉耶穌聖名祈禱
[00:00:46.000 --> 00:00:48.000]  阿們
[00:00:48.000 --> 00:00:50.000]  我們大家知道
[00:00:50.000 --> 00:00:54.000]  今天來到聖經的大義理書第九章
[00:00:54.000 --> 00:00:57.000]  亦都是我們在過去一直讀大義理書的時候
[00:00:57.000 --> 00:01:01.000]  今天是最後一次讀大義理書
[00:01:01.000 --> 00:01:03.000]  大義理書裏面一直提醒我們
[00:01:03.000 --> 00:01:07.000]  這位上帝在人間是掌權的
[00:01:07.000 --> 00:01:10.000]  亦都在你個人的人生歷史當中
[00:01:10.000 --> 00:01:12.000]  他同樣掌權
[00:01:12.000 --> 00:01:15.000]  因此無論在甚麼情況之下
[00:01:15.000 --> 00:01:20.000]  你繼續堅定忠心跟隨耶穌
[00:01:20.000 --> 00:01:22.000]  在聖經裏面都提及
[00:01:22.000 --> 00:01:25.000]  屬神的人在世上生活
[00:01:25.000 --> 00:01:28.000]  會有各種不同的患難
[00:01:28.000 --> 00:01:31.000]  但聖希伯來書第十一章特別這樣說
[00:01:31.000 --> 00:01:34.000]  你們要忍耐
[00:01:34.000 --> 00:01:36.000]  等你們行完神的旨意
[00:01:36.000 --> 00:01:39.000]  就可以得到所應許
[00:01:39.000 --> 00:01:41.000]  過程當中要忍耐
[00:01:41.000 --> 00:01:45.000]  亦都意味著神的應許未必即時來到
[00:01:45.000 --> 00:01:47.000]  但聖經說
[00:01:47.000 --> 00:01:49.000]  那還有一點點的時候
[00:01:49.000 --> 00:01:52.000]  那要來的就會來
[00:01:52.000 --> 00:01:54.000]  並不遲而
[00:01:54.000 --> 00:01:58.000]  「只是二人必因順得生」
[00:01:58.000 --> 00:02:02.000]  希伯來書第十一章三十六節所說的話
[00:02:02.000 --> 00:02:05.000]  在大義理的人生裏面
[00:02:05.000 --> 00:02:09.000]  你會發覺他一生其實是坎坷的人生
[00:02:09.000 --> 00:02:14.000]  他至少被擄掠去到其他國家
[00:02:14.000 --> 00:02:16.000]  離開自己的家園
[00:02:16.000 --> 00:02:18.000]  一直到他年紀大的時候
[00:02:18.000 --> 00:02:21.000]  都在外族的地方來生活
[00:02:21.000 --> 00:02:24.000]  沒錯他雖然身處在高位
[00:02:24.000 --> 00:02:26.000]  但你讀過以前的經文就知道
[00:02:26.000 --> 00:02:29.000]  他都經歷過很多次的危難
[00:02:29.000 --> 00:02:31.000]  但很多次的危難裏面
[00:02:31.000 --> 00:02:35.000]  他仍然是忍耐著去面對
[00:02:35.000 --> 00:02:38.000]  沒有去逃避那些困難
[00:02:38.000 --> 00:02:41.000]  而是靠著神的恩典去忍耐面對
[00:02:41.000 --> 00:02:46.000]  因為他相信神掌管一切
[00:02:46.000 --> 00:02:48.000]  亦都相信神給他有盼望
[00:02:48.000 --> 00:02:51.000]  所以他可以繼續忠心到底
[00:02:51.000 --> 00:02:54.000]  繼續堅持著行神的道
[00:02:54.000 --> 00:02:55.000]  正如聖經所說
[00:02:55.000 --> 00:02:59.000]  「一位義人因順得生」
[00:02:59.000 --> 00:03:02.000]  而你和我在我們所身處的環境裏面
[00:03:02.000 --> 00:03:07.000]  你會經歷有不同的患難的事情
[00:03:07.000 --> 00:03:09.000]  但無論在什麼情況之下
[00:03:09.000 --> 00:03:11.000]  聖經勉勵我們的心
[00:03:11.000 --> 00:03:13.000]  你忠心到底
[00:03:13.000 --> 00:03:16.000]  因為他是可信可靠的
[00:03:16.000 --> 00:03:19.000]  而你堅持去行神的道
[00:03:19.000 --> 00:03:24.000]  因此你在信心當中行義而得生
[00:03:24.000 --> 00:03:26.000]  這正是今天你和我
[00:03:26.000 --> 00:03:28.000]  順帝給我們的吩咐
[00:03:28.000 --> 00:03:30.000]  對我們的心意
[00:03:30.000 --> 00:03:32.000]  來到《大義理書》第九章的時候
[00:03:32.000 --> 00:03:35.000]  你發覺大義理來到一個階段
[00:03:35.000 --> 00:03:38.000]  他都會經歷到很多自己的困難
[00:03:38.000 --> 00:03:43.000]  但順帝是不斷地將盼望賜給他
[00:03:43.000 --> 00:03:45.000]  而他亦都帶著一份盼望
[00:03:45.000 --> 00:03:48.000]  繼續放膽跟隨上帝
[00:03:48.000 --> 00:03:51.000]  而神就很奇妙地使用他
[00:03:51.000 --> 00:03:55.000]  《大義理書》第九章裏面有兩部份
[00:03:55.000 --> 00:03:57.000]  第一部份是講述大義理
[00:03:57.000 --> 00:04:01.000]  他有一個很情馳迫切很懇切的禱告
[00:04:01.000 --> 00:04:06.000]  第二部份就是領受神給他的意象或預言
[00:04:06.000 --> 00:04:09.000]  讓他知道將來的盼望
[00:04:09.000 --> 00:04:12.000]  我們一起看看這段經文的兩方面
[00:04:12.000 --> 00:04:16.000]  在開始的時候你會看到聖經提及到
[00:04:16.000 --> 00:04:18.000]  在第九章的開始
[00:04:18.000 --> 00:04:20.000]  我們剛才沒有機會讀到的
[00:04:20.000 --> 00:04:25.000]  就是大義理他自己讀到聖經的耶利米書
[00:04:25.000 --> 00:04:30.000]  他會知道神會預定耶路撒冷被毀
[00:04:30.000 --> 00:04:34.000]  不過七十年之後耶路撒冷會得到重建
[00:04:34.000 --> 00:04:36.000]  是有盼望的
[00:04:36.000 --> 00:04:38.000]  是有將來的
[00:04:38.000 --> 00:04:39.000]  當他知道之後
[00:04:39.000 --> 00:04:41.000]  他很深刻地感動
[00:04:41.000 --> 00:04:44.000]  他就向神深切地禱告
[00:04:44.000 --> 00:04:46.000]  所以你回到前面
[00:04:46.000 --> 00:04:48.000]  第九章第三節的時候
[00:04:48.000 --> 00:04:50.000]  你會看到聖經所說
[00:04:50.000 --> 00:04:54.000]  「於是我轉向主神禁食
[00:04:54.000 --> 00:04:56.000]  披麻蒙灰
[00:04:56.000 --> 00:04:58.000]  帶著一種極其謙卑的心境
[00:04:58.000 --> 00:05:03.000]  藉著祈禱和懇求尋求他」
[00:05:03.000 --> 00:05:05.000]  他知道這件事情
[00:05:05.000 --> 00:05:07.000]  知道神的應許之後
[00:05:07.000 --> 00:05:10.000]  他就向神切切地祈求
[00:05:10.000 --> 00:05:13.000]  然後跟著一段經文
[00:05:13.000 --> 00:05:17.000]  從第三節一直到下面的第十九節
[00:05:17.000 --> 00:05:20.000]  一直講述這個禱文的內容
[00:05:20.000 --> 00:05:23.000]  我們嘗試從三方面簡單看一看
[00:05:23.000 --> 00:05:26.000]  第一,當你讀到這段禱文的時候
[00:05:26.000 --> 00:05:28.000]  你會發覺有一個很清楚的訊息
[00:05:28.000 --> 00:05:35.000]  就是原來神的主權和人的責任之間是沒有矛盾的
[00:05:35.000 --> 00:05:36.000]  什麼意思?
[00:05:36.000 --> 00:05:39.000]  你發覺當你知道神的旨意
[00:05:39.000 --> 00:05:41.000]  知道七十年之後
[00:05:41.000 --> 00:05:44.000]  耶路撒冷就可以重建
[00:05:44.000 --> 00:05:47.000]  有一個很清楚的盼望擺在祂的面前
[00:05:47.000 --> 00:05:50.000]  但是祂並沒有因此休息
[00:05:50.000 --> 00:05:51.000]  不用理會
[00:05:51.000 --> 00:05:52.000]  因為神也會造功
[00:05:52.000 --> 00:05:54.000]  祂會重建耶路撒冷
[00:05:54.000 --> 00:05:55.000]  所以現在不用理會那麼多
