
[00:00:00.000 --> 00:00:02.000]  奉主問候弟兄姊妹平安
[00:00:02.000 --> 00:00:06.000]  今日的題目是
[00:00:06.000 --> 00:00:12.000]  以利沙彰顯上帝的權能
[00:00:12.000 --> 00:00:18.000]  第二講
[00:00:18.000 --> 00:00:22.000]  為以色列帶來和平
[00:00:22.000 --> 00:00:28.000]  列王之下的六章八到二十三節
[00:00:30.000 --> 00:00:33.000]  其實今日的經文是幫助我們明白一件事
[00:00:33.000 --> 00:00:38.000]  你怎樣去對敵人
[00:00:38.000 --> 00:00:42.000]  對友善的人很容易
[00:00:42.000 --> 00:00:45.000]  對敵人
[00:00:45.000 --> 00:00:47.000]  殺你的人
[00:00:47.000 --> 00:00:49.000]  你怎樣對付他
[00:00:49.000 --> 00:00:52.000]  不信主的人
[00:00:52.000 --> 00:00:54.000]  他殺我
[00:00:54.000 --> 00:00:56.000]  我就殺他
[00:00:56.000 --> 00:00:59.000]  但歷史告訴我們
[00:01:00.000 --> 00:01:01.000]  冤冤相報
[00:01:01.000 --> 00:01:05.000]  何時了
[00:01:05.000 --> 00:01:07.000]  結果呢
[00:01:07.000 --> 00:01:09.000]  大家都死了
[00:01:09.000 --> 00:01:14.000]  其實很多文學家都在想這件事
[00:01:14.000 --> 00:01:17.000]  於是就寫了一些故事
[00:01:17.000 --> 00:01:21.000]  英國很出名的故事
[00:01:21.000 --> 00:01:23.000]  羅密歐朱麗葉
[00:01:27.000 --> 00:01:33.000]  我們讀書的時候就以為這是莎士比亞的作品
[00:01:33.000 --> 00:01:36.000]  我們都知道這是莎士比亞的作品
[00:01:36.000 --> 00:01:41.000]  其實莎士比亞是拿了Walter Scott的故事來寫的
[00:01:41.000 --> 00:01:49.000]  莎士比亞是用Walter Scott來寫這個話劇的
[00:01:49.000 --> 00:01:51.000]  這個故事大家都很熟悉
[00:01:51.000 --> 00:01:55.000]  兩個敵對的家庭
[00:01:57.000 --> 00:01:58.000]  一個有兒子
[00:01:58.000 --> 00:02:00.000]  一個女兒
[00:02:00.000 --> 00:02:02.000]  對相愛
[00:02:02.000 --> 00:02:04.000]  雙方家庭不能容納對方
[00:02:04.000 --> 00:02:07.000]  結果青年
[00:02:07.000 --> 00:02:10.000]  不能相愛
[00:02:10.000 --> 00:02:13.000]  有殉情自殺這回事
[00:02:13.000 --> 00:02:17.000]  兩個家庭
[00:02:17.000 --> 00:02:20.000]  都非常悲哀
[00:02:20.000 --> 00:02:24.000]  這個故事很美
[00:02:25.000 --> 00:02:29.000]  為什麼我們不要化肝窩為玉帛呢
[00:02:29.000 --> 00:02:36.000]  這個是不信主的世界
[00:02:36.000 --> 00:02:38.000]  都有這樣的看法
[00:02:38.000 --> 00:02:42.000]  今天的經文呢
[00:02:42.000 --> 00:02:44.000]  教我們再進一步
[00:02:44.000 --> 00:02:46.000]  不單止要和平
[00:02:46.000 --> 00:02:51.000]  要對對方好
[00:02:51.000 --> 00:02:53.000]  其實耶穌基督在這個世界上
[00:02:55.000 --> 00:02:56.000]  已經露出這一手了
[00:02:56.000 --> 00:02:58.000]  已經露出這一手了
[00:02:58.000 --> 00:03:00.000]  你知不知道我們不信耶穌之前
[00:03:00.000 --> 00:03:04.000]  我們人被上帝趕出樂園了
[00:03:04.000 --> 00:03:06.000]  人被上帝趕出樂園
[00:03:06.000 --> 00:03:08.000]  是上帝的敵人來的
[00:03:08.000 --> 00:03:10.000]  是上帝的敵人
[00:03:10.000 --> 00:03:12.000]  上帝有沒有趕盡殺絕
[00:03:12.000 --> 00:03:14.000]  上帝有沒有趕盡殺絕呢
[00:03:14.000 --> 00:03:16.000]  沒有
[00:03:16.000 --> 00:03:17.000]  他派耶穌來救我們
[00:03:17.000 --> 00:03:19.000]  上帝露出這一手了
[00:03:19.000 --> 00:03:21.000]  上帝已經顯露這一手
[00:03:22.000 --> 00:03:25.000]  完全是做一個結局
[00:03:25.000 --> 00:03:33.000]  在行經裡面就有這麼一個結局
[00:03:33.000 --> 00:03:35.000]  但是在舊約
[00:03:35.000 --> 00:03:37.000]  一路的佈局
[00:03:37.000 --> 00:03:39.000]  一路的報告
[00:03:39.000 --> 00:03:41.000]  上帝揀選以色列人
[00:03:41.000 --> 00:03:44.000]  以色列人要做上帝在地上的見證
[00:03:44.000 --> 00:03:48.000]  以色列人是上帝在地上的見證
[00:03:48.000 --> 00:03:50.000]  以色列人要在地上
[00:03:51.000 --> 00:03:52.000]  做上帝的見證
[00:03:52.000 --> 00:03:55.000]  以色列人在地上要做上帝的見證
[00:03:55.000 --> 00:03:57.000]  這個王做不到
[00:03:57.000 --> 00:03:59.000]  這個王做不到
[00:03:59.000 --> 00:04:01.000]  上帝就派他的僕人
[00:04:01.000 --> 00:04:03.000]  他的神人以利沙
[00:04:03.000 --> 00:04:05.000]  神人就派神人以利沙
[00:04:05.000 --> 00:04:07.000]  以利沙就做了
