
[00:00:00.000 --> 00:00:01.740]  第三個題目就是
[00:00:01.740 --> 00:00:04.900]  和大家仍然在說我們和神之間的關係
[00:00:04.900 --> 00:00:06.780]  究竟
[00:00:06.780 --> 00:00:08.420]  神期望
[00:00:08.420 --> 00:00:10.840]  祂在我們心中的地位
[00:00:10.840 --> 00:00:12.100]  是甚麼呢?
[00:00:12.100 --> 00:00:14.860]  這個題目寫錯了
[00:00:14.860 --> 00:00:15.460]  應該
[00:00:15.460 --> 00:00:18.360]  這個題目寫錯了
[00:00:18.360 --> 00:00:24.140]  為甚麼我們投入上帝的心是這麼困難呢?
[00:00:24.140 --> 00:00:27.460]  為甚麼奮身給神是這麼困難呢?
[00:00:27.460 --> 00:00:28.920]  今天我們所說的題目
[00:00:29.680 --> 00:00:32.800]  上一堂我們提到一件事
[00:00:32.800 --> 00:00:37.680]  我們要把身體獻上當作活祭
[00:00:37.680 --> 00:00:40.640]  是理所當然的
[00:00:40.640 --> 00:00:43.640]  將我們的心交給上帝是真實的事情
[00:00:43.640 --> 00:00:45.000]  頭腦上我們知道
[00:00:45.000 --> 00:00:47.240]  但是我們是否明白
[00:00:47.240 --> 00:00:52.680]  是否真的能夠將神放在第一位裡面呢?
[00:00:52.680 --> 00:00:56.040]  我想往往在我們的心裡面也不容易做到
[00:00:56.040 --> 00:00:59.240]  其中一個最大的現實是甚麼呢?
[00:00:59.680 --> 00:01:02.440]  就是我們仍然活在這個世代裡面
[00:01:02.440 --> 00:01:04.640]  在這個世代裡面
[00:01:04.640 --> 00:01:08.600]  在某種程度上每樣事情都會令我們遠離上帝
[00:01:08.600 --> 00:01:10.680]  那你說
[00:01:10.680 --> 00:01:13.040]  怎樣呢?
[00:01:13.040 --> 00:01:15.800]  今天想和大家看第二節的經文
[00:01:15.800 --> 00:01:17.280]  上星期我們看了第一節
[00:01:17.280 --> 00:01:18.720]  我們一起讀,好嗎?
[00:01:18.720 --> 00:01:21.120]  讀回上一節和今次那一節
[00:01:21.120 --> 00:01:22.480]  一、二、三
[00:01:22.480 --> 00:01:23.360]  所以
[00:01:23.360 --> 00:01:24.560]  弟兄們
[00:01:24.560 --> 00:01:27.400]  我以神的慈悲勸你們
[00:01:27.560 --> 00:01:30.720]  將身體獻上當作活祭
[00:01:30.720 --> 00:01:32.000]  是聖潔的
[00:01:32.000 --> 00:01:34.160]  是上帝所喜悅的
[00:01:34.160 --> 00:01:37.960]  你們如此侍奉乃是理所當然的
