
[00:00:00.000 --> 00:00:03.900]  佛陀寺平安,邀請大家再一次低頭祈禱
[00:00:03.900 --> 00:00:09.360]  真心感謝你招聚我們在這個殿裡敬拜
[00:00:09.360 --> 00:00:12.900]  我當時的弟兄姊妹,因為身體不適
[00:00:12.900 --> 00:00:15.700]  因為其他原因未能在殿裡敬拜
[00:00:15.700 --> 00:00:18.700]  但也在網上參與
[00:00:18.700 --> 00:00:22.460]  懇求你去閱讀我們向你的敬拜
[00:00:22.460 --> 00:00:25.200]  我們更加懇求聖靈與我們同在
[00:00:25.200 --> 00:00:29.660]  讓我們向你的敬拜,蒙你的閱讀
[00:00:30.000 --> 00:00:33.300]  也更加期望你透過你的話語
[00:00:33.300 --> 00:00:36.600]  來祝福、激勵、提醒我們
[00:00:36.600 --> 00:00:40.760]  願講的和聽的都同蒙你的願
[00:00:40.760 --> 00:00:42.920]  祈禱奉主耶穌這個名求
[00:00:42.920 --> 00:00:44.100]  阿們
[00:00:44.100 --> 00:00:53.180]  今天經文是在小輪傳第三章12-19節
[00:00:53.180 --> 00:00:57.020]  我為大家訂的題目是「基督復活的大能」
[00:00:57.020 --> 00:00:59.120]  不知道大家
[00:01:00.060 --> 00:01:03.620]  在你的認知、在你的想法之中
[00:01:03.620 --> 00:01:07.680]  你會覺得什麼叫做「基督復活的大能」呢?
[00:01:07.680 --> 00:01:12.660]  會不會是像多瑪那樣
[00:01:12.660 --> 00:01:15.740]  很期望耶穌向她顯現
[00:01:15.740 --> 00:01:18.480]  以證明耶穌已經復活呢?
[00:01:18.480 --> 00:01:24.140]  又或者像今天的經文那樣
[00:01:24.140 --> 00:01:28.060]  因為經文在12節之前
[00:01:28.060 --> 00:01:30.100]  其實有一件事發生了
[00:01:30.100 --> 00:01:32.380]  所以到了第12節的時候
[00:01:32.380 --> 00:01:34.380]  大家看到經文就說
[00:01:34.380 --> 00:01:37.680]  大家都有一群人圍著彼得和約翰
[00:01:37.680 --> 00:01:39.440]  是覺得很驚訝
[00:01:39.440 --> 00:01:43.080]  以至彼得就對著這群百姓說
[00:01:43.080 --> 00:01:45.080]  你們不需要對我驚訝
[00:01:45.080 --> 00:01:47.500]  究竟彼得做了些什麼事呢?
[00:01:47.500 --> 00:01:49.960]  原來在1節、11節的時候
[00:01:49.960 --> 00:01:54.340]  彼得和約翰下午三時要去祈禱的時候
[00:01:54.340 --> 00:01:56.820]  他們轉入聖殿經過尾門
[00:01:57.000 --> 00:01:58.200]  經過尾門的時候
[00:01:58.200 --> 00:02:00.200]  就見到一個出生的時候
[00:02:00.200 --> 00:02:03.800]  雙腿已經是跛了的
[00:02:03.800 --> 00:02:08.400]  被人每一天放在門口去行乞
[00:02:08.400 --> 00:02:11.900]  彼得和約翰經過
[00:02:11.900 --> 00:02:18.100]  這個人定睛望著彼得和約翰
[00:02:18.100 --> 00:02:22.400]  希望可以得到一些施捨
[00:02:22.400 --> 00:02:24.700]  彼得他竟然說
[00:02:25.540 --> 00:02:27.540]  金和銀我都沒有
[00:02:27.540 --> 00:02:29.540]  不過我要將最好的給你
[00:02:29.540 --> 00:02:31.800]  什麼是最好的呢?
[00:02:31.800 --> 00:02:36.400]  就是見到將生離是歧侶腿的人
[00:02:36.400 --> 00:02:38.400]  完全治好
[00:02:38.400 --> 00:02:40.800]  所以這個平時大家見慣
[00:02:40.800 --> 00:02:43.300]  他坐在聖殿尾門的門口
[00:02:43.300 --> 00:02:44.600]  來行乞的人
[00:02:44.600 --> 00:02:47.600]  現在是跟著彼得和約翰
[00:02:47.600 --> 00:02:50.320]  又跳又讚美上帝
[00:02:50.320 --> 00:02:51.820]  進入聖殿
[00:02:51.820 --> 00:02:53.820]  於是很多人就很好奇
[00:02:53.820 --> 00:02:56.820]  不是我平時見慣坐在門口那個人嗎?
[00:02:56.820 --> 00:03:00.820]  為什麼他現在可以行走呢?
[00:03:00.820 --> 00:03:05.820]  於是彼得就說了他十二節、十九節
[00:03:05.820 --> 00:03:09.320]  是一段講章的其中一個部分
[00:03:09.320 --> 00:03:12.320]  彼得很清楚地告訴群眾
[00:03:12.320 --> 00:03:14.320]  不是他或者約翰
[00:03:14.320 --> 00:03:17.320]  憑著自己的能力或者是勁拳
[00:03:17.320 --> 00:03:19.820]  去治好這個歧腿的人
