
[00:00:00.000 --> 00:00:05.940]  這一句是剛才施朗讀出的經文的第三節
[00:00:05.940 --> 00:00:10.520]  「召保羅」這一句看似很平凡的問候語
[00:00:10.520 --> 00:00:13.380]  但是對於當時道德敗壞
[00:00:13.380 --> 00:00:16.760]  分黨分派的哥倫多教會來說
[00:00:16.760 --> 00:00:20.780]  能夠得到父上帝的恩惠和平安
[00:00:20.780 --> 00:00:22.220]  實在是很難得的
[00:00:22.220 --> 00:00:26.540]  可能普通的一句「祝你身體健康」
[00:00:26.860 --> 00:00:30.080]  今天來說看似很平常
[00:00:30.080 --> 00:00:34.540]  但是當身處2003年沙士期間的香港人來說
[00:00:34.540 --> 00:00:39.600]  「祝你身體健康」的意義就顯得格外深重
[00:00:39.600 --> 00:00:42.600]  各位弟兄姊妹,你平安嗎?
[00:00:42.600 --> 00:00:48.820]  去年2016年,不知道你又覺得平不平安呢?
[00:00:48.820 --> 00:00:51.420]  踏入了新的一年
[00:00:51.420 --> 00:00:58.140]  我願上帝的恩惠平安尚與我們和我們的家人同在
[00:00:58.140 --> 00:01:00.300]  直到主再來的日子
[00:01:00.300 --> 00:01:03.620]  盼望今天我們透過上帝的話語
[00:01:03.620 --> 00:01:06.240]  能夠得到祂的慰養和提醒
[00:01:06.240 --> 00:01:11.140]  好讓我們能夠和主耶穌基督共享團契
[00:01:11.140 --> 00:01:13.140]  讓我們低頭一起祈禱
[00:01:13.140 --> 00:01:18.160]  信實的主
[00:01:18.900 --> 00:01:22.680]  我們感謝祢對梁法堂一直的保守和帶領
[00:01:22.680 --> 00:01:25.100]  在新的一年裏面
[00:01:25.100 --> 00:01:26.900]  讓我們繼續仰望祢
[00:01:26.900 --> 00:01:28.120]  等候祢
[00:01:28.120 --> 00:01:31.500]  求祢以祢的真理來引導我們
[00:01:31.500 --> 00:01:32.980]  指教我們
[00:01:32.980 --> 00:01:36.380]  好讓我們每個會眾屬靈的生命
[00:01:36.380 --> 00:01:38.980]  能夠得到慰養和飽足
[00:01:38.980 --> 00:01:40.980]  祈禱、感恩
[00:01:40.980 --> 00:01:43.460]  是奉主耶穌基督的名祈求
[00:01:43.460 --> 00:01:44.660]  阿們
[00:01:44.660 --> 00:01:48.860]  請大家繼續打開聖經
[00:01:48.860 --> 00:01:50.860]  看螢光幕
[00:01:50.860 --> 00:02:04.100]  奉上帝旨意蒙召作耶穌基督的使徒保羅
[00:02:04.100 --> 00:02:07.860]  他為道上帝在耶穌基督裏
[00:02:07.860 --> 00:02:11.500]  能夠賜給哥倫多教會有更多的恩賜
[00:02:11.500 --> 00:02:14.460]  特別是口才和各樣的知識
[00:02:14.460 --> 00:02:15.860]  凡事富足
[00:02:15.860 --> 00:02:17.980]  他常常感謝上帝
[00:02:18.380 --> 00:02:20.020]  在第五節裏
[00:02:20.020 --> 00:02:22.460]  我們看到在保羅的眼裏
[00:02:22.460 --> 00:02:26.260]  哥倫多教會是一個非常蒙恩的教會
[00:02:26.260 --> 00:02:30.380]  除了在物質方面他非常富足之外
[00:02:30.380 --> 00:02:34.060]  在屬靈的恩賜上也不缺乏
[00:02:34.060 --> 00:02:37.700]  他特別提出口才和各樣的知識
[00:02:37.700 --> 00:02:39.660]  其實就是在之後
[00:02:39.660 --> 00:02:43.020]  哥倫多前書第十三章所說的
[00:02:43.020 --> 00:02:45.020]  先知講道之能
[00:02:45.020 --> 00:02:47.140]  說方言、翻方言
[00:02:47.140 --> 00:02:48.860]  辨別諸靈等等
[00:02:48.860 --> 00:02:54.820]  這些都是哥倫多教會很優秀的教友
[00:02:54.820 --> 00:02:57.580]  他們所擁有的恩賜
[00:02:57.580 --> 00:03:01.660]  情況我覺得有一點像我們梁法堂
[00:03:01.660 --> 00:03:04.620]  雖然我們聚會的人不算很多
[00:03:04.620 --> 00:03:08.660]  但是很多教友都甚具恩賜
[00:03:08.660 --> 00:03:11.860]  更加有一些可能是臥虎藏龍
[00:03:11.860 --> 00:03:13.100]  我們還不知道
[00:03:13.100 --> 00:03:18.740]  某程度上梁法堂也算是一間非常蒙恩的教會
[00:03:18.740 --> 00:03:23.580]  雖然保羅清楚知道哥倫多教會
[00:03:23.580 --> 00:03:27.620]  有很多令他們引以為傲的恩賜
[00:03:27.620 --> 00:03:29.100]  但是
[00:03:29.100 --> 00:03:33.100]  保羅更加了解哥倫多教會
[00:03:33.100 --> 00:03:38.820]  其實是一間屬靈極其枯乾的教會
[00:03:38.820 --> 00:03:42.220]  在屬靈上極其枯乾的教會
[00:03:43.380 --> 00:03:46.020]  我覺得保羅這個屬靈的師傅真好
[00:03:46.020 --> 00:03:54.220]  他不僅經常為不同地方的教會去祈禱、感恩
[00:03:54.220 --> 00:03:55.780]  而更加可貴的是
[00:03:55.780 --> 00:04:01.540]  保羅對於他們的軟弱掌握得很清楚
[00:04:01.540 --> 00:04:04.260]  尤其是這裡所講的哥倫多教會
[00:04:04.260 --> 00:04:07.500]  他很清楚哥倫多教會軟弱的地方
[00:04:07.500 --> 00:04:12.660]  但是他也能夠先肯定他的優點
[00:04:12.900 --> 00:04:14.780]  兼顧他們的信仰
[00:04:14.780 --> 00:04:18.100]  然後才指出他們缺失的所在
[00:04:18.100 --> 00:04:22.100]  並且透過他在基督耶穌裡面的領袖
[00:04:22.100 --> 00:04:27.420]  來教導他們、督責他們、勉勵他們
[00:04:27.420 --> 00:04:31.180]  就像我剛才所講
[00:04:31.180 --> 00:04:35.460]  雖然哥倫多教會有很多軟弱、很多不妥的地方
[00:04:35.460 --> 00:04:39.420]  但是保羅竟然能夠先看到他們的長處
[00:04:39.420 --> 00:04:43.300]  並且能夠為這些長處感謝上帝
[00:04:43.300 --> 00:04:46.900]  而這件事情對於我們香港人來講
[00:04:46.900 --> 00:04:50.460]  要做到這一點是有些難度的
[00:04:50.460 --> 00:04:51.500]  為什麼呢?
[00:04:51.500 --> 00:04:56.340]  因為我們都生活在一些充滿競爭
[00:04:56.340 --> 00:04:58.620]  盲目批評的社會裡面
[00:04:58.620 --> 00:05:01.540]  香港人我覺得無論男女老少
[00:05:01.540 --> 00:05:03.660]  現在真的不知道為什麼
[00:05:03.660 --> 00:05:08.420]  不知不覺就會套用了這個思維
[00:05:08.700 --> 00:05:13.820]  再以世俗的價值觀去看待別人、看待自己
[00:05:13.820 --> 00:05:18.500]  就因為這種競爭的環境、批評的聲音
[00:05:18.500 --> 00:05:21.740]  香港人每一天總是覺得
[00:05:21.740 --> 00:05:28.060]  生活在一些壓力、不滿、怨氣、怒氣中間
[00:05:28.060 --> 00:05:33.860]  所以才會有巴士叔叔、杜猷珍等等的事件出現
[00:05:33.860 --> 00:05:36.740]  甚至我還記得在幾年前
[00:05:36.740 --> 00:05:38.660]  有一個十歲的小朋友
