
[00:00:00.000 --> 00:00:02.960]  今天我的題目是「愛不容辭」
[00:00:02.960 --> 00:00:06.280]  其實是借用了師母一本書的書名
[00:00:06.280 --> 00:00:10.800]  意思是愛的誡命上是不容許推辭的
[00:00:10.800 --> 00:00:14.440]  我們不如先讀一段經文
[00:00:14.440 --> 00:00:18.240]  就是在《路加福音》十章二十五至二十八字
[00:00:18.240 --> 00:00:21.720]  我們一二三一起讀
[00:00:21.720 --> 00:00:25.920]  有一個律法師起來試探耶穌說
[00:00:25.920 --> 00:00:30.640]  「老師,我該做什麼才可以承受永生?」
[00:00:30.640 --> 00:00:32.480]  耶穌對他說
[00:00:32.480 --> 00:00:36.920]  「律法上寫的是什麼?你是怎樣念的?」
[00:00:36.920 --> 00:00:38.680]  他回答說
[00:00:38.680 --> 00:00:44.600]  「你要盡心、盡性、盡力、盡義愛主,你的上帝」
[00:00:44.600 --> 00:00:47.760]  「又要愛倫捨如己」
[00:00:47.760 --> 00:00:49.560]  耶穌對他說
[00:00:49.560 --> 00:00:55.880]  「你回答得正確,你這樣做,就會得永生」
[00:00:55.880 --> 00:00:59.840]  律法師,在新漢語的日本就是律法專家
[00:00:59.840 --> 00:01:02.360]  有些日本就是宗教學者
[00:01:02.360 --> 00:01:07.240]  即是他們很擅長研讀誡命、律法
[00:01:07.240 --> 00:01:09.960]  是識經家
[00:01:09.960 --> 00:01:15.200]  試探,即是不懷好意去問耶穌
[00:01:15.200 --> 00:01:16.520]  他問的是
[00:01:16.520 --> 00:01:20.720]  「我做什麼才可以承受永生?」
[00:01:20.720 --> 00:01:24.440]  其實當我們看到他在試探的時候
[00:01:24.440 --> 00:01:26.960]  我們就知道他的想法
[00:01:26.960 --> 00:01:30.080]  其實是想和耶穌一較高下
[00:01:30.080 --> 00:01:33.560]  看看你講得好一點,還是我懂得多一點
[00:01:33.560 --> 00:01:36.440]  看看誰講得好一點
[00:01:36.440 --> 00:01:38.560]  他這個問題就是說
[00:01:38.560 --> 00:01:40.800]  「我做什麼才可以承受永生?」
[00:01:40.800 --> 00:01:43.560]  意思是摩西這麼多條律法裡面
[00:01:43.560 --> 00:01:44.960]  哪一條最重要
[00:01:44.960 --> 00:01:47.560]  做了我就有永生
[00:01:47.560 --> 00:01:51.240]  通常這些挑戰性的問題
[00:01:51.240 --> 00:01:54.560]  即是試探不懷好意的態度
[00:01:54.560 --> 00:01:58.320]  耶穌很多時候會用一個方法
[00:01:58.320 --> 00:01:59.920]  問多一個問題給他
[00:01:59.920 --> 00:02:01.360]  反問他的問題
[00:02:01.360 --> 00:02:03.040]  讓他自問自答
[00:02:03.040 --> 00:02:06.320]  然後他明白問題的意義在哪裡
[00:02:06.320 --> 00:02:08.520]  所以耶穌就問
[00:02:08.520 --> 00:02:10.520]  以你的專業知識
[00:02:10.520 --> 00:02:14.280]  以你這麼豐富的理解
[00:02:14.280 --> 00:02:15.800]  你怎麼看
[00:02:15.800 --> 00:02:18.280]  律法怎麼講
[00:02:18.280 --> 00:02:20.960]  這個律法專家也回答得到
[00:02:20.960 --> 00:02:24.560]  他說你要盡心盡性盡力盡意愛主
[00:02:24.560 --> 00:02:26.040]  你的上帝你的神
[00:02:26.040 --> 00:02:27.840]  你要愛倫如己
[00:02:27.840 --> 00:02:30.280]  愛倫謝如同自己
[00:02:30.280 --> 00:02:32.760]  其實耶穌在福音書裡面也總結了
[00:02:32.760 --> 00:02:34.280]  律法的總綱
[00:02:34.280 --> 00:02:38.360]  最重要的精髓在哪裡
[00:02:38.360 --> 00:02:40.000]  在《馬太福音》22章說
[00:02:40.000 --> 00:02:42.280]  全部的律法和先知的教訓
[00:02:42.280 --> 00:02:44.400]  都歸在這兩條的誡命裡面
[00:02:44.400 --> 00:02:46.640]  那條誡命就是愛神的誡命
[00:02:46.640 --> 00:02:48.600]  和愛人的誡命
[00:02:48.600 --> 00:02:51.960]  如果應用在今天來說
[00:02:51.960 --> 00:02:56.040]  就是說無論你是在這裡教會侍奉
[00:02:56.040 --> 00:02:58.880]  還是在職場裡面工作
[00:02:58.880 --> 00:03:04.280]  或者你在家裡做家務
[00:03:04.280 --> 00:03:06.280]  你在哪個崗位上
[00:03:06.280 --> 00:03:09.280]  你的出發點都是愛神愛人
[00:03:09.280 --> 00:03:12.880]  那個是你的起點
[00:03:12.880 --> 00:03:14.280]  所以無論你在問
[00:03:14.280 --> 00:03:16.600]  做什麼才可以承受永生
[00:03:16.600 --> 00:03:20.200]  或者你在問律法裡面哪條才是最首要
[00:03:20.200 --> 00:03:24.760]  還是你在問律法裡面哪條誡命是最大的
[00:03:24.760 --> 00:03:27.840]  其實都是一個答案
[00:03:27.840 --> 00:03:30.920]  就是愛的誡命
[00:03:30.920 --> 00:03:33.040]  你是要全心全意
[00:03:33.040 --> 00:03:34.560]  專心一意
[00:03:34.560 --> 00:03:36.280]  竭盡你的所能
[00:03:36.280 --> 00:03:39.680]  甚至連命都不要去愛你的神
[00:03:39.680 --> 00:03:41.280]  其次就是愛你的倫謝
[00:03:41.280 --> 00:03:43.360]  好像愛你自己那樣
[00:03:43.360 --> 00:03:47.200]  我想問你們知不知道怎樣去愛自己
[00:03:47.200 --> 00:03:48.440]  我經常覺得今時今日
[00:03:48.440 --> 00:03:50.040]  不是太多人懂得去愛自己
[00:03:50.040 --> 00:03:52.400]  不懂得愛惜自己
[00:03:52.400 --> 00:03:55.160]  我經常都跟我的年輕人
[00:03:55.160 --> 00:03:56.400]  就是我的下一代說
[00:03:56.400 --> 00:03:58.760]  要愛惜自己早點睡覺
[00:03:58.760 --> 00:04:01.120]  要愛惜自己準時吃東西
[00:04:01.120 --> 00:04:03.360]  要愛惜自己冬天多穿件衣服
[00:04:03.360 --> 00:04:05.440]  不要扮有型
[00:04:05.440 --> 00:04:09.120]  都不懂得聽
[00:04:09.120 --> 00:04:11.120]  今天我們要懂得愛惜自己
[00:04:11.120 --> 00:04:15.160]  我們才明白怎樣去愛惜我們身邊的人
[00:04:15.160 --> 00:04:17.720]  耶穌的教訓好像將永生的禮物
[00:04:17.720 --> 00:04:21.560]  跟愛的誡命掛勾連在一起
[00:04:21.560 --> 00:04:23.240]  究竟永生的禮物
[00:04:23.240 --> 00:04:26.640]  跟我們進行愛的誡命有什麼關係呢
