
[00:00:00.000 --> 00:00:02.480]  好,等師妹讓我們在聆聽主導而先
[00:00:02.480 --> 00:00:04.240]  我們一起同心低頭禱告
[00:00:04.240 --> 00:00:05.540]  陽亡的主,愛的神
[00:00:05.540 --> 00:00:08.580]  父神,多謝祢
[00:00:08.580 --> 00:00:12.000]  我們懇求祢的靈帶領我們
[00:00:12.000 --> 00:00:14.400]  讓我們可以體貼
[00:00:14.400 --> 00:00:17.680]  昔日耶穌祢的獨生兒子
[00:00:17.680 --> 00:00:21.740]  在地上所作的事情本身的意思
[00:00:21.740 --> 00:00:24.940]  也要從當中讓我們學會
[00:00:24.940 --> 00:00:30.580]  如何去領受主祢所的差派和使命
[00:00:30.580 --> 00:00:35.480]  讓我們作今天合神心意的侍奉
[00:00:35.480 --> 00:00:39.440]  我們再次將這段聆聽主導的時間交上
[00:00:39.440 --> 00:00:41.840]  不是讓我們只是聽到
[00:00:41.840 --> 00:00:45.020]  而是讓我們生命得到更新
[00:00:45.020 --> 00:00:46.520]  並且變化
[00:00:46.520 --> 00:00:51.140]  測驗到上帝祢純存,可喜悅的旨意
[00:00:51.140 --> 00:00:54.140]  禱告奉教,主耶穌基督德性的名字求
[00:00:54.140 --> 00:00:55.140]  阿們
[00:00:55.140 --> 00:00:58.780]  我相信大家都會明白
[00:00:58.780 --> 00:01:00.740]  一件事叫做「好人難造」
[00:01:00.740 --> 00:01:02.540]  不過實質上
[00:01:02.540 --> 00:01:05.040]  當我們去做屬神的子民的時候
[00:01:05.040 --> 00:01:06.140]  其實是更加難
[00:01:06.140 --> 00:01:10.340]  這是一個我們必須要有的預備
[00:01:10.340 --> 00:01:12.620]  但是這個說法
[00:01:12.620 --> 00:01:15.540]  和一般很多人去相信耶穌的時候
[00:01:15.540 --> 00:01:20.420]  那個個人願望可能有些不同
[00:01:20.420 --> 00:01:23.480]  很多人認為信耶穌可以讓我解脫
[00:01:23.480 --> 00:01:25.140]  將我所有的問題都解脫了
[00:01:25.140 --> 00:01:26.840]  我的人生就更容易過
[00:01:26.840 --> 00:01:30.020]  但是當我們去看聖經
[00:01:30.020 --> 00:01:34.440]  很多時候無論是耶穌的遭遇
