
[00:00:00.000 --> 00:00:02.000]  好,請你看看你旁邊那個
[00:00:02.000 --> 00:00:04.000]  你看看他的樣子,是不是真的很平安
[00:00:04.000 --> 00:00:11.000]  你告訴他,我們靠著主可以得平安
[00:00:11.000 --> 00:00:22.000]  為什麼我們要彼此民安呢
[00:00:22.000 --> 00:00:25.000]  除了這是聖經的吩咐之外
[00:00:25.000 --> 00:00:27.000]  我們見到面可以彼此民安
[00:00:28.000 --> 00:00:33.000]  你覺不覺得我們現在處於一個不太平安的世代
[00:00:33.000 --> 00:00:35.000]  你覺不覺得
[00:00:35.000 --> 00:00:38.000]  哇,我昨天
[00:00:38.000 --> 00:00:42.000]  昨天,這一兩天有一個很震撼的新聞
[00:00:42.000 --> 00:00:46.000]  馬航又沒有了一架飛機
[00:00:46.000 --> 00:00:49.000]  你覺不覺得很可怕
[00:00:49.000 --> 00:00:52.000]  我昨天買了一份報紙
[00:00:52.000 --> 00:00:54.000]  那份叫星島日報
[00:00:54.000 --> 00:00:56.000]  我不是幫你買廣告
[00:00:56.000 --> 00:00:58.000]  其實星島很悶
[00:00:58.000 --> 00:01:00.000]  不過它比較乾淨
[00:01:00.000 --> 00:01:02.000]  所以我就買它來看
[00:01:02.000 --> 00:01:03.000]  是不是
[00:01:03.000 --> 00:01:06.000]  但你估不到他昨天頭版
[00:01:06.000 --> 00:01:09.000]  頭版拍了一張相出來
[00:01:09.000 --> 00:01:10.000]  我看完之後
[00:01:10.000 --> 00:01:12.000]  是相當震撼
[00:01:12.000 --> 00:01:14.000]  他拍了一張相是什麼相呢
[00:01:14.000 --> 00:01:17.000]  就是那架馬航客機墜毀了
[00:01:17.000 --> 00:01:19.000]  被人射了下來之後
[00:01:19.000 --> 00:01:21.000]  是散了的
[00:01:21.000 --> 00:01:23.000]  殘骸在草地那裡
[00:01:23.000 --> 00:01:25.000]  他拍了一張近鏡
[00:01:25.000 --> 00:01:29.000]  是有兩條屍體在那裡
[00:01:29.000 --> 00:01:34.000]  很清楚看到是一個男一個女
[00:01:34.000 --> 00:01:36.000]  就這樣近鏡就看到了
[00:01:36.000 --> 00:01:37.000]  當然了
[00:01:37.000 --> 00:01:40.000]  其中一個遺體是打了格子
[00:01:40.000 --> 00:01:44.000]  因為我估計他的樣子比較血肉模糊
[00:01:44.000 --> 00:01:47.000]  但是你會很清楚看到
[00:01:47.000 --> 00:01:49.000]  其實墜機的現場
[00:01:49.000 --> 00:01:51.000]  究竟實際是怎樣的
[00:01:51.000 --> 00:01:52.000]  我看完這張相
[00:01:52.000 --> 00:01:54.000]  我裡面的震撼是什麼呢
[00:01:54.000 --> 00:01:56.000]  當然我都覺得它很醜
