
[00:00:00.000 --> 00:00:04.600]  今天很高興再一次可以在港台上和大家見面
[00:00:04.600 --> 00:00:06.300]  我在這個Swindon的地方
[00:00:06.300 --> 00:00:11.700]  我侍奉了差不多大約30年的時間
[00:00:11.700 --> 00:00:14.700]  當然也是遇到很多的困難
[00:00:14.700 --> 00:00:16.100]  但是神很保守
[00:00:16.100 --> 00:00:18.600]  今天我們教會屹立不倒
[00:00:18.600 --> 00:00:21.100]  成為一個小小的明亮的燈台
[00:00:21.100 --> 00:00:23.800]  這個是非常之感恩的
[00:00:23.800 --> 00:00:26.200]  在30年的時間裏
[00:00:26.200 --> 00:00:29.900]  當我們出去傳福音去探訪的時候
[00:00:29.900 --> 00:00:32.700]  不多不少也遭遇了很多的困難
[00:00:32.700 --> 00:00:35.200]  當然有大大小小的困難
[00:00:35.200 --> 00:00:40.500]  有些人甚至是經常說一些話去詆毀我們教會
[00:00:40.500 --> 00:00:44.800]  其實可以構成毀謗的罪
[00:00:44.800 --> 00:00:46.900]  如果嚴重一點來說
[00:00:46.900 --> 00:00:50.800]  有時候就說我們牧師是神棍
[00:00:50.800 --> 00:00:52.500]  但是他們不知道神棍是什麼
[00:00:52.500 --> 00:00:57.400]  神棍其實是借著教會的名義去騙錢的
[00:00:57.400 --> 00:01:00.000]  實際上我聽到也是很痛心
[00:01:00.000 --> 00:01:02.800]  又說我們教會是騙人錢
[00:01:02.800 --> 00:01:04.600]  有一個例子我以前也說過
[00:01:04.600 --> 00:01:05.600]  我們有一個師母
[00:01:05.600 --> 00:01:08.000]  以前很有愛心
[00:01:08.000 --> 00:01:11.000]  四處去載公公婆婆回來教會
[00:01:11.000 --> 00:01:13.600]  因為在外國教會大家都知道
[00:01:13.600 --> 00:01:15.400]  交通不是很方便
[00:01:15.400 --> 00:01:17.100]  因為很多人都有私家車
[00:01:17.100 --> 00:01:19.000]  特別是星期天
[00:01:19.000 --> 00:01:21.900]  有時候真的整個小時才有一班車
[00:01:21.900 --> 00:01:23.800]  很多時候你鼓勵一些
[00:01:23.800 --> 00:01:27.400]  無道的朋友、未信主的朋友多一點回教會
[00:01:27.400 --> 00:01:31.000]  我們都盡我們的能力去載他們回來
[00:01:31.000 --> 00:01:33.600]  這位師母就做很多這樣的工作
[00:01:33.600 --> 00:01:35.800]  有一次有些人就說
[00:01:35.800 --> 00:01:38.400]  師母你經常載我們回教會
[00:01:38.400 --> 00:01:41.000]  要不要津貼一些郵費
[00:01:41.000 --> 00:01:42.000]  師父說不用
[00:01:42.000 --> 00:01:44.800]  我是憑著主耶穌基督的愛心載你們
[00:01:44.800 --> 00:01:46.800]  那要不要奉獻一些給教會
[00:01:46.800 --> 00:01:47.800]  師父說也不用
[00:01:47.800 --> 00:01:50.800]  教會的奉獻是為基督徒而設的
[00:01:50.800 --> 00:01:52.600]  如果你不明白是不需要
[00:01:52.600 --> 00:01:54.000]  但是問得多他經常都問
[00:01:54.000 --> 00:01:56.200]  師母說如果你喜歡的話
[00:01:56.200 --> 00:01:59.400]  那你就在奉獻檔放下五磅
[00:01:59.400 --> 00:02:02.400]  結果這件事傳了出去後來就變成一個什麼呢
[00:02:02.400 --> 00:02:05.400]  就是這位師母四處收人家五磅
[00:02:05.400 --> 00:02:07.400]  載他們回教會
[00:02:07.400 --> 00:02:09.200]  實在是沒有理由的
[00:02:09.200 --> 00:02:10.800]  當然師母跟我分享的時候
[00:02:10.800 --> 00:02:12.600]  她都是哭著跟我分享
[00:02:12.600 --> 00:02:15.600]  但是她都是枕著基督的愛
[00:02:15.600 --> 00:02:17.000]  我就三十年而已
[00:02:17.000 --> 00:02:18.600]  她就真的侍奉了六十年
[00:02:18.600 --> 00:02:19.800]  多我一倍
[00:02:19.800 --> 00:02:22.600]  當然現在已經是回到天家
[00:02:22.600 --> 00:02:25.600]  但是她都是繼續堅持她的信念
[00:02:25.600 --> 00:02:29.600]  但是實在很多人是真的在背後是毀謗我們的
[00:02:29.600 --> 00:02:31.600]  就說我們基督徒沒有愛心
[00:02:31.600 --> 00:02:33.600]  為什麼沒有愛心
[00:02:33.600 --> 00:02:34.600]  他說哪個哪個
[00:02:34.600 --> 00:02:36.600]  陳伯那次看醫生
[00:02:36.600 --> 00:02:39.600]  想找幾個弟兄姐妹載他去看
[00:02:39.600 --> 00:02:40.600]  他又不懂得說
[00:02:40.600 --> 00:02:42.600]  又不懂得做
[00:02:42.600 --> 00:02:44.600]  那個弟兄都說不載他
[00:02:44.600 --> 00:02:46.600]  後來查究之下
[00:02:46.600 --> 00:02:51.600]  原來這位弟兄每個星期已經載他去看醫生
