
[00:00:00.000 --> 00:00:03.240]  連文《馬可福音》六章三十四節
[00:00:03.240 --> 00:00:05.600]  我們請頂姐妹跟我一起讀出這段經文
[00:00:05.600 --> 00:00:07.680]  《馬可福音》六章三十四節
[00:00:07.680 --> 00:00:09.640]  請頂姐妹一起讀出
[00:00:09.640 --> 00:00:10.760]  請讀
[00:00:10.760 --> 00:00:12.240]  耶穌出來
[00:00:12.240 --> 00:00:15.200]  見有許多的人就憐憫他們
[00:00:15.200 --> 00:00:18.560]  因為他們與羊沒有目人一般
[00:00:18.560 --> 00:00:21.920]  於是他開口教他們
[00:00:21.920 --> 00:00:25.440]  耶穌出來見有許多的人就憐憫他們
[00:00:25.440 --> 00:00:28.240]  因為他們與羊沒有目人一般
[00:00:28.240 --> 00:00:31.320]  於是他開口教訓他們很多道理
[00:00:31.320 --> 00:00:32.560]  其實這個「於是」
[00:00:32.560 --> 00:00:34.960]  不單是開口教訓他們很多道理
[00:00:34.960 --> 00:00:37.280]  後來耶穌見到這群人
[00:00:37.280 --> 00:00:39.080]  他走過來聚集
[00:00:39.080 --> 00:00:40.960]  他不單是教訓他們
[00:00:40.960 --> 00:00:44.120]  甚至他做了很多神蹟去餵飽他們
[00:00:44.120 --> 00:00:48.000]  他用一個很奇妙的神蹟去顯現他自己
[00:00:48.000 --> 00:00:51.440]  亦因為那些人的需要
[00:00:51.440 --> 00:00:53.760]  他付出他自己沒有休息
[00:00:53.760 --> 00:00:55.320]  不眠不休的狀況
[00:00:55.320 --> 00:00:58.040]  然後去醫治他們
[00:00:58.040 --> 00:00:59.680]  憐憫在聖經裏面
[00:00:59.680 --> 00:01:01.720]  其實很多次去使用
[00:01:01.720 --> 00:01:04.760]  不單是用憐憫這個翻譯
[00:01:04.760 --> 00:01:06.200]  有時我們會見到
[00:01:06.200 --> 00:01:08.520]  是一個連率的字眼
[00:01:08.520 --> 00:01:10.200]  亦有時我們見到
[00:01:10.200 --> 00:01:12.720]  很多次在不同的聖經裏面形容
[00:01:12.720 --> 00:01:16.600]  耶穌看見一些人就動了慈心
[00:01:16.600 --> 00:01:20.160]  動了慈心 連率等等這些字詞
[00:01:20.160 --> 00:01:24.280]  正正形容憐憫的心腸是一個甚麼狀況
[00:01:24.280 --> 00:01:27.680]  所以憐憫有一個比較生動的演繹
[00:01:27.680 --> 00:01:30.400]  就是動了柔腸
[00:01:30.400 --> 00:01:31.480]  甚麼意思呢
[00:01:31.480 --> 00:01:32.720]  即是你裏面
[00:01:32.720 --> 00:01:33.960]  我不知道你是否好像我一樣
[00:01:33.960 --> 00:01:35.360]  有時我們見到一些事
[00:01:35.360 --> 00:01:37.480]  我的心會酸酸的
[00:01:37.480 --> 00:01:38.760]  你們有沒有
[00:01:38.760 --> 00:01:41.200]  有時你見到一些人
[00:01:41.200 --> 00:01:42.880]  你裏面有一份情
[00:01:42.880 --> 00:01:44.240]  其實那份情可能
[00:01:44.240 --> 00:01:46.000]  是跟你認識他的時間
[00:01:46.000 --> 00:01:47.680]  或者你了解他
[00:01:47.680 --> 00:01:49.560]  是沒有甚麼關係的
[00:01:49.560 --> 00:01:50.920]  剛剛認識他 剛剛見到他
[00:01:50.920 --> 00:01:53.640]  但你裏面有一份情出來了
[00:01:53.640 --> 00:01:55.520]  然後這裏這樣說
[00:01:55.520 --> 00:01:56.680]  好像甚麼呢
[00:01:56.680 --> 00:01:58.600]  好像內心有些攪動
[00:01:58.600 --> 00:01:59.240]  像甚麼呢
[00:01:59.240 --> 00:02:01.760]  像腸在動
[00:02:01.760 --> 00:02:02.960]  不太舒服
[00:02:02.960 --> 00:02:08.480]  然後要有些行動
[00:02:08.480 --> 00:02:10.880]  憐憫就是這樣
[00:02:10.880 --> 00:02:12.080]  剛才我講到
[00:02:12.080 --> 00:02:14.920]  耶穌其實當時在那個狀況裏面
[00:02:14.920 --> 00:02:19.360]  正正就是他聽到施洗約翰被殺的消息
[00:02:19.360 --> 00:02:21.160]  但好奇的是
[00:02:21.160 --> 00:02:24.000]  當這個消息令到他心情裏面
[00:02:24.000 --> 00:02:26.440]  有一種很不容易的盛載的時候
[00:02:26.440 --> 00:02:28.120]  其實那一刻聖經繼續講
[00:02:28.120 --> 00:02:30.480]  所以在《馬太福音》六章三十節
[00:02:30.480 --> 00:02:32.600]  一開播的時候就講了一句說話
[00:02:32.600 --> 00:02:34.600]  他說那些門徒
[00:02:34.600 --> 00:02:36.360]  他們去四面全道之後
[00:02:36.360 --> 00:02:39.040]  在這個時候就回來向耶穌報告
[00:02:39.040 --> 00:02:39.680]  報告甚麼
[00:02:39.680 --> 00:02:41.160]  報告他們全道的工作
[00:02:41.160 --> 00:02:42.360]  報告他們做了甚麼
[00:02:42.360 --> 00:02:44.920]  那個成果是怎樣
[00:02:44.920 --> 00:02:47.800]  本來是一個抑鬱的狀況
[00:02:47.800 --> 00:02:48.520]  或者這樣說
[00:02:48.520 --> 00:02:50.000]  耶穌都不會那麼抑鬱的
[00:02:50.000 --> 00:02:52.160]  耶穌大都知道這個死訊
[00:02:52.160 --> 00:02:56.240]  然後又聽到一班門徒報好消息
[00:02:56.240 --> 00:02:59.800]  然後因為這些門徒所傳的道
[00:02:59.800 --> 00:03:02.360]  很多人因為這樣就被吸引了
[00:03:02.360 --> 00:03:05.200]  甚麼那個彼得安和我的醫院那個人在哪裏
[00:03:05.200 --> 00:03:06.960]  走出去那裏我們去吧
[00:03:06.960 --> 00:03:08.920]  然後有些人說他的師父在哪裏
[00:03:08.920 --> 00:03:09.720]  在那裏
[00:03:09.720 --> 00:03:11.480]  我叫我的子女
[00:03:11.480 --> 00:03:15.040]  門徒朋友一起來跟著他
