
[00:00:00.000 --> 00:00:04.000]  丁姐咪平安,我哋一齊祈禱。
[00:00:04.000 --> 00:00:14.000]  天父,我們歡喜快樂來到祢的庚前,多謝祢賜給我們有救恩。
[00:00:14.000 --> 00:00:23.000]  藉著祢兒子耶穌基督的補血,為我們開了一條又新又活的路,從萬寺經過。
[00:00:24.000 --> 00:00:38.000]  以致我們能夠這些罪人,能夠靠基督的補血,能夠坦然無懼來到祢的私人座前,多謝祢為我們開了這條新的路。
[00:00:38.000 --> 00:00:45.000]  我們傳了一個歡喜快樂的心,也有一個很恭敬的心,來到打開祢的話語的時候,
[00:00:46.000 --> 00:00:55.000]  祢的聖靈有引導我們,讓我們傳了一個敬敬的心,一個等候祢的心,一個相信祢會向我們說話的心,
[00:00:55.000 --> 00:01:06.000]  來到仰望等候祢,向我們說話,鑄造我們的靈明,讓我們更靠近祢,奉耶穌基督的聖名,阿們。
[00:01:10.000 --> 00:01:18.000]  我今年就嘗試和大家講一個系列,就是不一樣的人生。
[00:01:18.000 --> 00:01:29.000]  我上一講,多數都不記得了,上一講就講到不一樣的人生是一個新的方向。
[00:01:29.000 --> 00:01:38.000]  我今天就講第二講,就是不一樣的人生新的眼光。
[00:01:39.000 --> 00:01:47.000]  上一講就講到保羅,他自從在大馬適路上,主耶穌向他顯現之後,
[00:01:47.000 --> 00:01:53.000]  他的人生就有180度的改變,有新的方向。
[00:01:53.000 --> 00:02:01.000]  在保羅跟隨神的過程裡面,保羅向神發出了一個請求,
[00:02:02.000 --> 00:02:12.000]  但是神卻是沒有應運,而卻是帶來保羅有一個新的眼光。
[00:02:12.000 --> 00:02:21.000]  眼光重不重要?很重要的,有人看一件事是絕望的,
[00:02:21.000 --> 00:02:31.000]  但是有人用新的眼光去看,這件事就成為了有新的希望。
[00:02:32.000 --> 00:02:39.000]  不同的眼光是會改變我們對人生有不同的看法。
[00:02:39.000 --> 00:02:49.000]  我們今天一起來看,一起來追蹤一下保羅,不一樣的人生新的眼光。
[00:02:49.000 --> 00:03:00.000]  經文是哥倫多後書十二章一至十節,請聽我先讀頭幾節。
