
[00:00:00.000 --> 00:00:05.840]  我們今天繼續提摩太前書系列的講道
[00:00:05.840 --> 00:00:09.000]  今天我們講的經文其實是接著的
[00:00:09.000 --> 00:00:11.400]  接著上個星期第四章的內容
[00:00:11.400 --> 00:00:13.760]  上星期我們講第四章的時候
[00:00:13.760 --> 00:00:18.820]  就講到提摩太去到一間義福所的教會裡面
[00:00:18.820 --> 00:00:23.840]  所以神就直接保羅去提醒
[00:00:23.840 --> 00:00:27.280]  到底提摩太要在這間教會上去服侍
[00:00:27.280 --> 00:00:29.120]  要面對什麼困難
[00:00:29.120 --> 00:00:31.500]  這個是上星期講的內容
[00:00:31.500 --> 00:00:34.680]  今天講的內容就比較貼身一點
[00:00:34.680 --> 00:00:37.840]  上星期大家可能見過多一些講領袖
[00:00:37.840 --> 00:00:40.840]  講好像你去做教導一樣
[00:00:40.840 --> 00:00:42.760]  上次都跟大家提過
[00:00:42.760 --> 00:00:45.320]  就算你不是服侍的人
[00:00:45.320 --> 00:00:47.320]  你都可以去教導的
[00:00:47.320 --> 00:00:49.640]  你都應該是去教導的
[00:00:49.640 --> 00:00:54.040]  教導那些比你更加不知道這個信仰的人
[00:00:54.040 --> 00:00:57.560]  今天比較一些叫做貼身一點的題目
[00:00:57.560 --> 00:00:59.240]  就講家
[00:00:59.240 --> 00:01:01.620]  今天我們想到家
[00:01:01.620 --> 00:01:05.680]  可能想到你的父母或者你的親戚
[00:01:05.680 --> 00:01:10.000]  但是在聖經的時代講家庭是有一點不同的
[00:01:10.000 --> 00:01:14.400]  今天我們看的經文是提摩太前書五章一節
[00:01:14.400 --> 00:01:15.760]  到六章二節
[00:01:15.760 --> 00:01:19.680]  就是針對家庭關係的一個描述
[00:01:19.680 --> 00:01:23.360]  就是保羅向提摩太講到底一個家庭
[00:01:23.360 --> 00:01:26.800]  在教會裡面應該怎樣去扮這個角色
[00:01:26.800 --> 00:01:28.800]  這樣想是有點奇怪的
[00:01:28.800 --> 00:01:30.800]  今天當然我們都會
[00:01:30.800 --> 00:01:33.440]  我們希望如果下年是一些商文題目
[00:01:33.440 --> 00:01:35.440]  我們可以討論一下家庭
[00:01:35.440 --> 00:01:39.040]  討論一下我們怎樣跟父母相處的機會
[00:01:39.040 --> 00:01:43.720]  但這個就不是新約裡面想討論的事情
[00:01:43.720 --> 00:01:47.200]  這個是我們今天如果特別有一些親子講座
[00:01:47.200 --> 00:01:51.240]  或者一些父母特別當中有很多父母
[00:01:51.240 --> 00:01:53.160]  就是你會聽那些子女的教育
[00:01:53.160 --> 00:01:55.720]  聖經裡面不是講這類的
[00:01:55.720 --> 00:01:59.520]  但怎樣會用家庭這個事情呢
[00:01:59.520 --> 00:02:01.200]  這件事就跟當時
[00:02:01.200 --> 00:02:03.200]  咦,這個很有趣
[00:02:03.200 --> 00:02:05.200]  是,跟當時這個背景
[00:02:05.200 --> 00:02:08.240]  是,跟社會的背景有關係的
[00:02:08.240 --> 00:02:13.440]  當時的羅馬社會是一個用家庭做單位
[00:02:13.440 --> 00:02:14.240]  即是什麼意思呢
[00:02:14.240 --> 00:02:17.080]  這個對我們今天是有點遙遠的
[00:02:17.080 --> 00:02:18.640]  因為今天我們不是這樣想的
[00:02:18.640 --> 00:02:20.600]  今天,雖然當然我們有父母
[00:02:20.600 --> 00:02:22.640]  但是我們很多時候是自己上學
[00:02:22.640 --> 00:02:24.520]  就是自己做事的
[00:02:24.520 --> 00:02:26.720]  但在當時的社會裡面
[00:02:26.720 --> 00:02:30.480]  其實定義一個人是透過他的家庭去定義的
[00:02:30.480 --> 00:02:32.280]  所以例如這一張是什麼呢
[00:02:32.280 --> 00:02:35.320]  這一張是當時一些很傳統
[00:02:35.320 --> 00:02:37.000]  即是很完美的羅馬家庭
[00:02:37.000 --> 00:02:37.920]  為什麼呢
[00:02:37.920 --> 00:02:39.800]  即是當年有個父親、有個母親
[00:02:39.800 --> 00:02:41.520]  以及有很多子女
[00:02:41.520 --> 00:02:43.880]  即是這個,如果我們用回我們中國人
[00:02:43.880 --> 00:02:44.960]  有時候想起想法
[00:02:44.960 --> 00:02:47.680]  即是兒孫換堂就有點類似
[00:02:47.680 --> 00:02:50.080]  那當年羅馬人是有點不同的
[00:02:50.080 --> 00:02:51.480]  就是什麼呢
[00:02:51.480 --> 00:02:53.240]  就是他們有個叫一家之住
[00:02:53.240 --> 00:02:55.720]  即是那個頭兒
[00:02:55.720 --> 00:02:57.560]  這個我們都容易明白的
[00:02:57.560 --> 00:02:59.680]  因為我們的文化都有這件事
[00:02:59.680 --> 00:03:01.080]  即是中國人的文化
[00:03:01.080 --> 00:03:03.640]  都有一家之住這件事
[00:03:03.640 --> 00:03:06.080]  但是在當時的社會裡面
[00:03:06.080 --> 00:03:09.000]  為什麼要這麼強調這個一家之住呢
[00:03:09.000 --> 00:03:10.360]  當然主要是男性
[00:03:10.360 --> 00:03:12.960]  即是當時社會的歷史上面
[00:03:12.960 --> 00:03:17.280]  因為那時候這個一家之住造成怎樣呢
[00:03:17.280 --> 00:03:19.000]  是足以令人覺得
[00:03:19.000 --> 00:03:20.720]  到底這個是什麼群體來的
[00:03:20.720 --> 00:03:24.080]  即是簡單的說,如果原來這個爸爸
[00:03:24.080 --> 00:03:27.400]  原來那個爸爸是很難賭的
[00:03:27.400 --> 00:03:29.520]  即是很喜歡賭錢的,又不養家的
[00:03:29.520 --> 00:03:32.720]  你就覺得,嘩,這個家庭這麼羞家
[00:03:32.720 --> 00:03:34.280]  即這個是當時的想法,當年
[00:03:34.280 --> 00:03:35.640]  不是今天的想法
