
[00:00:00.000 --> 00:00:02.840]  弟兄姊妹,平安!
[00:00:02.840 --> 00:00:07.060]  很高興今天早上可以和大家一起來敬拜
[00:00:07.060 --> 00:00:11.200]  我們正度月先請大家一起來禱告
[00:00:11.200 --> 00:00:15.500]  天父,感謝祢,讓我們今天能夠聚集在一起
[00:00:15.500 --> 00:00:20.800]  感謝祢愛我們,昭著我們
[00:00:20.800 --> 00:00:25.740]  求祢在我們的心裡說話,將祢的話語打開
[00:00:25.740 --> 00:00:30.220]  讓我們能夠從祢的話語裡學習,成長
[00:00:30.220 --> 00:00:32.920]  讓我們知道如何跟隨耶穌基督
[00:00:32.920 --> 00:00:36.880]  我祈禱教堂,奉主名求,阿們
[00:00:36.880 --> 00:00:39.280]  今天講的是「患難中的教會」
[00:00:39.280 --> 00:00:43.200]  其實我有想過用「致死中心」作為題目
[00:00:43.200 --> 00:00:47.500]  不過好像有點嚇人,所以改了一下
[00:00:47.500 --> 00:00:51.760]  不知道大家想起「患難中的教會」會想起什麼?
[00:00:51.760 --> 00:00:58.660]  不知道你們覺得香港的教會這幾年裡有沒有經歷過「患難中的教會」?
[00:00:58.660 --> 00:01:00.660]  可能多多少少都有
[00:01:00.660 --> 00:01:02.960]  這幾年的疫情和移民潮
[00:01:02.960 --> 00:01:07.260]  讓教會流失了許多信徒,甚至一些教務同工
[00:01:07.260 --> 00:01:11.040]  也面對許多艱難和挑戰
[00:01:11.040 --> 00:01:12.880]  不過今天我們經文裡的主角
[00:01:12.880 --> 00:01:15.320]  就是「士梅拿教會」所經歷的
[00:01:15.320 --> 00:01:19.720]  是另一種「患難中的教會」和外在的逼迫有關
[00:01:19.720 --> 00:01:25.040]  今年2月的時候,我也有跟大家分享過港島的信息
[00:01:25.040 --> 00:01:29.320]  我相信大家都不會記得我們講了什麼
[00:01:29.320 --> 00:01:30.200]  這麼久了
[00:01:30.200 --> 00:01:32.040]  其實當時我也是講啟示錄
[00:01:32.040 --> 00:01:35.320]  講的是七教會書信的第一封
[00:01:35.320 --> 00:01:37.920]  給爾弗所教會的信
[00:01:37.920 --> 00:01:40.360]  今天跟大家分享的就是第二封的書信
[00:01:40.360 --> 00:01:42.360]  寫給士梅拿教會的信
[00:01:42.360 --> 00:01:47.720]  剛才主席讀了二章8-11節
[00:01:47.720 --> 00:01:51.800]  當時也講過啟示錄這本書的背景
[00:01:51.800 --> 00:01:53.640]  啟示錄是聖經最後一本書
[00:01:53.640 --> 00:01:55.400]  它的題材是啟應文學
[00:01:55.400 --> 00:01:59.640]  通常裡面包含很多的象徵、圖像和語言
[00:01:59.640 --> 00:02:03.120]  有些人會存著一種好奇甚至獵奇的心態去讀
[00:02:03.120 --> 00:02:04.400]  曾經有人告訴我
[00:02:04.400 --> 00:02:07.080]  他說他初信主義的時候第一卷就是讀啟示錄
[00:02:07.080 --> 00:02:09.080]  因為覺得很好奇
