
[00:00:00.000 --> 00:00:01.060]  好 弟兄姊妹
[00:00:01.060 --> 00:00:04.360]  今天要給大家分享的題目是
[00:00:04.360 --> 00:00:06.000]  與神相交
[00:00:06.000 --> 00:00:10.640]  我會分兩次把這個題目會講完
[00:00:10.640 --> 00:00:12.040]  今天會講
[00:00:12.040 --> 00:00:14.040]  其中的一部分
[00:00:14.040 --> 00:00:15.000]  那
[00:00:15.000 --> 00:00:17.920]  經文是記載在約翰一書的
[00:00:17.920 --> 00:00:20.520]  一章五節到二章的二節
[00:00:20.520 --> 00:00:24.280]  接下來的講道我還是會繼續
[00:00:24.280 --> 00:00:26.000]  約翰一書系列
[00:00:26.000 --> 00:00:28.960]  希望能夠藉著這一系列的講道
[00:00:29.000 --> 00:00:30.840]  可以能夠幫助弟兄姊妹
[00:00:30.840 --> 00:00:35.000]  對約翰一書有更深的認識和瞭解
[00:00:35.000 --> 00:00:38.680]  也對神的話語能夠更加的明白
[00:00:38.680 --> 00:00:39.840]  不只是明白
[00:00:39.840 --> 00:00:41.240]  也願我們每個人
[00:00:41.240 --> 00:00:43.880]  都可以實踐神的教導
[00:00:43.880 --> 00:00:47.400]  在上一次有跟大家
[00:00:47.400 --> 00:00:51.560]  講過約翰一書的一章一到四節
[00:00:51.560 --> 00:00:53.120]  今天我們會接著講
[00:00:53.120 --> 00:00:54.840]  從第五節開始
[00:00:54.840 --> 00:00:57.800]  我想先和大家一起讀一下
[00:00:57.800 --> 00:00:59.440]  今天要講的經文
[00:00:59.440 --> 00:01:01.840]  一二起
[00:01:01.840 --> 00:01:04.240]  神就是光
[00:01:04.240 --> 00:01:06.080]  在他毫無黑暗
[00:01:06.080 --> 00:01:08.800]  這是我們從主所聽見
[00:01:08.800 --> 00:01:10.960]  又報給你們的信息
[00:01:10.960 --> 00:01:13.840]  我們若說是與神相交
[00:01:13.840 --> 00:01:15.840]  卻仍在黑暗裡行
[00:01:15.840 --> 00:01:17.560]  就是說謊話
[00:01:17.560 --> 00:01:19.040]  不行真理了
[00:01:19.040 --> 00:01:21.800]  我們若在光明中行
[00:01:21.800 --> 00:01:24.040]  如同神在光明中
[00:01:24.040 --> 00:01:25.760]  就彼此相交
[00:01:26.160 --> 00:01:28.240]  他兒子耶穌的血
[00:01:28.240 --> 00:01:31.160]  也洗盡我們一切的罪
[00:01:31.160 --> 00:01:33.360]  我們若說自己無罪
[00:01:33.360 --> 00:01:35.800]  便是自欺
[00:01:35.800 --> 00:01:37.920]  真理不在我們心裡了
[00:01:37.920 --> 00:01:40.080]  我們若認自己的罪
[00:01:40.080 --> 00:01:42.280]  神是信實的
[00:01:42.280 --> 00:01:43.560]  是公義的
[00:01:43.560 --> 00:01:45.560]  必要赦免我們的罪
[00:01:45.560 --> 00:01:48.640]  洗盡我們一切的不義
[00:01:48.640 --> 00:01:51.360]  我們若說自己沒有犯過罪
[00:01:51.360 --> 00:01:54.160]  便是以神為說謊的
[00:01:54.400 --> 00:01:57.040]  祂的道也不在我們心裡了
[00:01:57.040 --> 00:01:59.160]  我小子們
[00:01:59.160 --> 00:02:01.400]  我將這些話寫給你們
[00:02:01.400 --> 00:02:04.280]  是要叫你們不犯罪
[00:02:04.280 --> 00:02:05.720]  若有人犯罪
[00:02:05.720 --> 00:02:07.000]  在父那裡
[00:02:07.000 --> 00:02:09.040]  我們有一位宗保
[00:02:09.040 --> 00:02:11.480]  就是那義者耶穌基督
[00:02:11.480 --> 00:02:15.840]  他為我們的罪做了挽回祭
[00:02:15.840 --> 00:02:18.080]  不是單為我們的罪
[00:02:18.080 --> 00:02:21.040]  也是為普天下人的罪
[00:02:22.560 --> 00:02:25.000]  這一段的經文是承接
[00:02:25.000 --> 00:02:27.600]  第一節到第四節
[00:02:27.600 --> 00:02:30.880]  大家不曉得還記不記得
[00:02:30.880 --> 00:02:33.320]  我上次所講的這些內容
[00:02:33.320 --> 00:02:34.040]  上次
[00:02:34.040 --> 00:02:36.800]  講的是一到四節
[00:02:36.800 --> 00:02:39.120]  我跟大家重溫一下
[00:02:39.120 --> 00:02:41.440]  上次的題目是生命之道
[00:02:41.440 --> 00:02:44.520]  我又講了幾個方面的內容
[00:02:44.520 --> 00:02:45.320]  包括
[00:02:45.320 --> 00:02:48.640]  生命之道是先存永在的
[00:02:48.640 --> 00:02:51.320]  生命之道是真實可見的
[00:02:51.800 --> 00:02:54.400]  生命之道是自我顯現的
[00:02:54.400 --> 00:02:57.240]  生命之道是被人傳揚的
