
[00:00:00.000 --> 00:00:04.040]  如果你今天收到一個電話
[00:00:04.040 --> 00:00:06.280]  是美國總統打給你的
[00:00:06.280 --> 00:00:08.280]  他說 余寧
[00:00:08.280 --> 00:00:10.540]  或者 莊璇
[00:00:10.540 --> 00:00:12.420]  你
[00:00:12.420 --> 00:00:15.080]  我邀請你來白宮
[00:00:15.080 --> 00:00:16.920]  跟我相處一天
[00:00:16.920 --> 00:00:19.140]  24小時你跟著我
[00:00:19.140 --> 00:00:21.180]  我打電話你聽到
[00:00:21.180 --> 00:00:23.020]  我開會你坐在我旁邊
[00:00:23.020 --> 00:00:25.860]  我簽署法令你全部看到
[00:00:25.860 --> 00:00:28.080]  我做什麼決定你都看到
[00:00:28.080 --> 00:00:29.840]  你喜不喜歡
[00:00:30.600 --> 00:00:33.620]  喜不喜歡跟美國總統24小時
[00:00:33.620 --> 00:00:35.220]  看他怎麼運作
[00:00:35.220 --> 00:00:38.320]  你說好啊
[00:00:38.320 --> 00:00:40.000]  那我可以去白宮
[00:00:40.000 --> 00:00:43.860]  看看究竟一個最有權勢的總統
[00:00:43.860 --> 00:00:44.980]  怎麼做事
[00:00:44.980 --> 00:00:48.560]  如果那個不是美國總統
[00:00:48.560 --> 00:00:50.580]  而是中國的總書記
[00:00:50.580 --> 00:00:53.700]  叫你去中南海陪他一天
[00:00:53.700 --> 00:00:55.980]  哇 還好
[00:00:55.980 --> 00:00:58.780]  我可以學普通話
[00:01:00.480 --> 00:01:02.600]  如果那個不是國家元首
[00:01:02.600 --> 00:01:05.520]  而是舉世馳名的投資者
[00:01:05.520 --> 00:01:07.480]  巴菲特
[00:01:07.480 --> 00:01:09.020]  你來跟我一天
[00:01:09.020 --> 00:01:10.620]  我買股票你可以買
[00:01:10.620 --> 00:01:11.940]  我賣你賣
[00:01:11.940 --> 00:01:15.560]  當然他買一百萬股你就買一股
[00:01:15.560 --> 00:01:17.680]  這樣還好
[00:01:17.680 --> 00:01:21.560]  如果那個不是這三位仁兄
[00:01:21.560 --> 00:01:23.000]  而是上帝
[00:01:23.000 --> 00:01:26.440]  上帝說陳娟你來跟我一天
[00:01:26.440 --> 00:01:29.380]  一天之後你一定回來
[00:01:29.380 --> 00:01:30.560]  是的
[00:01:30.560 --> 00:01:32.560]  這樣
[00:01:32.560 --> 00:01:34.540]  看看上帝怎麼運作
[00:01:34.540 --> 00:01:36.160]  好不好
[00:01:36.160 --> 00:01:37.700]  今天你有這樣的機會
[00:01:37.700 --> 00:01:40.800]  今天我跟大家一起做一個加里尼一天
[00:01:40.800 --> 00:01:41.960]  也是免費的
[00:01:41.960 --> 00:01:45.180]  我們跟耶穌一起遊足二十四小時
[00:01:45.180 --> 00:01:48.600]  看看我們的耶穌基督
[00:01:48.600 --> 00:01:50.620]  在世上生活
[00:01:50.620 --> 00:01:53.320]  他怎麼過他一個典型的一天
[00:01:53.320 --> 00:01:57.220]  而在這個經歷裡面
[00:01:57.220 --> 00:01:59.580]  我們究竟去想
[00:01:59.580 --> 00:02:02.920]  上帝要你跟我跟隨著耶穌基督
[00:02:02.920 --> 00:02:05.660]  學到什麼功課
[00:02:05.660 --> 00:02:09.080]  我們就開始了
[00:02:09.080 --> 00:02:13.920]  耶穌基督的故事
[00:02:13.920 --> 00:02:16.160]  《馬可福音》第六章的故事
[00:02:16.160 --> 00:02:19.100]  是在加里尼的海邊
[00:02:19.100 --> 00:02:20.180]  就是湖邊
[00:02:20.180 --> 00:02:24.680]  你知道耶穌基督三年半的全道生涯
[00:02:24.680 --> 00:02:28.120]  其實的地方是很少的
[00:02:28.120 --> 00:02:31.620]  就是從加里尼北邊到耶路撒冷南邊
[00:02:31.620 --> 00:02:35.440]  相差大約一百五十公里
[00:02:35.440 --> 00:02:36.260]  是這麼多
[00:02:36.260 --> 00:02:39.060]  你沒有想像到這個創天造地
[00:02:39.060 --> 00:02:40.960]  榮耀尊貴的上帝
[00:02:40.960 --> 00:02:42.280]  他降世成仁
[00:02:42.280 --> 00:02:45.360]  就是一個小小的羅馬殖民地生活
[00:02:45.360 --> 00:02:46.920]  他沒有周遊列國
[00:02:46.920 --> 00:02:49.360]  他沒有去中國洛陽
[00:02:49.360 --> 00:02:51.860]  沒有去羅馬
[00:02:51.860 --> 00:02:52.900]  大都會
[00:02:52.900 --> 00:02:54.740]  他就在一個這麼小的地方
[00:02:54.740 --> 00:02:56.180]  來做全道
[00:02:56.180 --> 00:02:59.340]  這樣的生涯是不可思議的
[00:02:59.340 --> 00:03:02.680]  今天的故事開始就是
