
[00:00:00.000 --> 00:00:05.120]  首先我們要做一些小溫習
[00:00:05.120 --> 00:00:09.720]  福音是 tangible 的
[00:00:09.720 --> 00:00:16.120]  福音是可見可觸摸的
[00:00:16.120 --> 00:00:20.220]  福音的盼望是在於耶穌基督
[00:00:20.220 --> 00:00:25.340]  耶穌基督是道成肉身的神
[00:00:25.340 --> 00:00:30.460]  是彌賽亞,是救主,是主人
[00:00:30.460 --> 00:00:33.780]  是我們的中寶
[00:00:33.780 --> 00:00:40.440]  我們是需要耶穌基督為我們的辯護
[00:00:40.440 --> 00:00:44.280]  叫我們的罪能夠得到赦免
[00:00:44.280 --> 00:00:51.460]  最大的謊話就是反福音
[00:00:51.460 --> 00:00:55.820]  就是否認耶穌基督是彌賽亞
[00:00:55.820 --> 00:01:01.860]  否認耶穌是道成肉身的神的兒子
[00:01:01.860 --> 00:01:08.900]  在2章22至23節
[00:01:08.900 --> 00:01:12.300]  「誰是說謊話的呢?
[00:01:12.300 --> 00:01:16.100]  不是那不認耶穌為基督的嗎?
[00:01:16.100 --> 00:01:21.900]  不認父與子的,這就是敵基督的;
[00:01:21.900 --> 00:01:27.300]  凡不認子的,就沒有父;
[00:01:27.300 --> 00:01:31.980]  認子的,連父也有了。」
[00:01:31.980 --> 00:01:34.380]  所以約翰是給我們提醒
[00:01:34.380 --> 00:01:39.580]  我們必須要將從起初聽見的福音
[00:01:39.580 --> 00:01:42.580]  傳在我們心裏
[00:01:42.580 --> 00:01:45.180]  就是住在子的裏面
[00:01:45.180 --> 00:01:49.100]  也是住在父的裏面
[00:01:49.100 --> 00:01:53.460]  主所應許我們的就是永遠的生命
[00:01:53.460 --> 00:01:59.180]  我們一同去禱告
[00:01:59.180 --> 00:02:01.980]  親愛的主,多謝祢讓我們一同去敬拜祢
[00:02:01.980 --> 00:02:03.540]  聽祢的話語
[00:02:03.540 --> 00:02:05.300]  求祢恩待我們
[00:02:05.300 --> 00:02:07.740]  讓我們眾人有美好的耳朵
[00:02:07.740 --> 00:02:10.980]  我們聽得見,我們就相信
[00:02:10.980 --> 00:02:19.300]  我們的禱告是奉主耶穌基督的名字求祂們
[00:02:19.300 --> 00:02:23.980]  今天我們會一起讀第三章
[00:02:23.980 --> 00:02:30.060]  第三章是講到我們的身份
[00:02:30.060 --> 00:02:31.820]  第二節
[00:02:31.820 --> 00:02:37.420]  就是講到身份的意涵
[00:02:37.420 --> 00:02:44.420]  我們留意約翰是怎樣描述身份
[00:02:44.420 --> 00:02:51.780]  在約翰一書的三章一至三節
[00:02:51.780 --> 00:02:56.100]  「你看父子給我們是何等的慈愛
[00:02:56.100 --> 00:03:00.060]  使我們得稱為神的兒女
[00:03:00.060 --> 00:03:03.700]  我們也真是他的兒女
[00:03:03.700 --> 00:03:10.140]  世人所以不認識我們是因未曾認識他
[00:03:10.140 --> 00:03:12.060]  親愛的弟兄啊
[00:03:12.060 --> 00:03:15.060]  我們現在是神的兒女
[00:03:15.060 --> 00:03:18.660]  將來如何還未顯明
[00:03:18.660 --> 00:03:21.580]  但我們知道主若顯現
[00:03:21.580 --> 00:03:24.060]  我們必要像他
[00:03:24.060 --> 00:03:28.500]  因為必得見他的真體」
[00:03:28.500 --> 00:03:30.500]  即是本相
[00:03:30.500 --> 00:03:33.420]  「凡向他有者指望的
[00:03:33.420 --> 00:03:35.420]  就潔淨自己
[00:03:35.420 --> 00:03:39.500]  像他潔淨一樣」
[00:03:39.500 --> 00:03:45.380]  約翰在這一段是講到神的兒女的身份
[00:03:45.380 --> 00:03:46.620]  在新約當中
[00:03:46.620 --> 00:03:51.860]  講到神的兒女的語言是不多見的
[00:03:51.860 --> 00:03:55.460]  差不多在新約是見不到這樣的說法
[00:03:55.460 --> 00:03:56.700]  我們留意第一節
[00:03:56.700 --> 00:03:59.860]  你們一起去看你們手上的聖經
[00:03:59.860 --> 00:04:01.420]  第一節
[00:04:01.420 --> 00:04:06.980]  「你看父子給我們是何等的慈愛
[00:04:06.980 --> 00:04:10.660]  使我們得稱為神的兒女」
[00:04:10.660 --> 00:04:14.340]  第一個單詞就是「你看」
[00:04:14.340 --> 00:04:18.300]  「看」的意思是必然看的意思
[00:04:18.300 --> 00:04:20.900]  這是一個命令
[00:04:20.900 --> 00:04:22.460]  約翰呼致我們
[00:04:22.460 --> 00:04:24.460]  就是將我們的注意力
[00:04:24.460 --> 00:04:28.980]  看在一些非凡的事實上
[00:04:28.980 --> 00:04:31.260]  這個年代是一個數碼的年代
[00:04:31.260 --> 00:04:34.580]  我們有很多眼目的刺激
[00:04:34.580 --> 00:04:35.980]  但約翰說
[00:04:35.980 --> 00:04:39.180]  「關上你的肉體的眼睛
[00:04:39.180 --> 00:04:42.580]  去看看這個短暫的世界」
[00:04:42.580 --> 00:04:44.460]  其實不要看
[00:04:44.460 --> 00:04:48.060]  不要看這個短暫的世界而去分心
[00:04:48.060 --> 00:04:52.020]  而是「睜開你的信仰的眼睛
[00:04:52.020 --> 00:04:56.660]  去看一個屬靈的事實和真理」
[00:04:56.660 --> 00:04:58.740]  再聽多一次
[00:04:58.740 --> 00:05:05.060]  「你看父子給我們是何等的慈愛」
[00:05:05.060 --> 00:05:08.620]  意思是甚麼
[00:05:08.620 --> 00:05:11.340]  是怎樣的慈愛
[00:05:11.340 --> 00:05:14.860]  約翰好像叫大家一起去思考一下
[00:05:14.860 --> 00:05:16.540]  量度一下天父的愛
[00:05:16.540 --> 00:05:21.060]  有兩個準繩可以量度到天父神的愛
[00:05:21.060 --> 00:05:23.060]  第一個就是十字架的愛
[00:05:23.060 --> 00:05:27.300]  就是在約翰一書的四章說到
[00:05:27.300 --> 00:05:30.500]  「神先愛我們,差遣祂的兒子
[00:05:30.500 --> 00:05:35.460]  在十字架上成為贖罪劑」
[00:05:35.460 --> 00:05:38.300]  就是耶穌基督為我們死
[00:05:38.300 --> 00:05:41.060]  第一個衡量就是十字架的愛
[00:05:41.060 --> 00:05:44.780]  第二個衡量的準繩是甚麼
[00:05:44.780 --> 00:05:48.100]  就是作兒女的因典
[00:05:48.100 --> 00:05:52.220]  神已經接納了你們
[00:05:52.220 --> 00:05:55.180]  看你們成為神的兒女
[00:05:55.180 --> 00:05:57.300]  有兒女的權利
[00:05:57.300 --> 00:06:00.100]  你們本來是叛逆的人
[00:06:00.100 --> 00:06:00.860]  你們是罪人
[00:06:00.860 --> 00:06:02.860]  你們是神的敵人
[00:06:02.860 --> 00:06:05.740]  是應該被詛咒的
[00:06:05.740 --> 00:06:09.620]  但是卻被稱為神的兒女
[00:06:09.620 --> 00:06:12.620]  被當作為神的兒女
[00:06:12.620 --> 00:06:17.220]  並且和耶穌基督同作後事
[00:06:17.220 --> 00:06:20.700]  這位神的愛真是厲害
[00:06:20.700 --> 00:06:25.420]  祂竟然收養祂的敵人
[00:06:25.420 --> 00:06:30.700]  卻是懲罰祂自己的愛子
[00:06:30.700 --> 00:06:35.500]  這個叫約翰是目瞪口呆的
[00:06:35.500 --> 00:06:39.940]  所以祂說:我看見父神所賜的愛
[00:06:39.940 --> 00:06:41.340]  是何等的愛
[00:06:41.340 --> 00:06:46.460]  所以我的看見是驚訝來的
[00:06:46.460 --> 00:06:49.300]  第二個的單詞
[00:06:49.300 --> 00:06:51.140]  就是在第一節的
[00:06:51.140 --> 00:06:56.540]  「我們也真是祂的兒女」的當中
[00:06:56.540 --> 00:06:59.540]  「也真是」
[00:06:59.540 --> 00:07:01.540]  第一節就說
[00:07:01.540 --> 00:07:04.340]  「你看父子給我們是何等的慈愛
[00:07:04.340 --> 00:07:06.740]  使我們得稱為神的兒女
[00:07:06.740 --> 00:07:12.340]  我們也真是祂的兒女」
[00:07:12.340 --> 00:07:15.980]  當我們看這一節
[00:07:15.980 --> 00:07:22.380]  這句詞「也真是祂的兒女」的時候
