
[00:00:00.000 --> 00:00:06.220]  昨天晚上不知道大家有沒有留意到在東南亞里面有一個空難
[00:00:06.220 --> 00:00:14.540]  QC8501這個飛機離開了印尼的四水機場
[00:00:14.540 --> 00:00:18.780]  開往新加坡的路程當中失去了聯繫
[00:00:18.780 --> 00:00:24.180]  最後一個聯繫點就是這個飛機的機長說
[00:00:24.180 --> 00:00:26.180]  我們要偏離這個航道
[00:00:26.180 --> 00:00:29.500]  因爲當中開始遇到有風雨
[00:00:29.500 --> 00:00:32.580]  這個是最後一次的聯繫
[00:00:32.580 --> 00:00:35.660]  我爲什麼特別記得這個亞洲航空
[00:00:35.660 --> 00:00:39.860]  是因爲我以前去馬來西亞去複試的時候
[00:00:39.860 --> 00:00:42.260]  曾經坐過這個航空公司
[00:00:42.260 --> 00:00:45.060]  這個是一個廉價的航空公司
[00:00:45.060 --> 00:00:48.960]  那麼我記得第一次坐它的時候就已經誤點了
[00:00:48.960 --> 00:00:50.700]  所以很有印象
[00:00:50.700 --> 00:00:57.300]  我就往下去看他們列入的在飛機上面的人的名字
[00:00:57.300 --> 00:00:59.620]  當中有一個新加坡籍的人
[00:00:59.620 --> 00:01:01.500]  一個馬來西亞籍的人
[00:01:01.500 --> 00:01:04.060]  有一個法國人
[00:01:04.060 --> 00:01:08.740]  有156個印尼的人
[00:01:08.740 --> 00:01:12.220]  有三個韓國人
[00:01:12.220 --> 00:01:15.580]  那我看到這三個韓國人我就特別有感動
[00:01:15.580 --> 00:01:18.740]  不知道爲什麼特別爲他禱告
[00:01:18.740 --> 00:01:22.060]  結果過了大概一個小時以後
[00:01:22.060 --> 00:01:23.460]  我就收到消息
[00:01:23.460 --> 00:01:27.860]  原來這三個人是一個家庭
[00:01:27.860 --> 00:01:33.020]  這對夫婦是宣教士
[00:01:33.020 --> 00:01:37.940]  大概是這對宣教士夫婦帶着她的兒子或者女兒
[00:01:37.940 --> 00:01:41.500]  出遊的時候遇到這個事情
[00:01:41.500 --> 00:01:44.460]  這對宣教士
[00:01:44.460 --> 00:01:46.580]  就是我們現在用活活生命
[00:01:46.580 --> 00:01:51.220]  拆遣出去教會的宣教士
[00:01:51.220 --> 00:01:54.660]  給我想起了20多年前
[00:01:54.660 --> 00:01:58.420]  有一對宣教士去了鄭州
[00:01:58.420 --> 00:02:05.820]  她的先生在宣教的路程出門的時候
[00:02:05.820 --> 00:02:09.580]  遇到了交通意外
[00:02:09.580 --> 00:02:13.820]  樓下是她一個女兒跟她的太太
[00:02:13.820 --> 00:02:17.220]  結果這個太太就決定
[00:02:17.220 --> 00:02:21.940]  把她的先生安裝在中國的地方
[00:02:21.940 --> 00:02:27.140]  然後把自己的名字刻在這個墓碑的旁邊
[00:02:27.140 --> 00:02:29.580]  人家問她
[00:02:29.580 --> 00:02:32.020]  你們是從韓國來的宣教士
[00:02:32.020 --> 00:02:34.260]  爲何不回去韓國
[00:02:34.260 --> 00:02:37.620]  離開傷心之地
[00:02:37.620 --> 00:02:42.060]  結果這個師母就向這些弟兄姊妹說
[00:02:42.060 --> 00:02:43.460]  她說是的
[00:02:43.460 --> 00:02:47.580]  從人的眼光來說應該是離開
[00:02:47.580 --> 00:02:50.580]  但是我的先生沒有完成
[00:02:50.580 --> 00:02:54.980]  對中國傳福音的使命
[00:02:54.980 --> 00:03:00.460]  所以要幫助我的先生完成在地上的使命
[00:03:00.460 --> 00:03:01.580]  過了很多年以後
[00:03:01.580 --> 00:03:04.060]  有一個宣教士聽到這個見證
[00:03:04.060 --> 00:03:05.980]  心裏面感動
[00:03:05.980 --> 00:03:08.780]  就寫了一個詩歌
[00:03:08.780 --> 00:03:14.060]  這個詩歌裏面沒有任何的哀怨
[00:03:14.060 --> 00:03:17.060]  沒有一個矛盾
[00:03:17.060 --> 00:03:21.060]  只是宋贊神給我們的恩典
[00:03:21.060 --> 00:03:26.660]  後來這個詩歌就成爲東南亞很多大學生
[00:03:26.660 --> 00:03:32.060]  決志宣教的一個感動的詩歌
[00:03:32.060 --> 00:03:34.860]  我相信這三個家庭
[00:03:34.860 --> 00:03:41.460]  這三個人在完成神的使命的當中
[00:03:41.460 --> 00:03:44.060]  被神接取
[00:03:44.060 --> 00:03:47.060]  是因爲神要留下一個道種
[00:03:47.060 --> 00:03:52.260]  這個道種要建立教會
[00:03:52.260 --> 00:04:00.260]  科目神在患難的時候是非常困難
[00:04:00.260 --> 00:04:06.260]  四篇的四十二篇產生了詩歌篇的第二部
[00:04:06.260 --> 00:04:09.460]  前面的八首詩歌
[00:04:09.460 --> 00:04:15.060]  都是配上了這個的歌詞
[00:04:15.060 --> 00:04:26.060]  透過可拉後裔的立位支派的一個成員
[00:04:26.060 --> 00:04:31.060]  叫以撒寫上了這個詩歌
[00:04:31.060 --> 00:04:34.460]  這個詩歌其實是不容易來唸
[00:04:34.460 --> 00:04:41.460]  因爲裏面記述到很多歷史跟與神關係的事情
[00:04:41.460 --> 00:04:44.460]  然而這個詩歌卻引導我們
[00:04:44.460 --> 00:04:50.660]  怎麼樣去看一個基督徒如何科目神
[00:04:50.660 --> 00:04:54.660]  我們的信仰起源是耶穌基督
