
[00:00:00.000 --> 00:00:05.000]  愛兒女勝過愛我的,不配作我的門徒。
[00:00:05.000 --> 00:00:10.000]  不配自己的十字架跟從我的,不配作我的門徒。
[00:00:10.000 --> 00:00:13.000]  得著聖名的,要喪失聖名。
[00:00:13.000 --> 00:00:17.000]  為我喪失聖名的,要得著聖名。
[00:00:17.000 --> 00:00:20.000]  接納你們的,就是接納我。
[00:00:20.000 --> 00:00:25.000]  接納我,就是接納差我來的那位。
[00:00:25.000 --> 00:00:29.000]  把先知當作先知接納的,
[00:00:29.000 --> 00:00:31.000]  必得先知的賞賜。
[00:00:31.000 --> 00:00:33.000]  把義人當作義人接納的,
[00:00:33.000 --> 00:00:36.000]  必得義人的賞賜。
[00:00:36.000 --> 00:00:38.000]  無論誰,只因門徒的名,
[00:00:38.000 --> 00:00:43.000]  就算擺一杯涼水給著小子中的一個渴,
[00:00:43.000 --> 00:00:48.000]  我實在告訴你們,他一定會得到賞賜。
[00:00:48.000 --> 00:00:52.000]  這段經文是很重要的,
[00:00:52.000 --> 00:00:56.000]  我們一起低頭求主去帶領我們。
[00:00:56.000 --> 00:01:00.000]  天父求你幫助我們明白你的話語,
[00:01:00.000 --> 00:01:04.000]  也藉著聖名去開啟我們的心,
[00:01:04.000 --> 00:01:07.000]  叫你的話成為了我們的指引,
[00:01:07.000 --> 00:01:09.000]  改變我們的生命。
[00:01:09.000 --> 00:01:12.000]  我們這樣祈禱奉主耶穌基督的名,
[00:01:12.000 --> 00:01:13.000]  阿門。
[00:01:13.000 --> 00:01:18.000]  這段經文就講到我們做門徒的態度。
[00:01:18.000 --> 00:01:22.000]  有一位叫張志恩醫生,
[00:01:22.000 --> 00:01:29.000]  他是沙田威爾斯親王醫院的一個醫生,
[00:01:29.000 --> 00:01:35.000]  他是在放射診斷的科裡面做醫生的。
[00:01:35.000 --> 00:01:37.000]  在2002年,
[00:01:37.000 --> 00:01:42.000]  他大概在6月至9月就去了一個
[00:01:42.000 --> 00:01:46.000]  短期的宣教服務隊裡面去工作。
[00:01:46.000 --> 00:01:47.000]  他去到哪些地方呢?
[00:01:47.000 --> 00:01:49.000]  去到一些比較落後的地方,
[00:01:49.000 --> 00:01:57.000]  去到南蘇丹、肯瓦、索馬里的邊界幫助難民。
[00:01:57.000 --> 00:02:01.000]  你想一下,那些難民營的環境很差。
[00:02:01.000 --> 00:02:03.000]  去這些地方已經很難得了,
[00:02:03.000 --> 00:02:07.000]  但是張醫生還是在什麼時間去呢?
[00:02:07.000 --> 00:02:11.000]  就是當他剛剛醫學院畢業的時候,
[00:02:11.000 --> 00:02:19.000]  他也有公立的醫院,政府的公立醫院,
[00:02:19.000 --> 00:02:27.000]  給了一個三年的合約給他。
[00:02:27.000 --> 00:02:33.000]  張醫生就推了,
[00:02:33.000 --> 00:02:35.000]  他就要去這個旅程。
[00:02:35.000 --> 00:02:39.000]  為什麼能夠使得一位剛剛畢業的人,
[00:02:39.000 --> 00:02:41.000]  連工作都不做,
[00:02:41.000 --> 00:02:43.000]  很好的一個前景,
[00:02:43.000 --> 00:02:46.000]  他這樣放下去做這個工作。
