
[00:00:00.000 --> 00:00:04.360]  今天跟大家一起分享一個舊約的祈禱
[00:00:04.360 --> 00:00:06.280]  有人問什麼意思
[00:00:06.280 --> 00:00:08.160]  志求求志
[00:00:08.160 --> 00:00:09.520]  為什麼呢?
[00:00:09.520 --> 00:00:11.200]  稍後一定會解釋
[00:00:11.200 --> 00:00:15.920]  我小時候很喜歡看漫畫或者兒童故事
[00:00:15.920 --> 00:00:22.080]  大家知不知道有一本小時候的《兒童樂園》
[00:00:22.080 --> 00:00:25.000]  我記得看這個故事很特別感受
[00:00:25.000 --> 00:00:28.520]  有一對老夫婦很好人
[00:00:28.520 --> 00:00:30.920]  但是又比較窮
[00:00:30.920 --> 00:00:33.600]  有一天突然間有個神仙
[00:00:33.600 --> 00:00:34.600]  叮!
[00:00:34.600 --> 00:00:36.280]  在前面又出現了
[00:00:36.280 --> 00:00:37.320]  就問她
[00:00:37.320 --> 00:00:39.680]  你這麼好
[00:00:39.680 --> 00:00:43.320]  因為太太出去了買菜
[00:00:43.320 --> 00:00:44.520]  跟老伯伯說
[00:00:44.520 --> 00:00:45.400]  你這麼好
[00:00:45.400 --> 00:00:47.280]  我就給你三個願望
[00:00:47.280 --> 00:00:49.160]  你要什麼
[00:00:49.160 --> 00:00:50.240]  只要你出聲
[00:00:50.240 --> 00:00:52.880]  你就可以得到了
[00:00:52.880 --> 00:00:53.960]  噓!
[00:00:53.960 --> 00:00:55.320]  就不見了
[00:00:55.320 --> 00:00:56.840]  老伯伯想
[00:00:56.840 --> 00:00:58.440]  是不是眼花呢?
[00:00:58.440 --> 00:01:01.240]  剛才是不是見的東西是真的呢?
[00:01:01.240 --> 00:01:02.600]  哎呀
[00:01:02.600 --> 00:01:04.440]  原來這個伯伯跟我很一樣的
[00:01:04.440 --> 00:01:05.840]  他很喜歡吃什麼呢?
[00:01:05.840 --> 00:01:07.080]  很喜歡吃乳豬
[00:01:07.080 --> 00:01:08.120]  在英國沒什麼乳豬吃
[00:01:08.120 --> 00:01:08.840]  真可憐
[00:01:08.840 --> 00:01:09.680]  好了
[00:01:09.680 --> 00:01:10.400]  他就說
[00:01:10.400 --> 00:01:11.280]  哎呀
[00:01:11.280 --> 00:01:12.520]  先試一下
[00:01:12.520 --> 00:01:14.040]  如果是真的
[00:01:14.040 --> 00:01:17.600]  我希望有一隻乳豬
[00:01:17.600 --> 00:01:18.600]  嘩!
[00:01:18.600 --> 00:01:20.800]  在桌面上真的出了一隻乳豬
[00:01:20.800 --> 00:01:23.160]  剛剛在這個時候太太就回來了
[00:01:23.160 --> 00:01:24.080]  老婆婆就問
[00:01:24.080 --> 00:01:25.600]  你看有一隻乳豬在這裡
[00:01:25.600 --> 00:01:27.200]  我們這麼窮為什麼會有乳豬?
[00:01:27.200 --> 00:01:30.040]  因為有一個神仙告訴我
[00:01:30.040 --> 00:01:31.280]  你有三個願望
[00:01:31.280 --> 00:01:33.040]  只要我說就會有
[00:01:33.040 --> 00:01:34.120]  我就試一下
[00:01:34.120 --> 00:01:34.880]  看看有沒有乳豬
[00:01:34.880 --> 00:01:35.840]  真的有乳豬
[00:01:35.840 --> 00:01:37.320]  嘩!
[00:01:37.320 --> 00:01:39.000]  一說完之後
[00:01:39.000 --> 00:01:41.520]  你猜老婆婆開心嗎?
[00:01:41.520 --> 00:01:43.720]  當然不開心
[00:01:43.720 --> 00:01:45.040]  怎麼搞的?
[00:01:45.040 --> 00:01:46.160]  要乳豬?
[00:01:46.160 --> 00:01:47.720]  你當然要多點東西
[00:01:47.720 --> 00:01:48.720]  乳豬吃完就沒有了
[00:01:48.720 --> 00:01:49.840]  不斷咬
[00:01:49.840 --> 00:01:51.240]  咬到不得了
[00:01:51.240 --> 00:01:53.280]  這次老伯伯就很生氣
[00:01:53.280 --> 00:01:54.040]  你閉嘴
[00:01:54.040 --> 00:01:55.640]  你死了
