
[00:00:00.000 --> 00:00:05.000]  今天我分享的經文是在《賈乃塔書》第一章第十一節到二十四節
[00:00:05.000 --> 00:00:12.000]  我先想問一下大家有沒有看那個無線的那個電視劇的
[00:00:12.000 --> 00:00:17.000]  這是劇 劇倫 劇倫二 對
[00:00:17.000 --> 00:00:22.000]  這是好像前天是那個完了 做完了
[00:00:22.000 --> 00:00:25.000]  但是那個結尾我覺得怪怪的
[00:00:25.000 --> 00:00:30.000]  這是看完還是沒有什麼拿走的
[00:00:30.000 --> 00:00:33.000]  但是那個禮拜三的那一天的那個內容
[00:00:33.000 --> 00:00:35.000]  讓我有一點點的反省
[00:00:35.000 --> 00:00:43.000]  就是那個談到 我不是在這裏去研究那個高天就是否蓋世
[00:00:43.000 --> 00:00:48.000]  亞信他的做法是不是合理的那些問題
[00:00:48.000 --> 00:00:58.000]  這是那一集是講到亞信他冒籤那個瓦文泰的那個證供簽名
[00:00:58.000 --> 00:01:00.000]  他冒籤
[00:01:00.000 --> 00:01:05.000]  所以他反被那個法庭跟澳門的警方調查
[00:01:05.000 --> 00:01:08.000]  那一幕調查那一幕
[00:01:08.000 --> 00:01:15.000]  那個瓦文泰他從重傷的時候所講述的救歌善事是千真萬確的事情
[00:01:15.000 --> 00:01:19.000]  是亞信跟阿樂幫他們寫下來的
[00:01:19.000 --> 00:01:23.000]  是應該有那個顯示真相的笑容
[00:01:23.000 --> 00:01:27.000]  但是原來那份證供就算是千真萬確的內容
[00:01:27.000 --> 00:01:34.000]  全世界包括香港的警方跟澳門的警方都認爲人是高天就殺的
[00:01:34.000 --> 00:01:39.000]  但如果那份顯示真相的證供缺了一個簽名
[00:01:39.000 --> 00:01:44.000]  或者簽名的這不是瓦文泰本人而是冒籤的
[00:01:44.000 --> 00:01:46.000]  是外加的
[00:01:46.000 --> 00:01:50.000]  那證供不但不能夠揭發事情的真相
[00:01:50.000 --> 00:01:55.000]  甚至於其他跟內容有關的人也可能造成傷害
[00:01:55.000 --> 00:02:00.000]  今天我希望藉着加拿大書第一章第11節到24節的經文
[00:02:00.000 --> 00:02:06.000]  跟大家一起去了解我們的信仰有沒有跟這個情況上向的事情
[00:02:06.000 --> 00:02:10.000]  提醒我們該如何更正確的認識耶穌基督的福音
[00:02:10.000 --> 00:02:14.000]  加拿大書是保羅寫給加拿大教會的
[00:02:14.000 --> 00:02:19.000]  加拿大教會是保羅第一次宣教旅程中建立
[00:02:19.000 --> 00:02:23.000]  有一些學者認爲這是保羅最早的書信
[00:02:23.000 --> 00:02:27.000]  另外有一些認爲貼薩羅里加纔是最早的
[00:02:27.000 --> 00:02:30.000]  無論誰是先都好
[00:02:30.000 --> 00:02:36.000]  我相信加拿大書一定是比羅馬書更早完成的
[00:02:36.000 --> 00:02:38.000]  是保羅神學的初期
[00:02:38.000 --> 00:02:42.000]  俗語說三歲定百時
[00:02:42.000 --> 00:02:46.000]  保羅的生命之所以有這麼大的改變
[00:02:46.000 --> 00:02:51.000]  我相信一定跟他信仰的開頭有一個密不可分的關係
[00:02:51.000 --> 00:02:55.000]  另外從書信的格式方面來看
[00:02:55.000 --> 00:03:00.000]  在開始的時候保羅並沒有跟其他的書信一樣
