
[00:00:00.000 --> 00:00:03.000]  不如我們先有祈禱
[00:00:03.000 --> 00:00:08.000]  主耶穌幫助我們能夠對你認識更多
[00:00:08.000 --> 00:00:13.000]  對你的愛也更加多
[00:00:13.000 --> 00:00:18.000]  看管我們在這個知識爆棚的世代
[00:00:18.000 --> 00:00:23.000]  我們不以知識去高舉自己
[00:00:23.000 --> 00:00:31.000]  更加去盡心盡性以愛這位至高的主
[00:00:31.000 --> 00:00:34.000]  我們祈禱奉耶穌的聖名 阿們
[00:00:34.000 --> 00:00:42.000]  武林至尊 寶刀屠龍
[00:00:42.000 --> 00:00:47.000]  號令天下 誰敢不從
[00:00:48.000 --> 00:00:53.000]  倚天不出 誰與爭鋒
[00:00:53.000 --> 00:00:58.000]  剛好這把劍是我今早回到辦公室
[00:00:58.000 --> 00:01:01.000]  看到桌上有人送給我兒子玩的
[00:01:01.000 --> 00:01:04.000]  我就問准我兒子借給爸爸用
[00:01:04.000 --> 00:01:06.000]  不過這把不是倚天劍
[00:01:06.000 --> 00:01:09.000]  下一把應該是螢光劍 沒什麼殺傷力
[00:01:09.000 --> 00:01:15.000]  這段是金庸小說《倚天屠龍記》
[00:01:15.000 --> 00:01:20.000]  很出名的一對秘訣
[00:01:20.000 --> 00:01:24.000]  講到當時武林和派別的高手
[00:01:24.000 --> 00:01:31.000]  為了要尋找屠龍刀和倚天劍這兩把絕頂武器
[00:01:31.000 --> 00:01:37.000]  又或者尋找這兩把武器內藏的武林秘笈
[00:01:37.000 --> 00:01:40.000]  為了要稱霸武林
[00:01:40.000 --> 00:01:43.000]  他們的目的不是為了得到更高的武功
[00:01:43.000 --> 00:01:46.000]  去維護武林的太平
[00:01:46.000 --> 00:01:50.000]  而是相反以暴力去稱霸天下
[00:01:50.000 --> 00:01:51.000]  做天下第一
[00:01:51.000 --> 00:01:55.000]  叫人去臣服於他們的下
[00:01:55.000 --> 00:01:59.000]  耶穌時代也有類似這樣的
[00:01:59.000 --> 00:02:02.000]  人有時要尋找一些知識
[00:02:02.000 --> 00:02:03.000]  讓自己知道更多
[00:02:03.000 --> 00:02:07.000]  就好像當時那些人要學更高的武功
[00:02:07.000 --> 00:02:11.000]  不是為了要這個世界更加的太平
[00:02:11.000 --> 00:02:16.000]  只是為了要讓自己有更大的利益
[00:02:16.000 --> 00:02:18.000]  利益處、權力去壓制人
[00:02:18.000 --> 00:02:20.000]  去滿足自己的私慾
[00:02:20.000 --> 00:02:22.000]  去抬舉自己
[00:02:22.000 --> 00:02:24.000]  當時耶穌時代也有不同的一些
[00:02:24.000 --> 00:02:27.000]  所謂宗教上、信仰上的派別領袖
[00:02:27.000 --> 00:02:31.000]  他們自己也有自己一套所謂神學的理念
[00:02:31.000 --> 00:02:34.000]  而且當然也相信自己那一套才是最絕對正確
[00:02:34.000 --> 00:02:37.000]  才是最神悅立的
[00:02:37.000 --> 00:02:40.000]  所以在當時的宗教、政治、社會環境裏面
[00:02:40.000 --> 00:02:44.000]  這些不同的派別都有很多不同的神學的爭拗
[00:02:44.000 --> 00:02:48.000]  不過因著他們要對付同一個矛盾
[00:02:48.000 --> 00:02:52.000]  耶穌上上責罵他們的生命行為
[00:02:52.000 --> 00:02:54.000]  和神學的錯誤
[00:02:54.000 --> 00:02:56.000]  這位人稱為尼塞亞的人
[00:02:56.000 --> 00:02:59.000]  他們個個都想這個人死
[00:02:59.000 --> 00:03:03.000]  為了這個共同的目標矛盾
[00:03:03.000 --> 00:03:07.000]  這班不同的所謂神學的武林派別高手
[00:03:07.000 --> 00:03:10.000]  走在一起要對付耶穌
[00:03:10.000 --> 00:03:12.000]  其實很多時候他們有這樣的爭拗
[00:03:12.000 --> 00:03:13.000]  不過特別
[00:03:13.000 --> 00:03:16.000]  聖經記載到有一次當耶穌進入耶路撒冷
[00:03:16.000 --> 00:03:17.000]  是過雨節
[00:03:17.000 --> 00:03:20.000]  在釘十字架之前的幾天
[00:03:20.000 --> 00:03:24.000]  這班人聚集在一起商討
[00:03:24.000 --> 00:03:27.000]  可以怎樣趁著這個時機
[00:03:27.000 --> 00:03:29.000]  可以將耶穌剷除
[00:03:29.000 --> 00:03:31.000]  所以今天我們所看的聖經
[00:03:31.000 --> 00:03:33.000]  就講到他們有幾個派別走在一起
[00:03:33.000 --> 00:03:40.000]  想用幾個他們一向認為絕頂的神學難題
[00:03:40.000 --> 00:03:41.000]  去問難耶穌
[00:03:41.000 --> 00:03:44.000]  甚至將耶穌陷於死地
[00:03:44.000 --> 00:03:48.000]  如果我們從一個不能比試的角度去看這件事
[00:03:48.000 --> 00:03:53.000]  這一場差不多可以說是有四個回合的比試
[00:03:53.000 --> 00:03:56.000]  首先是耶穌的三批敵人首先出招
[00:03:56.000 --> 00:03:58.000]  耶穌讓他們三招
[00:03:58.000 --> 00:04:00.000]  然後看看他們的反應如何
