
[00:00:00.000 --> 00:00:05.200]  耶穌基督的啟示是超越眾先知的啟示
[00:00:05.200 --> 00:00:10.880]  耶穌基督超越天使、超越摩西、超越約書亞、超越大祭司
[00:00:10.880 --> 00:00:14.320]  我們看到耶穌基督的身份是超越一切
[00:00:14.320 --> 00:00:19.200]  但另一方面,希伯來書也有很多神學家的爭拗點
[00:00:19.200 --> 00:00:22.320]  就是當中有五個警告
[00:00:22.320 --> 00:00:24.320]  而我們過去已經說了兩個警告
[00:00:24.320 --> 00:00:28.720]  而今天我們進入到第三個警告的經文
[00:00:28.720 --> 00:00:33.200]  而這個警告經文也可以說是整部新約聖經當中
[00:00:33.200 --> 00:00:43.440]  其中一段聖經是最多神學家或聖經學者爭拗的一段聖經
[00:00:43.440 --> 00:00:46.080]  當然大家可能知道我自己的底線
[00:00:46.080 --> 00:00:49.520]  我是絕對相信「一次得救,永遠得救」
[00:00:49.520 --> 00:00:53.040]  但當我們面對一個這麼清晰的神學觀的裏邊
[00:00:53.040 --> 00:00:58.000]  我們怎樣去解釋希伯來書所帶給我們的警告呢?
[00:00:58.000 --> 00:01:02.240]  當然我自己心裏邊也有些掙扎
[00:01:02.240 --> 00:01:05.600]  因為新年漫漫,說些警告並不太好
[00:01:05.600 --> 00:01:07.280]  應該多說些祝福
[00:01:07.280 --> 00:01:11.200]  但當我自己過去一個月沒有在這裏說
[00:01:11.200 --> 00:01:14.080]  我的同工很好,他們也有一個月的時間
[00:01:14.080 --> 00:01:16.400]  在這裏分享上帝的訊息
[00:01:16.400 --> 00:01:20.720]  我們每個同工都能夠將上帝的話語說得非常完備
[00:01:20.720 --> 00:01:25.360]  所以在這個月當中,我反而再一次反省這段聖經
[00:01:25.360 --> 00:01:28.240]  很多的反省、很多的禱告、很多的思考
[00:01:28.240 --> 00:01:31.520]  是一段很難解釋的其中一段聖經
[00:01:31.520 --> 00:01:35.760]  當我自己用更長時間去默想、去禱告、去思考
[00:01:35.760 --> 00:01:37.760]  釋經的進程裏邊
[00:01:37.760 --> 00:01:40.000]  我就發覺其實這段聖經
[00:01:40.000 --> 00:01:44.240]  我們未必一定好像單單只是看警告
[00:01:44.240 --> 00:01:46.480]  而是這個警告的背後
[00:01:46.480 --> 00:01:49.680]  究竟這個作者想我們做甚麼
[00:01:49.680 --> 00:01:53.680]  我就看到原來這個作者是很苦口婆心的
[00:01:53.680 --> 00:01:56.480]  甚至是很嚴厲的
[00:01:56.480 --> 00:02:00.880]  這個作者完全沒有去苛那些信徒的某個情況
