
[00:00:00.000 --> 00:00:02.680]  各位歡迎來到聖地網上的第十三集
[00:00:02.680 --> 00:00:03.760]  我們只剩下一集
[00:00:03.760 --> 00:00:06.280]  我們就會結束這個系列
[00:00:06.280 --> 00:00:08.640]  我們要追蹤耶穌的事蹟
[00:00:08.640 --> 00:00:10.720]  這次我們去聖地之前
[00:00:10.720 --> 00:00:13.240]  我們會先到一個小鎮
[00:00:13.240 --> 00:00:14.240]  現在我們就出發
[00:00:14.240 --> 00:00:26.760]  這個小鎮有什麼厲害呢
[00:00:26.760 --> 00:00:28.560]  在意大利的南邊
[00:00:28.560 --> 00:00:30.280]  叫做Materra
[00:00:30.280 --> 00:00:33.360]  這個意大利南邊的小鎮
[00:00:33.360 --> 00:00:35.720]  原來在世界上被稱為
[00:00:35.720 --> 00:00:39.400]  第三個最古老的城市
[00:00:39.400 --> 00:00:41.600]  因為找回Materra這個小鎮
[00:00:41.600 --> 00:00:45.120]  最早有人的遺跡
[00:00:45.120 --> 00:00:48.200]  就是在公元前的七千年
[00:00:48.200 --> 00:00:52.080]  所以是世界裡面第三個最古老的城鎮
[00:00:52.080 --> 00:00:53.520]  那你就引申另一個問題
[00:00:53.520 --> 00:00:57.560]  到底第一第二最古老的城市是誰呢
[00:00:57.560 --> 00:01:00.720]  第一一定大家都會想到
[00:01:00.720 --> 00:01:04.840]  是以色列巴勒斯坦地的耶利哥城
[00:01:04.840 --> 00:01:06.280]  不單是古老
[00:01:06.280 --> 00:01:09.920]  繼續有人在附近居住
[00:01:09.920 --> 00:01:12.640]  第二有些人說是敘利亞的阿利普
[00:01:12.640 --> 00:01:16.040]  或者是大馬士革
[00:01:16.040 --> 00:01:20.840]  無論如何這裡是第三個最古老的城市
[00:01:20.840 --> 00:01:22.560]  仍然有人在這裡居住
[00:01:22.560 --> 00:01:24.880]  這裡的房屋是很特別的
[00:01:24.880 --> 00:01:27.640]  因為仍然是用一些山洞
[00:01:27.640 --> 00:01:31.240]  古老的山洞去搭建建設出來
[00:01:31.240 --> 00:01:33.640]  這裡不單是古色古香
[00:01:33.640 --> 00:01:35.040]  這裡也很出名
[00:01:35.040 --> 00:01:38.080]  就是在2004年Mel Gibson
[00:01:38.080 --> 00:01:40.520]  在這裡拍《Passion of the Christ》
[00:01:40.520 --> 00:01:43.160]  這個基督受難曲的電影
[00:01:43.160 --> 00:01:45.040]  當時紅極一時
[00:01:45.040 --> 00:01:50.720]  變成有很多人都湧來這個小鎮觀賞
[00:01:50.720 --> 00:01:55.040]  到底這些房屋或者景色
[00:01:55.040 --> 00:02:00.000]  是否像當時第一世紀的耶路撒冷
[00:02:00.000 --> 00:02:02.440]  大家知道今天我們去到耶路撒冷的時候
[00:02:02.440 --> 00:02:05.800]  已經不是第一世紀的面貌
[00:02:05.800 --> 00:02:10.000]  但是第一世紀的遺跡就在現在的街道之下
[00:02:10.000 --> 00:02:13.680]  耶路撒冷第一世紀的景況
[00:02:13.680 --> 00:02:17.280]  和麥特拉這裡的景況有多相似呢
[00:02:17.280 --> 00:02:20.400]  看看你可不可以去比較
[00:02:20.400 --> 00:02:23.160]  最能夠比較的就是去到以色列博物館
[00:02:23.160 --> 00:02:26.080]  耶路撒冷第一世紀的模型
[00:02:26.080 --> 00:02:30.280]  因為那裡是仿效一些考古遺跡的重建
