
[00:00:00.000 --> 00:00:03.400]  今天這個訊息 每一個人都合適聽
[00:00:03.400 --> 00:00:06.400]  是說什麼呢
[00:00:06.400 --> 00:00:12.240]  說到 當好樹結不出好果子
[00:00:12.240 --> 00:00:15.040]  啊
[00:00:15.040 --> 00:00:17.640]  Father's Day
[00:00:17.640 --> 00:00:19.640]  我是一個爸爸
[00:00:19.640 --> 00:00:21.640]  I'm also a grandfather too
[00:00:21.640 --> 00:00:24.640]  想不到啊 做個grandfather
[00:00:24.640 --> 00:00:28.040]  當我想想 我自己做爸爸的時候
[00:00:28.040 --> 00:00:30.200]  我發覺
[00:00:30.200 --> 00:00:32.600]  我覺得最怯懼的
[00:00:32.600 --> 00:00:38.200]  覺得最feel sorry for my kids的是什麼呢
[00:00:38.200 --> 00:00:39.600]  就是他們小的時候
[00:00:39.600 --> 00:00:43.200]  我沒有很多時間陪他們玩
[00:00:43.200 --> 00:00:47.000]  我沒有很多時間跟他們聊天
[00:00:47.000 --> 00:00:50.800]  我記得曾經跟他們睡覺之前講過故事
[00:00:50.800 --> 00:00:54.200]  不過 大家知道我做牧師就很忙
[00:00:54.200 --> 00:00:56.000]  很多時候一個星期裏面
[00:00:56.000 --> 00:00:58.000]  起碼有三四晚要開會
[00:00:58.000 --> 00:00:59.400]  特別是開荒牧師
[00:00:59.400 --> 00:01:01.400]  還有來到教會 來到加州的時候
[00:01:01.400 --> 00:01:03.000]  搞了很多的issue
[00:01:03.000 --> 00:01:05.600]  有去探訪 要開會
[00:01:05.600 --> 00:01:07.400]  Weekend 就是放假的時間
[00:01:07.400 --> 00:01:09.800]  就是牧師最忙的時候
[00:01:09.800 --> 00:01:12.600]  所以其實我能夠有時間陪他們的
[00:01:12.600 --> 00:01:14.800]  比較實際一點的就是
[00:01:14.800 --> 00:01:16.400]  晚上喫晚飯的時間
[00:01:16.400 --> 00:01:20.200]  我嘗試儘可能每晚都回去跟他們喫飯
[00:01:20.200 --> 00:01:22.600]  但大家知道 特別是小時候
[00:01:22.600 --> 00:01:24.400]  又叫他們喫飯 這樣那樣
[00:01:24.400 --> 00:01:27.000]  通常晚上喫飯是匆匆忙忙的 是不是
[00:01:27.000 --> 00:01:28.200]  很匆忙
[00:01:28.200 --> 00:01:31.200]  喫完飯之後我稍微幫師母收拾一下
[00:01:31.200 --> 00:01:33.000]  接着我就要走了
[00:01:33.000 --> 00:01:34.800]  不是走佬 走回教會 爲什麼
[00:01:34.800 --> 00:01:37.000]  不是開會就要去訓練班
[00:01:37.000 --> 00:01:39.600]  或者去參加聚會
[00:01:39.600 --> 00:01:42.800]  所以是沒有很多時間陪他們
[00:01:42.800 --> 00:01:46.000]  感謝主啦 感謝主
[00:01:46.000 --> 00:01:48.000]  我有兩個兒子 現在都大了
[00:01:48.000 --> 00:01:49.600]  感謝讚美主
[00:01:49.600 --> 00:01:52.600]  其中一個還做了牧師
[00:01:52.600 --> 00:01:55.400]  很開心
[00:01:55.400 --> 00:02:00.400]  但做爹地呢 我說我自己啦
[00:02:00.400 --> 00:02:03.400]  令我最難過的是什麼呢
[00:02:03.400 --> 00:02:05.600]  最謙虛的就是沒時間陪他們
[00:02:05.600 --> 00:02:07.000]  跟他們聊天
[00:02:07.000 --> 00:02:10.200]  最難過的呢
[00:02:10.200 --> 00:02:14.200]  就是我大兒子離開了上帝
[00:02:14.200 --> 00:02:19.000]  現在不去教會
[00:02:19.000 --> 00:02:20.800]  我們昨天一起喫飯的時候
[00:02:20.800 --> 00:02:23.200]  借飯祈禱
[00:02:23.200 --> 00:02:25.600]  去作狀都沒用
[00:02:25.600 --> 00:02:27.400]  眼睜睜看着我們祈禱
[00:02:27.400 --> 00:02:29.000]  然後我們阿門之後
[00:02:29.000 --> 00:02:35.400]  大家一起喫飯
[00:02:35.400 --> 00:02:38.000]  這件事呢
[00:02:38.000 --> 00:02:40.800]  令師母和我覺得是
[00:02:40.800 --> 00:02:43.600]  最難受的一件事
[00:02:43.600 --> 00:02:46.400]  心很痛的事
[00:02:46.400 --> 00:02:51.800]  當好樹結不出好果子
[00:02:51.800 --> 00:02:54.000]  當然
[00:02:54.000 --> 00:02:56.600]  我們還要感恩的
[00:02:56.600 --> 00:02:58.000]  他現在不去教堂
[00:02:58.000 --> 00:02:59.600]  說不信耶穌
[00:02:59.600 --> 00:03:02.000]  有時候我在電視上看到
[00:03:02.000 --> 00:03:04.600]  有些爹地媽咪收到警察打來的電話
[00:03:04.600 --> 00:03:08.200]  你的兒子做了恐怖分子
[00:03:08.200 --> 00:03:12.000]  你的兒子剛剛殺了警察
[00:03:12.000 --> 00:03:13.000]  我很難想象
[00:03:13.000 --> 00:03:15.400]  這些爹地媽咪收到電話的時候
[00:03:15.400 --> 00:03:17.600]  我相信是在人生當中
[00:03:17.600 --> 00:03:21.600]  一個最恐怖最大的nightmare
[00:03:21.600 --> 00:03:25.000]  你同不同意嗎
[00:03:25.000 --> 00:03:26.800]  當好樹結不出好果子
[00:03:26.800 --> 00:03:31.200]  你以爲每個爹地媽咪想見到兒子是這樣的嗎
[00:03:31.200 --> 00:03:34.800]  當這些事情出現的時候
[00:03:34.800 --> 00:03:37.400]  我們應該怎麼做
[00:03:37.400 --> 00:03:42.400]  我們應該怎麼做
[00:03:42.400 --> 00:03:43.000]  感謝主啦
[00:03:43.000 --> 00:03:44.200]  我做牧師有問題
[00:03:44.200 --> 00:03:47.400]  當然要看聖經
[00:03:47.400 --> 00:03:52.200]  我發現聖經裏面也有類似的故事
[00:03:52.200 --> 00:03:57.000]  這個故事記載在《詩詩紀》十三章和十四章
[00:03:57.000 --> 00:03:58.400]  裏面有一個人
[00:03:58.400 --> 00:04:01.000]  他是彈族的其中一個人
[00:04:01.000 --> 00:04:03.600]  這個人的名字叫馬羅亞
[00:04:03.600 --> 00:04:05.800]  馬羅亞住在索拉城
[00:04:05.800 --> 00:04:06.800]  他有個老婆
[00:04:06.800 --> 00:04:09.200]  但是沒有兒子
[00:04:09.200 --> 00:04:10.400]  結婚多久了
[00:04:10.400 --> 00:04:11.600]  聖經沒有說沒有兒子
[00:04:11.600 --> 00:04:13.200]  不過忽然間有一天
[00:04:13.200 --> 00:04:16.000]  有一個天使向馬羅亞的妻子顯現
[00:04:16.000 --> 00:04:18.600]  你就快要有個兒子了
[00:04:18.600 --> 00:04:22.000]  所以你啖酒濃酒都不要喝了
[00:04:22.000 --> 00:04:23.800]  這個兒子出生之後
[00:04:23.800 --> 00:04:28.000]  他要成爲一個拿西爾人
[00:04:28.000 --> 00:04:30.000]  這個媽媽
[00:04:30.000 --> 00:04:31.400]  還沒做媽媽
[00:04:31.400 --> 00:04:32.800]  聽到天使女這樣說
[00:04:32.800 --> 00:04:33.600]  開不開心呢
[00:04:33.600 --> 00:04:34.200]  很開心
[00:04:34.200 --> 00:04:36.200]  馬上走去
[00:04:36.200 --> 00:04:37.400]  告訴她老公
[00:04:37.400 --> 00:04:38.600]  老公老公
[00:04:38.600 --> 00:04:40.600]  有一個神人向我顯現
[00:04:40.600 --> 00:04:44.200]  告訴我知道我們就快有個兒子了
[00:04:44.200 --> 00:04:46.200]  我覺得這個馬羅亞的反應
[00:04:46.200 --> 00:04:49.000]  很值得我們當中做爹地的學習
[00:04:49.000 --> 00:04:51.400]  如果你暫時還不是爹地的話
[00:04:51.400 --> 00:04:53.400]  將來如果想結婚生子的話
[00:04:53.400 --> 00:04:55.000]  你都要學習一下
[00:04:55.000 --> 00:04:56.800]  當這個馬羅亞聽到之後
[00:04:56.800 --> 00:04:58.600]  他說是有這樣的事說
[00:04:58.600 --> 00:05:00.800]  於是他馬上祈禱
[00:05:00.800 --> 00:05:01.800]  祈禱什麼
[00:05:01.800 --> 00:05:03.000]  天父上帝啊
[00:05:03.000 --> 00:05:04.600]  祈求你
[00:05:04.600 --> 00:05:06.400]  再將你猜去
[00:05:06.400 --> 00:05:09.200]  和我老婆說這件事的人
[00:05:09.200 --> 00:05:11.200]  猜回來
[00:05:11.200 --> 00:05:13.000]  讓他能夠教我
[00:05:13.000 --> 00:05:15.400]  如何去教我的兒子
[00:05:15.400 --> 00:05:17.200]  這是他的祈禱
[00:05:17.200 --> 00:05:18.600]  然後聖經告訴我
[00:05:18.600 --> 00:05:19.600]  上帝聽了他的祈禱
[00:05:19.600 --> 00:05:20.800]  於是這個神人
[00:05:20.800 --> 00:05:22.000]  即是天使來的
[00:05:22.000 --> 00:05:25.200]  再次向馬羅亞的太太顯現
[00:05:25.200 --> 00:05:26.400]  馬羅亞的太太
[00:05:26.400 --> 00:05:28.400]  馬上跑去找她老公
[00:05:28.400 --> 00:05:29.000]  她老公說
[00:05:29.000 --> 00:05:30.000]  是呀
[00:05:30.000 --> 00:05:32.200]  於是馬上去見這個人
[00:05:32.200 --> 00:05:33.000]  他說你就是
[00:05:33.000 --> 00:05:34.000]  和我老婆說
[00:05:34.000 --> 00:05:35.200]  我們就快生子的那個
[00:05:35.200 --> 00:05:36.000]  是
[00:05:36.000 --> 00:05:37.400]  他說請你
[00:05:37.400 --> 00:05:38.200]  告訴我
[00:05:38.200 --> 00:05:40.000]  請你教我
[00:05:40.000 --> 00:05:42.800]  當你的說話實現了之後
[00:05:42.800 --> 00:05:44.200]  當這件事發生之後
[00:05:44.200 --> 00:05:46.200]  當我兒子出世之後
[00:05:46.200 --> 00:05:48.200]  他要過一個怎樣的生活
[00:05:48.200 --> 00:05:50.000]  他應該做一個怎樣的人
[00:05:50.000 --> 00:05:52.000]  You teach me
[00:05:52.000 --> 00:05:52.800]  你教我吧
[00:05:52.800 --> 00:05:58.400]  你告訴我應該怎麼做吧
[00:05:58.400 --> 00:06:01.200]  我相信這個馬羅亞
[00:06:01.200 --> 00:06:02.600]  可能大家都不認識他的名字
[00:06:02.600 --> 00:06:03.600]  但是現在你知道了
[00:06:03.600 --> 00:06:04.800]  有個人叫馬羅亞
[00:06:04.800 --> 00:06:05.800]  彈足之派
[00:06:05.800 --> 00:06:07.000]  住在索拉城
[00:06:07.000 --> 00:06:08.000]  有幾樣東西我覺得
[00:06:08.000 --> 00:06:10.200]  很值得我們學習
[00:06:10.200 --> 00:06:11.400]  做父親
[00:06:11.400 --> 00:06:12.800]  我們做父母親的
[00:06:12.800 --> 00:06:14.600]  當我們是小朋友的時候
[00:06:14.600 --> 00:06:16.000]  都希望我們的小朋友
[00:06:16.000 --> 00:06:18.800]  長大之後成才
[00:06:18.800 --> 00:06:20.200]  有沒有誰想自己的小朋友
[00:06:20.200 --> 00:06:21.200]  長大之後做乞丐的
[00:06:21.200 --> 00:06:23.200]  不會的
[00:06:23.200 --> 00:06:24.000]  都希望我們的小朋友
[00:06:24.000 --> 00:06:25.800]  對小朋友有貢獻
[00:06:25.800 --> 00:06:27.600]  這個馬羅亞有幾樣東西
[00:06:27.600 --> 00:06:28.800]  很值得我們學習
[00:06:28.800 --> 00:06:30.400]  第一樣東西
[00:06:30.400 --> 00:06:32.000]  他敬畏上帝
[00:06:32.000 --> 00:06:34.000]  他相信天使所說的話
[00:06:34.000 --> 00:06:35.200]  一點都沒有疑惑
[00:06:35.200 --> 00:06:36.600]  太太說他聽的
[00:06:36.600 --> 00:06:38.800]  他就祈禱了
[00:06:38.800 --> 00:06:39.800]  是一個敬畏上帝
[00:06:39.800 --> 00:06:42.600]  他相信上帝的人很有信心
[00:06:42.600 --> 00:06:44.000]  從來沒有疑惑過
[00:06:44.000 --> 00:06:46.400]  上帝跟他說過的話
[00:06:46.400 --> 00:06:48.200]  這個我們要學習
