
[00:00:00.000 --> 00:00:03.500]  好 各位主內 親愛的弟兄姊妹 平安
[00:00:03.500 --> 00:00:08.500]  今天是我們不平凡的2019年的最後一個主日
[00:00:08.500 --> 00:00:13.200]  我們也即將迎來 估計更加不平凡的2020年
[00:00:13.200 --> 00:00:18.700]  那這就更需要我們在主的面前禱告 警醒 與主親近
[00:00:18.700 --> 00:00:20.500]  弟兄姊妹彼此相愛
[00:00:20.500 --> 00:00:23.500]  好 我們一同來禱告
[00:00:23.500 --> 00:00:28.500]  天上上帝我們在您面前 歡喜快樂 敬拜
[00:00:28.500 --> 00:00:31.500]  同時我們也紀念這個世界的動盪
[00:00:31.500 --> 00:00:35.500]  這個城市的不安和很多的令我們心碎的東西
[00:00:35.500 --> 00:00:38.500]  主要我們帶著這樣的傷痛 帶著這樣的重擔
[00:00:38.500 --> 00:00:42.500]  來到你的面前 求主與我們同在
[00:00:42.500 --> 00:00:45.500]  主要我們知道我們從這裡離開的時候
[00:00:45.500 --> 00:00:49.500]  我們不是帶著一個完全忘記外面的一個心
[00:00:49.500 --> 00:00:53.500]  而是帶著更大的從你而來的力量
[00:00:53.500 --> 00:00:58.500]  求你用你的話語來兼顧我們 禱告奉耶穌基督的名 阿們
[00:00:58.500 --> 00:01:03.500]  今天我們分享的經文是大家都很熟悉的
[00:01:03.500 --> 00:01:07.500]  路加福音10章第25到第42節
[00:01:07.500 --> 00:01:10.500]  前面是好撒瑪利亞人的故事
[00:01:10.500 --> 00:01:13.500]  後面是馬大瑪利亞的故事
[00:01:13.500 --> 00:01:19.500]  而這兩段經文放在一起 上下有一個特別有意思的結構
[00:01:19.500 --> 00:01:24.500]  就是前面是耶穌差遣了70個門徒去傳福音回來
[00:01:24.500 --> 00:01:29.500]  耶穌為此而心中歡喜快樂 於是就向神禱告
[00:01:29.500 --> 00:01:34.500]  後面是耶穌教門徒禱告主導文
[00:01:34.500 --> 00:01:39.500]  也就是這兩段經文處在耶穌的兩個禱告之間
[00:01:39.500 --> 00:01:41.500]  讓我感覺非常的神聖
[00:01:41.500 --> 00:01:44.500]  是被耶穌的禱告托起來的一段內容
[00:01:44.500 --> 00:01:48.500]  所以路加把這樣的一個結構擺放在我們面前
[00:01:48.500 --> 00:01:50.500]  是讓我們去了解什麼呢
[00:01:50.500 --> 00:01:53.500]  今天就求主來開啟我們
[00:01:53.500 --> 00:01:59.500]  讓我們來真的從他的話語當中來看見他賜給我們的亮光
[00:01:59.500 --> 00:02:04.500]  有一位老牧師 很老很老了 將近100年前了 叫賈玉明
[00:02:04.500 --> 00:02:08.500]  他說過一段話 知我所信 行我所知
[00:02:08.500 --> 00:02:11.500]  其實他的意思是勉勵我們弟兄姊妹
[00:02:11.500 --> 00:02:14.500]  我們一方面追求真理 瞭解真理
[00:02:14.500 --> 00:02:18.500]  另一方面我們要把所知道的道理來活出來
[00:02:18.500 --> 00:02:22.500]  在實踐生活當中來活出來
[00:02:22.500 --> 00:02:29.500]  所以真正的信仰是知 信 行的一個密切的結合
[00:02:29.500 --> 00:02:35.500]  那我們看今天這段經文怎麼樣讓我們從知到行呢
[00:02:35.500 --> 00:02:40.500]  我們先看25到29節 知我所信
[00:02:40.500 --> 00:02:44.500]  25節提到有一個律法師
[00:02:44.500 --> 00:02:47.500]  來到耶穌的面前他提出一個問題
[00:02:47.500 --> 00:02:52.500]  他說 夫子 我該做什麼才可以承受永生呢
[00:02:52.500 --> 00:02:57.500]  他作為一個律法專家 他當然曉得答案
[00:02:57.500 --> 00:03:02.500]  他為什麼還要問呢 路加在這裡有一個旁白
[00:03:02.500 --> 00:03:06.500]  道出了一個秘密 就是他有一個動機
[00:03:06.500 --> 00:03:09.500]  就是為了試探耶穌
[00:03:09.500 --> 00:03:13.500]  路加的旁白對這個人非常的負面
[00:03:13.500 --> 00:03:17.500]  他問這個問題不是真的不明白請教耶穌
[00:03:17.500 --> 00:03:19.500]  而是要試探耶穌
[00:03:19.500 --> 00:03:23.500]  或許他期待著耶穌回答了一個跟猶太傳統不一樣的答案
[00:03:23.500 --> 00:03:27.500]  他就可以藉機定耶穌的罪 定他為異端也說不定
[00:03:27.500 --> 00:03:31.500]  所以這是一場心知肚明的較量
[00:03:31.500 --> 00:03:36.500]  而聖經當中讓我們看到每逢耶穌被居心不良的人提問
[00:03:36.500 --> 00:03:40.500]  耶穌的回應的辦法往往都是把這個問題拋回去
[00:03:40.500 --> 00:03:43.500]  給對方回答
[00:03:43.500 --> 00:03:47.500]  作為承受永生的兩個先決的條件
[00:03:47.500 --> 00:03:51.500]  律法師首先舉出了生命記的第六章第五節
[00:03:51.500 --> 00:03:55.500]  你要盡心盡性盡力盡力愛住你的神
[00:03:55.500 --> 00:04:00.500]  接著他又提到了立位記的十九章十八節
[00:04:00.500 --> 00:04:04.500]  又要愛臨舍如同自己
[00:04:04.500 --> 00:04:08.500]  不愧是律法專家 回答正確
[00:04:08.500 --> 00:04:11.500]  於是耶穌就勉勵他
[00:04:11.500 --> 00:04:14.500]  說你不但要知道 你還要行出來
[00:04:14.500 --> 00:04:16.500]  要知行合一
[00:04:16.500 --> 00:04:21.500]  第二十八節說 這樣你就必得永生
[00:04:21.500 --> 00:04:25.500]  耶穌說的非常確定 必得永生
[00:04:25.500 --> 00:04:28.500]  他不是來問我怎麼樣才能承受永生嗎
[00:04:28.500 --> 00:04:33.500]  耶穌說 好 你做到這兩點 你就必得永生
[00:04:33.500 --> 00:04:36.500]  其實從今天我們對於律法的了解
[00:04:36.500 --> 00:04:38.500]  耶穌是拋了一個律法的問題
[00:04:38.500 --> 00:04:41.500]  你知道律法怎麼說的嗎 他就回答正確
[00:04:41.500 --> 00:04:43.500]  但是從我們今天認識來看
[00:04:43.500 --> 00:04:48.500]  我們完全知道人是不可能完全行出律法的
[00:04:48.500 --> 00:04:52.500]  這就是所謂的律法不可完全執行說
